tokens,label,n_per_pass,ms_per_pass,us_each,pct_of_gpu
512,moe.up,48.0,364.29,7589.4,48.82
512,moe.down,48.0,145.37,3028.6,19.48
512,dn.qkv,36.0,47.34,1315.0,6.34
512,hc.down,97.0,29.74,306.6,3.99
512,hc.cn,94.0,22.63,240.7,3.03
512,dn.out,36.0,15.64,434.5,2.10
512,hc.up,97.0,15.07,155.3,2.02
512,dn.scan,36.0,14.91,414.1,2.00
512,moe.combine,48.0,14.67,305.6,1.97
512,attn.qkv,12.0,14.33,1194.5,1.92
512,moe.shexp.up,48.0,9.51,198.2,1.28
512,move,196.0,9.04,46.1,1.21
512,dn.conv,36.0,6.26,174.0,0.84
512,moe.router,48.0,6.06,126.2,0.81
512,attn.out,12.0,5.87,489.2,0.79
512,dn.norm,36.0,4.41,122.6,0.59
512,attn.attn,12.0,3.56,296.7,0.48
512,attn.score,12.0,3.55,295.5,0.48
512,moe.shexp.down,48.0,3.27,68.1,0.44
512,head.head,1.0,2.61,2609.0,0.35
512,attn.pack,12.0,1.47,122.4,0.20
512,ple.kv,1.0,1.26,1261.0,0.17
512,moe.route,48.0,0.92,19.3,0.12
512,moe.perm.up,48.0,0.86,17.9,0.12
512,attn.select,12.0,0.77,64.4,0.10
512,attn.expand,12.0,0.69,57.9,0.09
512,hc.norm,3.0,0.58,192.0,0.08
512,ple.gate,1.0,0.46,455.1,0.06
512,ple.conv,1.0,0.39,388.6,0.05
512,hc.combine,2.0,0.30,150.0,0.04
512,attn.idx,12.0,0.18,15.4,0.02
512,dn.hist,36.0,0.13,3.5,0.02
512,ple.hist,1.0,0.00,2.6,0.00
512,hc.down_reduce,1.0,0.00,1.3,0.00
1024,moe.up,48.0,465.68,9701.8,42.60
1024,moe.down,48.0,183.04,3813.2,16.74
1024,dn.qkv,36.0,83.68,2324.5,7.65
1024,hc.cn,94.0,58.07,617.7,5.31
1024,hc.down,97.0,37.21,383.7,3.40
1024,hc.up,97.0,34.61,356.8,3.17
1024,dn.scan,36.0,29.90,830.6,2.74
1024,dn.out,36.0,29.39,816.5,2.69
1024,moe.combine,48.0,28.94,602.8,2.65
1024,attn.qkv,12.0,25.93,2160.6,2.37
1024,moe.shexp.up,48.0,19.89,414.3,1.82
1024,dn.conv,36.0,13.47,374.1,1.23
1024,move,196.0,12.43,63.4,1.14
1024,dn.norm,36.0,11.39,316.3,1.04
1024,attn.out,12.0,10.20,850.3,0.93
1024,attn.attn,12.0,10.14,844.9,0.93
1024,attn.score,12.0,7.36,613.2,0.67
1024,moe.shexp.down,48.0,6.73,140.3,0.62
1024,moe.router,48.0,5.95,123.9,0.54
1024,attn.pack,12.0,3.10,258.3,0.28
1024,head.head,1.0,2.63,2634.3,0.24
1024,attn.expand,12.0,2.58,214.7,0.24
1024,ple.kv,1.0,1.96,1958.6,0.18
1024,attn.select,12.0,1.85,154.6,0.17
1024,moe.perm.up,48.0,1.54,32.1,0.14
1024,moe.route,48.0,1.44,30.1,0.13
1024,hc.norm,3.0,1.10,365.6,0.10
1024,ple.gate,1.0,0.92,921.6,0.08
1024,hc.combine,2.0,0.85,423.9,0.08
1024,ple.conv,1.0,0.76,762.0,0.07
1024,attn.idx,12.0,0.31,25.9,0.03
1024,dn.hist,36.0,0.13,3.7,0.01
1024,ple.hist,1.0,0.00,2.6,0.00
1024,hc.down_reduce,1.0,0.00,1.3,0.00
2048,moe.up,48.0,567.45,11821.8,33.47
2048,moe.down,48.0,268.27,5588.9,15.82
2048,dn.qkv,36.0,158.03,4389.7,9.32
2048,hc.cn,94.0,118.89,1264.8,7.01
2048,hc.up,97.0,70.38,725.6,4.15
2048,dn.scan,36.0,60.74,1687.3,3.58
2048,moe.combine,48.0,57.27,1193.2,3.38
2048,dn.out,36.0,56.50,1569.5,3.33
2048,hc.down,97.0,54.41,561.0,3.21
2048,attn.qkv,12.0,47.13,3927.7,2.78
2048,move,196.0,34.43,175.7,2.03
2048,attn.attn,12.0,32.53,2711.3,1.92
2048,dn.conv,36.0,27.32,758.9,1.61
2048,moe.shexp.up,48.0,24.83,517.3,1.46
2048,dn.norm,36.0,20.90,580.6,1.23
2048,attn.out,12.0,19.32,1609.8,1.14
2048,attn.score,12.0,15.72,1310.1,0.93
2048,moe.shexp.down,48.0,11.89,247.8,0.70
2048,attn.expand,12.0,9.85,820.6,0.58
2048,moe.router,48.0,8.09,168.6,0.48
2048,attn.pack,12.0,6.20,516.6,0.37
2048,attn.select,12.0,5.30,441.9,0.31
2048,ple.kv,1.0,3.76,3761.3,0.22
2048,moe.perm.up,48.0,2.94,61.4,0.17
2048,hc.combine,2.0,2.74,1367.8,0.16
2048,head.head,1.0,2.52,2521.4,0.15
2048,moe.route,48.0,2.45,51.1,0.14
2048,ple.gate,1.0,1.81,1805.8,0.11
2048,hc.norm,3.0,1.73,577.1,0.10
2048,ple.conv,1.0,1.52,1519.7,0.09
2048,attn.idx,12.0,0.53,44.2,0.03
2048,dn.hist,36.0,0.15,4.2,0.01
2048,ple.hist,1.0,0.00,2.6,0.00
2048,hc.down_reduce,1.0,0.00,1.4,0.00
4096,moe.up,48.0,819.67,17076.5,27.31
4096,moe.down,48.0,382.92,7977.6,12.76
4096,dn.qkv,36.0,310.81,8633.6,10.36
4096,hc.cn,94.0,233.62,2485.3,7.78
4096,hc.up,97.0,139.82,1441.4,4.66
4096,dn.scan,36.0,131.90,3663.9,4.40
4096,attn.attn,12.0,127.80,10650.1,4.26
4096,dn.out,36.0,118.41,3289.3,3.95
4096,moe.combine,48.0,112.49,2343.6,3.75
4096,hc.down,97.0,109.06,1124.3,3.63
4096,attn.qkv,12.0,91.66,7638.4,3.05
4096,move,196.0,70.84,361.4,2.36
4096,dn.conv,36.0,55.85,1551.4,1.86
4096,moe.shexp.up,48.0,49.80,1037.5,1.66
4096,attn.out,12.0,40.82,3401.8,1.36
4096,dn.norm,36.0,39.90,1108.4,1.33
4096,attn.score,12.0,34.84,2903.3,1.16
4096,attn.expand,12.0,27.93,2327.5,0.93
4096,moe.shexp.down,48.0,22.31,464.8,0.74
4096,moe.router,48.0,16.11,335.6,0.54
4096,attn.select,12.0,15.73,1310.7,0.52
4096,attn.pack,12.0,12.67,1056.1,0.42
4096,ple.kv,1.0,7.20,7198.8,0.24
4096,moe.perm.up,48.0,5.62,117.0,0.19
4096,hc.combine,2.0,5.40,2699.8,0.18
4096,moe.route,48.0,4.58,95.4,0.15
4096,ple.gate,1.0,3.56,3562.0,0.12
4096,hc.norm,3.0,3.01,1003.9,0.10
4096,ple.conv,1.0,2.99,2991.4,0.10
4096,head.head,1.0,2.51,2507.8,0.08
4096,attn.idx,12.0,1.05,87.2,0.03
4096,dn.hist,36.0,0.15,4.3,0.01
4096,ple.hist,1.0,0.00,2.6,0.00
4096,hc.down_reduce,1.0,0.00,1.4,0.00
8192,moe.up,48.0,1328.84,27684.1,22.78
8192,dn.qkv,36.0,625.96,17387.9,10.73
8192,moe.down,48.0,614.13,12794.5,10.53
8192,attn.attn,12.0,514.99,42916.2,8.83
8192,hc.cn,94.0,459.33,4886.4,7.87
8192,dn.scan,36.0,314.75,8743.0,5.40
8192,hc.up,97.0,279.82,2884.8,4.80
8192,dn.out,36.0,230.41,6400.2,3.95
8192,moe.combine,48.0,219.55,4574.0,3.76
8192,hc.down,97.0,207.88,2143.1,3.56
8192,attn.qkv,12.0,184.98,15414.9,3.17
8192,move,196.0,140.17,715.2,2.40
8192,dn.conv,36.0,113.08,3141.0,1.94
8192,moe.shexp.up,48.0,100.31,2089.9,1.72
