depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2828,12066.4
0,pp,moe.down,48.0,0.1344,5735.1
0,pp,dn.qkv,36.0,0.0749,4259.8
0,pp,hc.cn,94.0,0.0583,1269.7
0,pp,attn.expand,12.0,0.0378,6448.0
0,pp,hc.up,97.0,0.0343,724.2
0,pp,dn.scan,36.0,0.0295,1676.7
0,pp,moe.combine,48.0,0.0280,1193.1
0,pp,dn.out,36.0,0.0275,1561.9
0,pp,hc.down,97.0,0.0267,563.6
0,pp,attn.qkv,12.0,0.0222,3785.4
0,pp,move,196.0,0.0158,165.3
0,pp,attn.attn,12.0,0.0157,2671.6
0,pp,dn.conv,36.0,0.0134,760.8
0,pp,moe.shexp.up,48.0,0.0122,521.5
0,pp,attn.score,12.0,0.0107,1826.3
0,pp,dn.norm,36.0,0.0103,583.3
0,pp,attn.out,12.0,0.0093,1592.0
0,pp,moe.shexp.down,48.0,0.0058,246.5
0,pp,moe.router,48.0,0.0040,169.2
0,pp,attn.pack,12.0,0.0031,521.6
0,pp,attn.select,12.0,0.0026,436.3
0,pp,ple.kv,1.0,0.0018,3715.9
0,pp,moe.perm.up,48.0,0.0015,62.0
0,pp,hc.combine,2.0,0.0013,1338.6
0,pp,head.head,1.0,0.0012,2529.9
0,pp,attn.idx,12.0,0.0012,210.6
0,pp,moe.route,48.0,0.0012,51.0
0,pp,ple.gate,1.0,0.0009,1796.4
0,pp,hc.norm,3.0,0.0008,526.1
0,pp,ple.conv,1.0,0.0007,1516.6
0,pp,dn.hist,36.0,0.0001,4.1
0,pp,ple.hist,1.0,0.0000,2.6
0,pp,hc.down_reduce,1.0,0.0000,1.3
0,tg,moe.up,48.0,5.3299,111.0
0,tg,dn.qkv,36.0,4.3675,121.3
0,tg,moe.down,48.0,2.5069,52.2
0,tg,dn.out,36.0,2.5004,69.5
0,tg,head.head,1.0,2.3542,2354.4
0,tg,hc.cn,94.0,2.3087,24.6
0,tg,hc.up,97.0,1.7808,18.4
0,tg,attn.qkv,12.0,1.5410,128.4
0,tg,hc.down,97.0,1.3474,13.9
0,tg,dn.scan,36.0,1.1764,32.7
0,tg,move,196.0,1.0808,5.5
0,tg,attn.attn.split,12.0,0.9560,79.7
0,tg,attn.out,12.0,0.7886,65.7
0,tg,moe.shexp.up,48.0,0.7375,15.4
0,tg,moe.router,48.0,0.7021,14.6
0,tg,moe.shexp.down,48.0,0.4714,9.8
0,tg,moe.route,48.0,0.2841,5.9
0,tg,ple.kv,1.0,0.2477,247.8
0,tg,dn.conv,36.0,0.1916,5.3
0,tg,moe.combine,48.0,0.1467,3.1
0,tg,moe.perm.up,48.0,0.1389,2.9
0,tg,attn.select,12.0,0.1380,11.5
0,tg,attn.score,12.0,0.1325,11.1
0,tg,hc.down_reduce,97.0,0.1244,1.3
0,tg,dn.norm,36.0,0.1239,3.4
0,tg,attn.pack,12.0,0.0936,7.8
0,tg,moe.router.sum,48.0,0.0706,1.5
0,tg,attn.attn.combine,12.0,0.0689,5.7
0,tg,dn.qkv.sum,36.0,0.0656,1.8
0,tg,dn.out.sum,36.0,0.0630,1.8
0,tg,attn.idx,12.0,0.0488,4.1
0,tg,dn.hist,36.0,0.0449,1.2
0,tg,attn.expand,12.0,0.0394,3.3
0,tg,hc.norm,3.0,0.0259,8.6
0,tg,attn.out.sum,12.0,0.0213,1.8
0,tg,attn.qkv.sum,12.0,0.0186,1.6
0,tg,ple.gate,1.0,0.0159,15.9
0,tg,hc.combine,2.0,0.0074,3.7
0,tg,ple.conv,1.0,0.0040,4.0
0,tg,ple.hist,1.0,0.0011,1.1
32000,pp,attn.attn,12.0,0.2999,51177.9
32000,pp,moe.up,48.0,0.2685,11456.3
32000,pp,moe.down,48.0,0.1275,5441.8
32000,pp,dn.qkv,36.0,0.0753,4281.3
32000,pp,hc.cn,94.0,0.0581,1266.5
32000,pp,attn.select,12.0,0.0570,9728.8
32000,pp,attn.expand,12.0,0.0432,7381.1
32000,pp,hc.up,97.0,0.0343,724.4
32000,pp,dn.scan,36.0,0.0297,1689.4
32000,pp,moe.combine,48.0,0.0279,1191.9
32000,pp,dn.out,36.0,0.0279,1585.7
32000,pp,hc.down,97.0,0.0267,563.6
32000,pp,attn.score,12.0,0.0230,3924.2
32000,pp,attn.qkv,12.0,0.0223,3802.8
32000,pp,move,196.0,0.0158,164.6
32000,pp,dn.conv,36.0,0.0134,760.8
32000,pp,moe.shexp.up,48.0,0.0122,520.7
32000,pp,dn.norm,36.0,0.0102,581.9
32000,pp,attn.out,12.0,0.0094,1603.1
32000,pp,moe.shexp.down,48.0,0.0059,249.8
32000,pp,moe.router,48.0,0.0040,170.4
32000,pp,attn.pack,12.0,0.0030,519.7
32000,pp,ple.kv,1.0,0.0018,3762.5
32000,pp,moe.perm.up,48.0,0.0015,61.9
32000,pp,hc.combine,2.0,0.0013,1354.4
32000,pp,head.head,1.0,0.0012,2525.6
32000,pp,moe.route,48.0,0.0012,51.1
32000,pp,ple.gate,1.0,0.0009,1816.1
32000,pp,hc.norm,3.0,0.0008,537.0
32000,pp,ple.conv,1.0,0.0007,1503.9
32000,pp,attn.idx,12.0,0.0002,40.3
32000,pp,dn.hist,36.0,0.0001,4.0
32000,pp,ple.hist,1.0,0.0000,2.4
32000,pp,hc.down_reduce,1.0,0.0000,1.3
32000,tg,moe.up,48.0,5.4547,113.6
32000,tg,dn.qkv,36.0,4.4794,124.4
32000,tg,attn.attn.split,12.0,2.9330,244.4
32000,tg,dn.out,36.0,2.5722,71.5
32000,tg,moe.down,48.0,2.5406,52.9
32000,tg,head.head,1.0,2.5259,2525.9
32000,tg,hc.cn,94.0,2.3396,24.9
32000,tg,hc.up,97.0,1.8176,18.7
32000,tg,attn.qkv,12.0,1.5473,128.9
32000,tg,hc.down,97.0,1.3754,14.2
32000,tg,dn.scan,36.0,1.2056,33.5
32000,tg,move,196.0,1.1189,5.7
32000,tg,moe.shexp.up,48.0,0.7548,15.7
32000,tg,moe.router,48.0,0.7328,15.3
32000,tg,attn.select,12.0,0.6607,55.1
32000,tg,attn.out,12.0,0.6340,52.8
32000,tg,moe.shexp.down,48.0,0.4858,10.1
32000,tg,attn.score,12.0,0.3743,31.2
32000,tg,moe.route,48.0,0.2901,6.0
32000,tg,ple.kv,1.0,0.2635,263.5
32000,tg,dn.conv,36.0,0.1973,5.5
32000,tg,moe.combine,48.0,0.1520,3.2
32000,tg,moe.perm.up,48.0,0.1415,2.9
32000,tg,dn.norm,36.0,0.1298,3.6
32000,tg,hc.down_reduce,97.0,0.1265,1.3
32000,tg,attn.pack,12.0,0.0935,7.8
32000,tg,moe.router.sum,48.0,0.0719,1.5
32000,tg,attn.attn.combine,12.0,0.0716,6.0
32000,tg,dn.qkv.sum,36.0,0.0661,1.8
32000,tg,dn.out.sum,36.0,0.0650,1.8
32000,tg,attn.expand,12.0,0.0580,4.8
32000,tg,attn.idx,12.0,0.0491,4.1
32000,tg,dn.hist,36.0,0.0460,1.3
32000,tg,hc.norm,3.0,0.0264,8.8
32000,tg,attn.out.sum,12.0,0.0214,1.8
32000,tg,attn.qkv.sum,12.0,0.0186,1.6
32000,tg,ple.gate,1.0,0.0163,16.3
32000,tg,hc.combine,2.0,0.0109,5.5
32000,tg,ple.conv,1.0,0.0040,4.0
32000,tg,ple.hist,1.0,0.0011,1.2
64000,pp,attn.attn,12.0,0.4817,82218.3
64000,pp,moe.up,48.0,0.2716,11587.5
64000,pp,moe.down,48.0,0.1286,5485.3
64000,pp,attn.select,12.0,0.1129,19264.9
64000,pp,dn.qkv,36.0,0.0755,4295.8
64000,pp,hc.cn,94.0,0.0582,1268.9
64000,pp,attn.expand,12.0,0.0459,7834.7
64000,pp,attn.score,12.0,0.0394,6720.1
64000,pp,hc.up,97.0,0.0343,725.1
64000,pp,dn.scan,36.0,0.0298,1694.3
64000,pp,dn.out,36.0,0.0280,1590.6
64000,pp,moe.combine,48.0,0.0279,1192.1
64000,pp,hc.down,97.0,0.0266,561.0
64000,pp,attn.qkv,12.0,0.0223,3811.9
64000,pp,move,196.0,0.0158,165.3
64000,pp,dn.conv,36.0,0.0134,762.2
64000,pp,moe.shexp.up,48.0,0.0121,518.4
64000,pp,dn.norm,36.0,0.0103,583.3
64000,pp,attn.out,12.0,0.0094,1602.9
64000,pp,moe.shexp.down,48.0,0.0058,249.5
64000,pp,moe.router,48.0,0.0040,169.6
64000,pp,attn.pack,12.0,0.0031,522.7
64000,pp,ple.kv,1.0,0.0018,3777.4
64000,pp,moe.perm.up,48.0,0.0015,61.9
64000,pp,hc.combine,2.0,0.0013,1361.8
64000,pp,head.head,1.0,0.0012,2519.3
64000,pp,moe.route,48.0,0.0012,51.1
64000,pp,hc.norm,3.0,0.0010,660.4
64000,pp,ple.gate,1.0,0.0009,1798.1
64000,pp,ple.conv,1.0,0.0007,1516.5
64000,pp,attn.idx,12.0,0.0002,40.9
64000,pp,dn.hist,36.0,0.0001,4.0
64000,pp,ple.hist,1.0,0.0000,2.4
64000,pp,hc.down_reduce,1.0,0.0000,1.3
64000,tg,moe.up,48.0,5.5202,115.0
64000,tg,dn.qkv,36.0,4.4530,123.7
64000,tg,attn.attn.split,12.0,3.2111,267.6
64000,tg,moe.down,48.0,2.5617,53.4
64000,tg,dn.out,36.0,2.5165,69.9
64000,tg,head.head,1.0,2.4337,2433.9
64000,tg,hc.cn,94.0,2.3505,25.0
64000,tg,hc.up,97.0,1.8405,19.0
64000,tg,attn.qkv,12.0,1.5473,128.9
64000,tg,hc.down,97.0,1.3885,14.3
64000,tg,dn.scan,36.0,1.1836,32.9
64000,tg,attn.select,12.0,1.1763,98.0
64000,tg,move,196.0,1.1274,5.8
64000,tg,moe.shexp.up,48.0,0.7518,15.7
64000,tg,moe.router,48.0,0.7304,15.2
