depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1810.7,1131.06,0.884,0.121,0.003,0.156,0.102,0.470,0.001,0.016,0.009,0.004,0.870
0,tg,8,273.2,29.29,34.145,5.595,0.269,8.534,3.847,10.389,2.354,1.081,1.661,0.110,32.069
32000,pp,2048,2570.6,796.71,1.255,0.121,0.003,0.157,0.458,0.449,0.001,0.016,0.046,0.004,1.205
32000,tg,8,309.6,25.84,38.702,5.697,0.285,8.762,6.462,10.624,2.526,1.119,2.646,0.155,35.476
64000,pp,2048,3098.5,660.97,1.513,0.121,0.003,0.157,0.715,0.453,0.001,0.016,0.042,0.003,1.467
64000,tg,8,324.1,24.68,40.515,5.747,0.282,8.657,7.552,10.703,2.434,1.127,3.445,0.218,36.503
96000,pp,2048,4007.0,511.10,1.957,0.121,0.003,0.157,1.148,0.460,0.001,0.016,0.045,0.003,1.907
96000,tg,8,344.2,23.24,43.028,5.746,0.275,8.679,8.505,10.493,2.355,1.127,5.245,0.127,37.180
128000,pp,2048,4342.1,471.66,2.120,0.122,0.003,0.157,1.310,0.461,0.001,0.016,0.045,0.003,2.070
128000,tg,8,348.8,22.94,43.597,5.727,0.277,8.601,9.288,10.499,2.375,1.129,5.173,0.153,37.897
