depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2848,12153.1
0,pp,moe.down,48.0,0.1349,5756.0
0,pp,dn.qkv,36.0,0.0750,4269.0
0,pp,hc.cn,94.0,0.0583,1270.4
0,pp,attn.expand,12.0,0.0376,6415.9
0,pp,hc.up,97.0,0.0343,724.1
0,pp,dn.scan,36.0,0.0298,1692.6
0,pp,moe.combine,48.0,0.0281,1198.0
0,pp,dn.out,36.0,0.0279,1588.2
0,pp,hc.down,97.0,0.0266,560.9
0,pp,attn.qkv,12.0,0.0222,3795.1
0,pp,move,196.0,0.0159,166.3
0,pp,attn.attn,12.0,0.0156,2669.6
0,pp,dn.conv,36.0,0.0133,758.6
0,pp,moe.shexp.up,48.0,0.0121,517.0
0,pp,attn.score,12.0,0.0107,1826.1
0,pp,dn.norm,36.0,0.0103,586.5
0,pp,attn.out,12.0,0.0093,1593.2
0,pp,moe.shexp.down,48.0,0.0058,248.2
0,pp,moe.router,48.0,0.0040,169.0
0,pp,attn.pack,12.0,0.0031,523.1
0,pp,attn.select,12.0,0.0026,438.2
0,pp,ple.kv,1.0,0.0018,3705.5
0,pp,moe.perm.up,48.0,0.0015,62.3
0,pp,hc.combine,2.0,0.0013,1345.3
0,pp,attn.idx,12.0,0.0013,218.3
0,pp,head.head,1.0,0.0012,2491.7
0,pp,moe.route,48.0,0.0012,51.5
0,pp,ple.gate,1.0,0.0009,1799.3
0,pp,hc.norm,3.0,0.0008,513.9
0,pp,ple.conv,1.0,0.0007,1526.9
0,pp,dn.hist,36.0,0.0001,4.1
0,pp,attn.blocks,12.0,0.0001,10.7
0,pp,ple.hist,1.0,0.0000,2.7
0,pp,hc.down_reduce,1.0,0.0000,1.3
0,tg,moe.up,48.0,5.4034,112.6
0,tg,dn.qkv,36.0,4.4231,122.9
0,tg,moe.down,48.0,2.5499,53.1
0,tg,dn.out,36.0,2.5332,70.4
0,tg,head.head,1.0,2.3946,2394.7
0,tg,hc.cn,94.0,2.2926,24.4
0,tg,hc.up,97.0,1.7955,18.5
0,tg,attn.qkv,12.0,1.5389,128.2
0,tg,hc.down,97.0,1.3613,14.0
0,tg,dn.scan,36.0,1.1921,33.1
0,tg,move,196.0,1.1035,5.6
0,tg,attn.attn.split,12.0,0.9563,79.7
0,tg,attn.out,12.0,0.7923,66.0
0,tg,moe.shexp.up,48.0,0.7449,15.5
0,tg,moe.router,48.0,0.7254,15.1
0,tg,moe.shexp.down,48.0,0.4726,9.8
0,tg,moe.route,48.0,0.2851,5.9
0,tg,ple.kv,1.0,0.2516,251.7
0,tg,dn.conv,36.0,0.1936,5.4
0,tg,moe.combine,48.0,0.1491,3.1
0,tg,moe.perm.up,48.0,0.1444,3.0
0,tg,attn.select,12.0,0.1379,11.5
0,tg,attn.score,12.0,0.1326,11.1
0,tg,dn.norm,36.0,0.1310,3.6
0,tg,hc.down_reduce,97.0,0.1265,1.3
0,tg,attn.pack,12.0,0.0941,7.8
0,tg,moe.router.sum,48.0,0.0684,1.4
0,tg,attn.attn.combine,12.0,0.0659,5.5
0,tg,dn.qkv.sum,36.0,0.0639,1.8
0,tg,dn.out.sum,36.0,0.0638,1.8
0,tg,attn.idx,12.0,0.0522,4.4
0,tg,dn.hist,36.0,0.0459,1.3
0,tg,attn.expand,12.0,0.0401,3.4
0,tg,hc.norm,3.0,0.0259,8.6
0,tg,attn.out.sum,12.0,0.0216,1.8
0,tg,attn.qkv.sum,12.0,0.0214,1.8
0,tg,ple.gate,1.0,0.0158,15.8
0,tg,hc.combine,2.0,0.0091,4.6
0,tg,ple.conv,1.0,0.0040,4.0
0,tg,ple.hist,1.0,0.0011,1.2
32000,pp,attn.attn,12.0,0.2979,50835.4
32000,pp,moe.up,48.0,0.2697,11506.3
32000,pp,moe.down,48.0,0.1277,5448.9
32000,pp,dn.qkv,36.0,0.0754,4287.5
32000,pp,hc.cn,94.0,0.0582,1267.7
32000,pp,attn.select,12.0,0.0570,9727.6
32000,pp,attn.expand,12.0,0.0432,7378.9
32000,pp,hc.up,97.0,0.0344,725.8
32000,pp,dn.scan,36.0,0.0298,1694.4
32000,pp,dn.out,36.0,0.0280,1595.7
32000,pp,moe.combine,48.0,0.0280,1192.8
32000,pp,hc.down,97.0,0.0265,559.3
32000,pp,attn.score,12.0,0.0230,3919.7
32000,pp,attn.qkv,12.0,0.0223,3808.3
32000,pp,move,196.0,0.0158,165.1
32000,pp,dn.conv,36.0,0.0133,759.4
32000,pp,moe.shexp.up,48.0,0.0121,517.5
32000,pp,dn.norm,36.0,0.0103,583.7
32000,pp,attn.out,12.0,0.0094,1608.9
32000,pp,moe.shexp.down,48.0,0.0059,251.7
32000,pp,moe.router,48.0,0.0040,168.6
32000,pp,attn.pack,12.0,0.0030,519.5
32000,pp,ple.kv,1.0,0.0018,3706.0
32000,pp,moe.perm.up,48.0,0.0015,62.1
32000,pp,hc.combine,2.0,0.0013,1324.8
32000,pp,head.head,1.0,0.0012,2488.2
32000,pp,moe.route,48.0,0.0012,51.2
32000,pp,ple.gate,1.0,0.0009,1798.4
32000,pp,hc.norm,3.0,0.0008,532.4
32000,pp,ple.conv,1.0,0.0007,1526.2
32000,pp,attn.blocks,12.0,0.0003,48.0
32000,pp,attn.idx,12.0,0.0002,40.7
32000,pp,dn.hist,36.0,0.0001,4.1
32000,pp,ple.hist,1.0,0.0000,2.4
32000,pp,hc.down_reduce,1.0,0.0000,1.3
32000,tg,moe.up,48.0,5.4416,113.4
32000,tg,dn.qkv,36.0,4.3426,120.6
32000,tg,attn.attn.split,12.0,2.9446,245.4
32000,tg,moe.down,48.0,2.5412,52.9
32000,tg,dn.out,36.0,2.5010,69.5
32000,tg,head.head,1.0,2.3702,2370.3
32000,tg,hc.cn,94.0,2.3296,24.8
32000,tg,hc.up,97.0,1.7982,18.5
32000,tg,attn.qkv,12.0,1.5283,127.4
32000,tg,hc.down,97.0,1.3567,14.0
32000,tg,dn.scan,36.0,1.1783,32.7
32000,tg,move,196.0,1.1167,5.7
32000,tg,moe.shexp.up,48.0,0.7531,15.7
32000,tg,moe.router,48.0,0.7355,15.3
32000,tg,attn.select,12.0,0.6624,55.2
32000,tg,attn.out,12.0,0.6328,52.7
32000,tg,moe.shexp.down,48.0,0.4735,9.9
32000,tg,attn.score,12.0,0.3710,30.9
32000,tg,ple.kv,1.0,0.3095,309.6
32000,tg,moe.route,48.0,0.2928,6.1
32000,tg,dn.conv,36.0,0.1936,5.4
32000,tg,moe.combine,48.0,0.1526,3.2
32000,tg,moe.perm.up,48.0,0.1477,3.1
32000,tg,dn.norm,36.0,0.1326,3.7
32000,tg,hc.down_reduce,97.0,0.1273,1.3
32000,tg,attn.pack,12.0,0.0940,7.8
32000,tg,attn.attn.combine,12.0,0.0755,6.3
32000,tg,moe.router.sum,48.0,0.0700,1.5
32000,tg,dn.out.sum,36.0,0.0653,1.8
32000,tg,dn.qkv.sum,36.0,0.0640,1.8
32000,tg,attn.expand,12.0,0.0576,4.8
32000,tg,attn.idx,12.0,0.0521,4.3
32000,tg,dn.hist,36.0,0.0473,1.3
32000,tg,hc.norm,3.0,0.0283,9.4
32000,tg,attn.out.sum,12.0,0.0219,1.8
32000,tg,attn.qkv.sum,12.0,0.0211,1.8
32000,tg,ple.gate,1.0,0.0201,20.2
32000,tg,hc.combine,2.0,0.0119,6.0
32000,tg,ple.conv,1.0,0.0040,4.1
32000,tg,ple.hist,1.0,0.0011,1.2
64000,pp,attn.attn,12.0,0.4725,80641.9
64000,pp,moe.up,48.0,0.2720,11606.1
64000,pp,moe.down,48.0,0.1288,5495.0
64000,pp,attn.select,12.0,0.1131,19296.9
64000,pp,dn.qkv,36.0,0.0754,4292.2
64000,pp,hc.cn,94.0,0.0581,1265.7
64000,pp,attn.expand,12.0,0.0459,7833.3
64000,pp,attn.score,12.0,0.0393,6710.5
64000,pp,hc.up,97.0,0.0343,724.4
64000,pp,dn.scan,36.0,0.0298,1695.4
64000,pp,moe.combine,48.0,0.0279,1190.6
64000,pp,dn.out,36.0,0.0279,1584.9
64000,pp,hc.down,97.0,0.0265,559.1
64000,pp,attn.qkv,12.0,0.0224,3815.9
64000,pp,move,196.0,0.0158,165.2
64000,pp,dn.conv,36.0,0.0133,758.9
64000,pp,moe.shexp.up,48.0,0.0122,520.4
