depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1814.1,1128.92,0.886,0.121,0.003,0.156,0.102,0.472,0.001,0.016,0.007,0.004,0.873
0,tg,8,274.8,29.11,34.349,5.611,0.273,8.647,3.854,10.543,2.395,1.103,1.517,0.128,32.428
32000,pp,2048,2567.1,797.79,1.253,0.121,0.003,0.157,0.456,0.450,0.001,0.016,0.044,0.003,1.205
32000,tg,8,305.0,26.23,38.125,5.652,0.335,8.525,6.462,10.608,2.370,1.117,2.578,0.137,35.071
64000,pp,2048,3083.1,664.26,1.505,0.121,0.003,0.157,0.706,0.453,0.001,0.016,0.042,0.004,1.458
64000,tg,8,329.6,24.28,41.194,5.798,0.306,8.990,7.608,10.870,2.387,1.149,3.408,0.223,37.108
96000,pp,2048,4045.8,506.20,1.976,0.122,0.003,0.157,1.165,0.462,0.001,0.016,0.046,0.003,1.926
96000,tg,8,335.1,23.87,41.886,5.705,0.351,8.687,8.417,10.546,2.342,1.127,4.098,0.159,37.175
128000,pp,2048,4375.1,468.10,2.136,0.122,0.003,0.157,1.327,0.461,0.001,0.016,0.045,0.003,2.087
128000,tg,8,343.1,23.31,42.894,5.742,0.291,8.607,9.288,10.677,2.361,1.127,4.194,0.202,38.096
