depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2839,12114.1
0,pp,moe.down,48.0,0.1348,5750.3
0,pp,dn.qkv,36.0,0.0749,4261.6
0,pp,hc.cn,94.0,0.0580,1264.3
0,pp,attn.expand,12.0,0.0375,6406.0
0,pp,hc.up,97.0,0.0342,722.6
0,pp,dn.scan,36.0,0.0295,1679.4
0,pp,moe.combine,48.0,0.0280,1195.6
0,pp,dn.out,36.0,0.0275,1561.9
0,pp,hc.down,97.0,0.0265,559.7
0,pp,attn.qkv,12.0,0.0222,3785.6
0,pp,attn.attn,12.0,0.0167,2847.0
0,pp,move,196.0,0.0158,165.6
0,pp,dn.conv,36.0,0.0134,762.8
0,pp,moe.shexp.up,48.0,0.0122,522.1
0,pp,attn.score,12.0,0.0107,1832.7
0,pp,dn.norm,36.0,0.0103,584.5
0,pp,attn.out,12.0,0.0093,1591.5
0,pp,moe.shexp.down,48.0,0.0058,247.0
0,pp,moe.router,48.0,0.0040,168.6
0,pp,attn.pack,12.0,0.0030,516.2
0,pp,attn.select,12.0,0.0026,443.3
0,pp,ple.kv,1.0,0.0018,3739.8
0,pp,moe.perm.up,48.0,0.0015,61.9
0,pp,hc.combine,2.0,0.0013,1345.3
0,pp,attn.idx,12.0,0.0013,222.2
0,pp,head.head,1.0,0.0012,2496.4
0,pp,moe.route,48.0,0.0012,50.9
0,pp,ple.gate,1.0,0.0009,1812.4
0,pp,hc.norm,3.0,0.0008,535.5
0,pp,ple.conv,1.0,0.0007,1516.4
0,pp,dn.hist,36.0,0.0001,4.8
0,pp,ple.hist,1.0,0.0000,2.8
0,pp,hc.down_reduce,1.0,0.0000,1.3
0,tg,moe.up,48.0,5.4378,113.3
0,tg,dn.qkv,36.0,4.3725,121.5
0,tg,moe.down,48.0,2.5391,52.9
0,tg,dn.out,36.0,2.5004,69.5
0,tg,head.head,1.0,2.3740,2374.1
0,tg,hc.cn,94.0,2.3159,24.6
0,tg,hc.up,97.0,1.7879,18.4
0,tg,attn.qkv,12.0,1.5490,129.1
0,tg,hc.down,97.0,1.3562,14.0
0,tg,dn.scan,36.0,1.1806,32.8
0,tg,move,196.0,1.0857,5.5
0,tg,attn.attn.split,12.0,0.9066,75.6
0,tg,attn.out,12.0,0.8113,67.6
0,tg,moe.shexp.up,48.0,0.7435,15.5
0,tg,moe.router,48.0,0.7159,14.9
0,tg,moe.shexp.down,48.0,0.4773,9.9
0,tg,moe.route,48.0,0.2848,5.9
0,tg,ple.kv,1.0,0.2516,251.7
0,tg,dn.conv,36.0,0.1919,5.3
0,tg,moe.combine,48.0,0.1490,3.1
0,tg,moe.perm.up,48.0,0.1412,2.9
0,tg,attn.select,12.0,0.1386,11.6
0,tg,dn.norm,36.0,0.1343,3.7
0,tg,attn.score,12.0,0.1329,11.1
0,tg,hc.down_reduce,97.0,0.1263,1.3
0,tg,attn.pack,12.0,0.0943,7.9
0,tg,attn.attn.combine,12.0,0.0673,5.6
0,tg,moe.router.sum,48.0,0.0671,1.4
0,tg,dn.qkv.sum,36.0,0.0639,1.8
0,tg,dn.out.sum,36.0,0.0561,1.6
