depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1813.4,1129.35,0.885,0.121,0.003,0.156,0.103,0.471,0.001,0.016,0.008,0.003,0.872
0,tg,8,271.7,29.44,33.966,5.620,0.273,8.551,3.821,10.556,2.374,1.086,1.299,0.119,32.282
32000,pp,2048,2480.0,825.81,1.211,0.121,0.003,0.157,0.411,0.451,0.001,0.016,0.046,0.004,1.160
32000,tg,8,300.6,26.61,37.573,5.631,0.356,8.507,5.829,10.553,2.459,1.100,2.630,0.168,34.436
64000,pp,2048,2846.1,719.58,1.390,0.121,0.003,0.157,0.588,0.455,0.001,0.016,0.043,0.003,1.342
64000,tg,8,319.9,25.01,39.984,5.761,0.304,8.620,6.973,10.776,2.358,1.136,3.467,0.238,35.928
96000,pp,2048,3368.9,607.91,1.645,0.121,0.003,0.157,0.834,0.464,0.001,0.016,0.045,0.004,1.596
96000,tg,8,342.6,23.35,42.828,5.753,0.276,8.589,8.134,10.642,2.409,1.129,5.229,0.132,36.932
128000,pp,2048,3633.8,563.60,1.774,0.121,0.003,0.157,0.963,0.462,0.001,0.016,0.045,0.004,1.724
128000,tg,8,359.2,22.27,44.904,5.867,0.273,9.067,9.424,10.816,2.493,1.161,5.234,0.189,39.103
