depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2840,12118.1
0,pp,moe.down,48.0,0.1340,5719.1
0,pp,dn.qkv,36.0,0.0746,4241.8
0,pp,hc.cn,94.0,0.0584,1272.3
0,pp,hc.up,97.0,0.0342,722.5
0,pp,attn.attn,12.0,0.0317,5415.8
0,pp,dn.scan,36.0,0.0296,1685.1
0,pp,moe.combine,48.0,0.0280,1193.6
0,pp,dn.out,36.0,0.0276,1569.1
0,pp,hc.down,97.0,0.0266,561.5
0,pp,attn.qkv,12.0,0.0223,3802.6
0,pp,move,196.0,0.0158,165.2
0,pp,attn.score,12.0,0.0139,2370.6
0,pp,dn.conv,36.0,0.0134,761.6
0,pp,moe.shexp.up,48.0,0.0121,515.3
0,pp,dn.norm,36.0,0.0102,583.1
0,pp,attn.out,12.0,0.0094,1601.2
0,pp,moe.shexp.down,48.0,0.0057,242.7
0,pp,moe.router,48.0,0.0040,169.0
0,pp,attn.pack,12.0,0.0028,474.7
0,pp,ple.kv,1.0,0.0019,3860.0
0,pp,attn.select,12.0,0.0015,254.5
0,pp,moe.perm.up,48.0,0.0015,62.0
0,pp,hc.combine,2.0,0.0013,1369.9
0,pp,head.head,1.0,0.0012,2531.3
0,pp,attn.idx,12.0,0.0012,207.5
0,pp,moe.route,48.0,0.0012,51.3
0,pp,ple.gate,1.0,0.0009,1815.4
0,pp,hc.norm,3.0,0.0008,526.7
0,pp,ple.conv,1.0,0.0008,1548.2
0,pp,attn.attn.gather,12.0,0.0001,19.0
0,pp,attn.attn.gathmask,12.0,0.0001,18.6
0,pp,dn.hist,36.0,0.0001,4.1
0,pp,ple.hist,1.0,0.0000,2.6
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,moe.up,48.0,5.3011,110.4
0,tg,dn.qkv,36.0,4.0731,113.1
0,tg,moe.down,48.0,2.5269,52.6
0,tg,head.head,1.0,2.3840,2384.0
0,tg,hc.up,97.0,1.7388,17.9
0,tg,dn.out,36.0,1.6127,44.8
0,tg,attn.qkv,12.0,1.4321,119.3
0,tg,hc.down,97.0,1.3527,13.9
0,tg,attn.attn.split,12.0,0.9892,82.4
0,tg,moe.shexp.up,48.0,0.7447,15.5
0,tg,moe.router,48.0,0.7024,14.6
0,tg,hc.cn,94.0,0.6746,7.2
0,tg,attn.out,12.0,0.6561,54.7
0,tg,dn.scan,36.0,0.6419,17.8
0,tg,move,196.0,0.5505,2.8
0,tg,moe.shexp.down,48.0,0.4669,9.7
0,tg,moe.route,48.0,0.2759,5.7
0,tg,ple.kv,1.0,0.2644,264.5
0,tg,moe.combine,48.0,0.1580,3.3
0,tg,dn.conv,36.0,0.1485,4.1
0,tg,moe.perm.up,48.0,0.1393,2.9
0,tg,dn.norm,36.0,0.1281,3.6
0,tg,hc.down_reduce,97.0,0.1107,1.1
0,tg,attn.score,12.0,0.0896,7.5
0,tg,attn.select,12.0,0.0883,7.4
