depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,4.0,0.0251,12832.2
0,pp,moe.down,4.0,0.0114,5833.1
0,pp,dn.qkv,3.0,0.0062,4240.8
0,pp,hc.cn,6.0,0.0037,1279.2
0,pp,hc.up,9.0,0.0029,655.9
0,pp,attn.attn,1.0,0.0027,5493.0
0,pp,dn.scan,3.0,0.0025,1716.2
0,pp,moe.combine,4.0,0.0023,1190.7
0,pp,dn.out,3.0,0.0023,1578.6
0,pp,move,20.0,0.0023,232.1
0,pp,hc.down,9.0,0.0022,500.9
0,pp,attn.qkv,1.0,0.0019,3813.9
0,pp,ple.kv,1.0,0.0019,3800.1
0,pp,hc.combine,2.0,0.0013,1343.8
0,pp,head.head,1.0,0.0012,2519.4
0,pp,dn.conv,3.0,0.0011,759.7
0,pp,moe.shexp.up,4.0,0.0010,515.6
0,pp,ple.gate,1.0,0.0009,1794.4
0,pp,dn.norm,3.0,0.0009,585.0
0,pp,hc.norm,3.0,0.0008,577.8
0,pp,attn.out,1.0,0.0008,1606.7
0,pp,ple.conv,1.0,0.0007,1525.8
0,pp,moe.shexp.down,4.0,0.0005,245.8
0,pp,moe.router,4.0,0.0003,167.9
0,pp,attn.score,1.0,0.0002,471.1
0,pp,attn.pack,1.0,0.0002,469.5
0,pp,moe.perm.up,4.0,0.0001,62.1
0,pp,attn.select,1.0,0.0001,226.8
0,pp,moe.route,4.0,0.0001,53.0
0,pp,attn.idx,1.0,0.0000,66.0
0,pp,attn.attn.gathmask,1.0,0.0000,19.6
0,pp,attn.attn.gather,1.0,0.0000,17.0
0,pp,dn.hist,3.0,0.0000,4.3
0,pp,ple.hist,1.0,0.0000,2.5
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,head.head,1.0,2.3828,2382.9
0,tg,moe.up,4.0,0.4437,111.0
0,tg,dn.qkv,3.0,0.3543,118.1
0,tg,ple.kv,1.0,0.3510,351.2
0,tg,moe.down,4.0,0.2205,55.1
0,tg,hc.up,9.0,0.1645,18.3
0,tg,dn.out,3.0,0.1417,47.3
0,tg,hc.down,9.0,0.1290,14.3
0,tg,attn.qkv,1.0,0.1165,116.5
0,tg,move,20.0,0.0840,4.2
0,tg,attn.attn.split,1.0,0.0818,81.8
0,tg,moe.shexp.up,4.0,0.0680,17.0
0,tg,dn.scan,3.0,0.0622,20.8
0,tg,moe.router,4.0,0.0583,14.6
0,tg,attn.out,1.0,0.0558,55.9
0,tg,hc.cn,6.0,0.0437,7.3
0,tg,moe.shexp.down,4.0,0.0408,10.2
0,tg,hc.norm,3.0,0.0248,8.3
0,tg,ple.gate,1.0,0.0238,23.9
0,tg,moe.route,4.0,0.0230,5.8
0,tg,moe.combine,4.0,0.0152,3.9
0,tg,dn.conv,3.0,0.0132,4.5
0,tg,moe.perm.up,4.0,0.0115,2.9
0,tg,hc.down_reduce,9.0,0.0110,1.2
0,tg,dn.norm,3.0,0.0092,3.1
0,tg,hc.combine,2.0,0.0090,4.6
0,tg,attn.score,1.0,0.0075,7.6
0,tg,attn.select,1.0,0.0070,7.2
0,tg,attn.attn.combine,1.0,0.0057,5.8
0,tg,ple.conv,1.0,0.0055,5.7
0,tg,moe.router.sum,4.0,0.0050,1.3
0,tg,dn.qkv.sum,3.0,0.0050,1.7
0,tg,dn.out.sum,3.0,0.0045,1.6
0,tg,attn.pack,1.0,0.0043,4.3
0,tg,dn.hist,3.0,0.0035,1.2
0,tg,attn.idx,1.0,0.0030,3.1
0,tg,attn.out.sum,1.0,0.0020,2.0
0,tg,ple.hist,1.0,0.0018,1.9
0,tg,attn.qkv.sum,1.0,0.0018,1.8
2048,pp,moe.up,4.0,0.0243,12447.6
2048,pp,moe.down,4.0,0.0112,5731.3
2048,pp,attn.attn,1.0,0.0073,14902.4
2048,pp,dn.qkv,3.0,0.0062,4256.1
2048,pp,hc.cn,6.0,0.0038,1293.1
2048,pp,hc.up,9.0,0.0029,651.6
2048,pp,dn.scan,3.0,0.0025,1692.7
2048,pp,moe.combine,4.0,0.0023,1191.1
2048,pp,dn.out,3.0,0.0023,1558.5
2048,pp,move,20.0,0.0022,229.8
2048,pp,hc.down,9.0,0.0022,510.5
2048,pp,attn.qkv,1.0,0.0019,3818.4
2048,pp,ple.kv,1.0,0.0019,3796.0
2048,pp,hc.combine,2.0,0.0013,1353.7
2048,pp,head.head,1.0,0.0012,2511.9
2048,pp,dn.conv,3.0,0.0011,762.1
2048,pp,moe.shexp.up,4.0,0.0010,511.8
2048,pp,ple.gate,1.0,0.0009,1807.6
2048,pp,hc.norm,3.0,0.0009,600.5
2048,pp,dn.norm,3.0,0.0009,584.1
2048,pp,attn.out,1.0,0.0008,1603.6
2048,pp,ple.conv,1.0,0.0007,1527.6
2048,pp,moe.shexp.down,4.0,0.0005,243.0
2048,pp,moe.router,4.0,0.0003,167.8
2048,pp,attn.score,1.0,0.0002,501.9
2048,pp,attn.pack,1.0,0.0002,468.4
2048,pp,moe.perm.up,4.0,0.0001,61.7
2048,pp,attn.select,1.0,0.0001,230.7
2048,pp,moe.route,4.0,0.0001,55.8
2048,pp,attn.attn.gathmask,1.0,0.0001,128.6
2048,pp,attn.idx,1.0,0.0000,40.0
2048,pp,attn.attn.gather,1.0,0.0000,31.3
2048,pp,dn.hist,3.0,0.0000,4.4
2048,pp,ple.hist,1.0,0.0000,2.5
2048,pp,hc.down_reduce,1.0,0.0000,1.2
2048,tg,head.head,1.0,2.3620,2362.1
2048,tg,moe.up,4.0,0.5082,127.1
2048,tg,dn.qkv,3.0,0.3670,122.3
2048,tg,ple.kv,1.0,0.2685,268.5
2048,tg,moe.down,4.0,0.2188,54.7
2048,tg,hc.up,9.0,0.1780,19.8
2048,tg,dn.out,3.0,0.1470,49.0
2048,tg,hc.down,9.0,0.1330,14.8
2048,tg,attn.attn.split,1.0,0.1305,130.7
2048,tg,attn.qkv,1.0,0.1187,118.9
2048,tg,move,20.0,0.0882,4.4
2048,tg,moe.shexp.up,4.0,0.0688,17.2
2048,tg,dn.scan,3.0,0.0670,22.3
2048,tg,moe.router,4.0,0.0605,15.2
2048,tg,attn.out,1.0,0.0545,54.5
2048,tg,hc.cn,6.0,0.0480,8.0
2048,tg,moe.shexp.down,4.0,0.0413,10.3
2048,tg,moe.route,4.0,0.0285,7.1
2048,tg,hc.norm,3.0,0.0255,8.5
2048,tg,ple.gate,1.0,0.0160,16.1
2048,tg,moe.combine,4.0,0.0158,4.0
2048,tg,dn.conv,3.0,0.0155,5.2
2048,tg,moe.perm.up,4.0,0.0138,3.5
2048,tg,dn.norm,3.0,0.0125,4.2
2048,tg,hc.down_reduce,9.0,0.0123,1.4
2048,tg,hc.combine,2.0,0.0085,4.4
2048,tg,attn.select,1.0,0.0085,8.6
2048,tg,attn.score,1.0,0.0085,8.6
2048,tg,dn.qkv.sum,3.0,0.0067,2.3
2048,tg,moe.router.sum,4.0,0.0063,1.6
2048,tg,dn.out.sum,3.0,0.0060,2.1
2048,tg,attn.attn.combine,1.0,0.0057,5.8
2048,tg,dn.hist,3.0,0.0045,1.5
2048,tg,attn.pack,1.0,0.0043,4.4
2048,tg,attn.attn.gathmask,0.8,0.0040,5.5
2048,tg,ple.conv,1.0,0.0040,4.1
2048,tg,attn.idx,1.0,0.0030,3.2
2048,tg,attn.attn.gather,0.8,0.0027,3.7
2048,tg,attn.out.sum,1.0,0.0020,2.1
2048,tg,attn.qkv.sum,1.0,0.0018,1.9
2048,tg,ple.hist,1.0,0.0010,1.2
4096,pp,moe.up,4.0,0.0247,12640.5
4096,pp,moe.down,4.0,0.0112,5710.0
4096,pp,attn.attn,1.0,0.0102,20940.3
4096,pp,dn.qkv,3.0,0.0062,4235.0
4096,pp,hc.cn,6.0,0.0037,1270.6
4096,pp,hc.up,9.0,0.0029,651.2
4096,pp,dn.scan,3.0,0.0025,1710.3
4096,pp,hc.down,9.0,0.0025,561.6
4096,pp,dn.out,3.0,0.0024,1608.8
