depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,184.7,11086.71,0.090,0.011,0.003,0.013,0.007,0.041,0.001,0.002,0.009,0.003,0.078
0,tg,4,20.7,192.82,5.186,0.371,0.274,0.599,0.285,0.864,2.371,0.070,0.043,0.136,4.834
2048,pp,2048,194.2,10548.09,0.095,0.011,0.003,0.013,0.010,0.040,0.001,0.002,0.010,0.003,0.081
2048,tg,4,22.1,181.22,5.518,0.391,0.277,0.620,0.298,0.964,2.382,0.085,0.073,0.185,5.018
4096,pp,2048,193.2,10598.04,0.094,0.011,0.003,0.013,0.010,0.040,0.001,0.002,0.010,0.003,0.081
4096,tg,4,22.0,182.19,5.489,0.413,0.304,0.634,0.290,0.967,2.370,0.088,0.066,0.152,5.068
8192,pp,2048,194.6,10522.42,0.095,0.011,0.003,0.013,0.010,0.041,0.001,0.002,0.009,0.003,0.083
8192,tg,4,21.9,182.65,5.475,0.406,0.267,0.631,0.295,0.921,2.402,0.080,0.072,0.169,5.003
16384,pp,2048,196.5,10421.67,0.096,0.011,0.003,0.013,0.011,0.041,0.001,0.002,0.009,0.004,0.082
16384,tg,4,23.0,174.20,5.740,0.420,0.294,0.636,0.300,0.907,2.364,0.079,0.065,0.158,5.002
