depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2838,12108.2
0,pp,moe.down,48.0,0.1340,5719.0
0,pp,dn.qkv,36.0,0.0746,4242.6
0,pp,hc.cn,94.0,0.0583,1270.4
0,pp,hc.up,97.0,0.0343,723.8
0,pp,attn.attn,12.0,0.0316,5391.1
0,pp,dn.scan,36.0,0.0296,1683.8
0,pp,moe.combine,48.0,0.0280,1195.8
0,pp,dn.out,36.0,0.0275,1565.9
0,pp,hc.down,97.0,0.0266,562.5
0,pp,attn.qkv,12.0,0.0223,3804.5
0,pp,move,196.0,0.0158,165.5
0,pp,attn.score,12.0,0.0139,2373.2
0,pp,dn.conv,36.0,0.0134,760.1
0,pp,moe.shexp.up,48.0,0.0120,511.5
0,pp,dn.norm,36.0,0.0102,582.5
0,pp,attn.out,12.0,0.0094,1598.7
0,pp,moe.shexp.down,48.0,0.0057,243.1
0,pp,moe.router,48.0,0.0040,168.6
0,pp,attn.pack,12.0,0.0028,472.0
0,pp,ple.kv,1.0,0.0018,3772.9
0,pp,attn.select,12.0,0.0015,256.0
0,pp,moe.perm.up,48.0,0.0014,61.8
0,pp,hc.combine,2.0,0.0013,1363.0
0,pp,attn.idx,12.0,0.0013,218.2
0,pp,head.head,1.0,0.0012,2490.3
0,pp,moe.route,48.0,0.0012,51.1
0,pp,ple.gate,1.0,0.0009,1800.7
0,pp,hc.norm,3.0,0.0008,535.0
0,pp,ple.conv,1.0,0.0007,1527.2
0,pp,attn.attn.gather,12.0,0.0001,19.1
0,pp,attn.attn.gathmask,12.0,0.0001,18.3
0,pp,dn.hist,36.0,0.0001,4.1
0,pp,ple.hist,1.0,0.0000,2.6
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,moe.up,48.0,5.2964,110.3
0,tg,dn.qkv,36.0,4.0767,113.2
0,tg,moe.down,48.0,2.5199,52.5
0,tg,head.head,1.0,2.3829,2383.0
0,tg,hc.up,97.0,1.7576,18.1
