depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2838,12110.2
0,pp,moe.down,48.0,0.1342,5724.7
0,pp,dn.qkv,36.0,0.0747,4248.4
0,pp,hc.cn,94.0,0.0583,1270.9
0,pp,hc.up,97.0,0.0343,724.8
0,pp,attn.attn,12.0,0.0316,5388.9
0,pp,dn.scan,36.0,0.0297,1689.5
0,pp,moe.combine,48.0,0.0280,1194.1
0,pp,dn.out,36.0,0.0274,1560.7
0,pp,hc.down,97.0,0.0268,565.7
0,pp,attn.qkv,12.0,0.0223,3803.1
0,pp,move,196.0,0.0158,165.4
0,pp,attn.score,12.0,0.0139,2367.7
0,pp,dn.conv,36.0,0.0133,758.2
0,pp,moe.shexp.up,48.0,0.0122,518.7
0,pp,dn.norm,36.0,0.0102,582.5
0,pp,attn.out,12.0,0.0094,1597.5
0,pp,moe.shexp.down,48.0,0.0057,242.2
0,pp,moe.router,48.0,0.0039,168.0
0,pp,attn.pack,12.0,0.0028,474.6
0,pp,ple.kv,1.0,0.0019,3802.5
0,pp,attn.select,12.0,0.0015,254.0
0,pp,moe.perm.up,48.0,0.0014,61.8
0,pp,hc.combine,2.0,0.0013,1363.9
0,pp,head.head,1.0,0.0012,2545.9
0,pp,attn.idx,12.0,0.0012,209.0
0,pp,moe.route,48.0,0.0012,51.2
0,pp,ple.gate,1.0,0.0009,1794.1
0,pp,hc.norm,3.0,0.0008,523.6
0,pp,ple.conv,1.0,0.0007,1523.1
0,pp,attn.attn.gather,12.0,0.0001,19.0
0,pp,attn.attn.gathmask,12.0,0.0001,18.5
0,pp,dn.hist,36.0,0.0001,4.3
0,pp,ple.hist,1.0,0.0000,2.5
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,moe.up,48.0,5.3220,110.9
0,tg,dn.qkv,36.0,4.0687,113.0
0,tg,moe.down,48.0,2.5181,52.5
0,tg,head.head,1.0,2.3943,2394.3
0,tg,hc.up,97.0,1.7636,18.2
0,tg,dn.out,36.0,1.6433,45.6
0,tg,attn.qkv,12.0,1.4353,119.6
0,tg,hc.down,97.0,1.3599,14.0
0,tg,attn.attn.split,12.0,0.9916,82.6
0,tg,moe.shexp.up,48.0,0.7401,15.4
0,tg,moe.router,48.0,0.7085,14.8
0,tg,hc.cn,94.0,0.6857,7.3
0,tg,dn.scan,36.0,0.6469,18.0
0,tg,attn.out,12.0,0.6469,53.9
0,tg,move,196.0,0.5494,2.8
0,tg,moe.shexp.down,48.0,0.4670,9.7
0,tg,moe.route,48.0,0.2767,5.8
0,tg,ple.kv,1.0,0.2628,262.8
0,tg,moe.combine,48.0,0.1490,3.1
0,tg,dn.conv,36.0,0.1471,4.1
0,tg,moe.perm.up,48.0,0.1369,2.9
0,tg,dn.norm,36.0,0.1250,3.5
0,tg,hc.down_reduce,97.0,0.1143,1.2
0,tg,attn.score,12.0,0.0902,7.5
0,tg,attn.select,12.0,0.0891,7.4
0,tg,attn.attn.combine,12.0,0.0699,5.8
0,tg,dn.qkv.sum,36.0,0.0652,1.8
0,tg,moe.router.sum,48.0,0.0645,1.3
0,tg,dn.out.sum,36.0,0.0633,1.8
0,tg,attn.pack,12.0,0.0511,4.3
0,tg,dn.hist,36.0,0.0447,1.2
0,tg,attn.idx,12.0,0.0376,3.1
0,tg,hc.norm,3.0,0.0235,7.8
0,tg,attn.out.sum,12.0,0.0222,1.9
0,tg,attn.qkv.sum,12.0,0.0208,1.7
0,tg,ple.gate,1.0,0.0161,16.1
0,tg,hc.combine,2.0,0.0086,4.3
0,tg,ple.conv,1.0,0.0038,3.8
0,tg,ple.hist,1.0,0.0011,1.2
4096,pp,moe.up,48.0,0.2731,11651.9
4096,pp,moe.down,48.0,0.1293,5515.5
4096,pp,attn.attn,12.0,0.1136,19379.7
4096,pp,dn.qkv,36.0,0.0746,4246.5
4096,pp,hc.cn,94.0,0.0582,1268.7
4096,pp,hc.up,97.0,0.0344,726.5
4096,pp,dn.scan,36.0,0.0297,1687.2
4096,pp,moe.combine,48.0,0.0280,1193.4
4096,pp,dn.out,36.0,0.0273,1550.7
4096,pp,hc.down,97.0,0.0268,566.5
4096,pp,attn.qkv,12.0,0.0223,3803.8
4096,pp,move,196.0,0.0158,165.1
4096,pp,attn.score,12.0,0.0142,2419.2
4096,pp,dn.conv,36.0,0.0133,757.9
4096,pp,moe.shexp.up,48.0,0.0121,516.7
4096,pp,dn.norm,36.0,0.0102,582.1
4096,pp,attn.out,12.0,0.0094,1599.6
4096,pp,moe.shexp.down,48.0,0.0057,242.4
4096,pp,moe.router,48.0,0.0039,168.1
4096,pp,attn.pack,12.0,0.0028,472.2
4096,pp,attn.select,12.0,0.0019,329.7
4096,pp,ple.kv,1.0,0.0019,3802.4
4096,pp,moe.perm.up,48.0,0.0015,62.1
