depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2844,12133.1
0,pp,moe.down,48.0,0.1341,5721.5
0,pp,dn.qkv,36.0,0.0747,4247.7
0,pp,hc.cn,94.0,0.0583,1270.8
0,pp,hc.up,97.0,0.0342,723.1
0,pp,attn.attn,12.0,0.0317,5402.1
0,pp,dn.scan,36.0,0.0297,1686.8
0,pp,moe.combine,48.0,0.0280,1194.6
0,pp,dn.out,36.0,0.0274,1560.0
0,pp,hc.down,97.0,0.0266,561.5
0,pp,attn.qkv,12.0,0.0223,3808.4
0,pp,move,196.0,0.0158,165.0
0,pp,attn.score,12.0,0.0139,2378.0
0,pp,dn.conv,36.0,0.0134,760.0
0,pp,moe.shexp.up,48.0,0.0121,515.1
0,pp,dn.norm,36.0,0.0102,582.8
0,pp,attn.out,12.0,0.0094,1601.7
0,pp,moe.shexp.down,48.0,0.0057,243.1
0,pp,moe.router,48.0,0.0039,168.3
0,pp,attn.pack,12.0,0.0028,473.4
0,pp,ple.kv,1.0,0.0019,3796.0
0,pp,attn.select,12.0,0.0015,252.5
0,pp,moe.perm.up,48.0,0.0014,61.7
0,pp,hc.combine,2.0,0.0013,1335.7
0,pp,head.head,1.0,0.0012,2514.9
0,pp,attn.idx,12.0,0.0012,205.7
0,pp,moe.route,48.0,0.0012,51.2
0,pp,ple.gate,1.0,0.0009,1811.0
0,pp,hc.norm,3.0,0.0008,524.4
0,pp,ple.conv,1.0,0.0007,1508.0
0,pp,attn.attn.gather,12.0,0.0001,18.9
0,pp,attn.attn.gathmask,12.0,0.0001,18.2
0,pp,dn.hist,36.0,0.0001,4.1
0,pp,ple.hist,1.0,0.0000,2.9
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,moe.up,48.0,5.3035,110.5
0,tg,dn.qkv,36.0,4.0636,112.9
0,tg,moe.down,48.0,2.5192,52.5
0,tg,head.head,1.0,2.3850,2385.1
0,tg,hc.up,97.0,1.7659,18.2
0,tg,dn.out,36.0,1.6194,45.0
0,tg,attn.qkv,12.0,1.4296,119.1
0,tg,hc.down,97.0,1.3460,13.9
0,tg,attn.attn.split,12.0,0.9935,82.8
0,tg,moe.shexp.up,48.0,0.7358,15.3
0,tg,moe.router,48.0,0.7037,14.7
0,tg,hc.cn,94.0,0.6721,7.2
0,tg,attn.out,12.0,0.6564,54.7
0,tg,dn.scan,36.0,0.6398,17.8
0,tg,move,196.0,0.5496,2.8
0,tg,moe.shexp.down,48.0,0.4662,9.7
0,tg,moe.route,48.0,0.2765,5.8
0,tg,ple.kv,1.0,0.2581,258.2
0,tg,moe.combine,48.0,0.1492,3.1
0,tg,dn.conv,36.0,0.1473,4.1
0,tg,moe.perm.up,48.0,0.1384,2.9
0,tg,dn.norm,36.0,0.1279,3.6
