depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2849,12153.7
0,pp,moe.down,48.0,0.1342,5725.7
0,pp,dn.qkv,36.0,0.0746,4244.8
0,pp,hc.cn,94.0,0.0583,1269.2
0,pp,hc.up,97.0,0.0342,723.0
0,pp,attn.attn,12.0,0.0317,5411.2
0,pp,dn.scan,36.0,0.0295,1680.8
0,pp,moe.combine,48.0,0.0280,1193.9
0,pp,dn.out,36.0,0.0274,1556.9
0,pp,hc.down,97.0,0.0266,562.0
0,pp,attn.qkv,12.0,0.0223,3805.3
0,pp,move,196.0,0.0159,166.1
0,pp,attn.score,12.0,0.0139,2376.4
0,pp,dn.conv,36.0,0.0133,756.0
0,pp,moe.shexp.up,48.0,0.0120,513.8
0,pp,dn.norm,36.0,0.0103,583.8
0,pp,attn.out,12.0,0.0094,1600.8
0,pp,moe.shexp.down,48.0,0.0057,242.9
0,pp,moe.router,48.0,0.0040,168.8
0,pp,attn.pack,12.0,0.0028,474.0
0,pp,ple.kv,1.0,0.0018,3751.8
0,pp,attn.select,12.0,0.0015,253.9
0,pp,moe.perm.up,48.0,0.0014,61.7
0,pp,hc.combine,2.0,0.0013,1339.6
0,pp,attn.idx,12.0,0.0013,218.0
0,pp,head.head,1.0,0.0012,2552.7
0,pp,moe.route,48.0,0.0012,51.2
0,pp,ple.gate,1.0,0.0009,1812.0
0,pp,hc.norm,3.0,0.0008,536.0
0,pp,ple.conv,1.0,0.0007,1504.0
0,pp,attn.attn.gather,12.0,0.0001,19.0
0,pp,attn.attn.gathmask,12.0,0.0001,18.6
0,pp,dn.hist,36.0,0.0001,4.2
0,pp,ple.hist,1.0,0.0000,2.7
0,pp,hc.down_reduce,1.0,0.0000,1.2
0,tg,moe.up,48.0,5.3315,111.1
0,tg,dn.qkv,36.0,4.0697,113.0
0,tg,moe.down,48.0,2.5246,52.6
0,tg,head.head,1.0,2.3927,2392.8
0,tg,hc.up,97.0,1.7618,18.2
0,tg,dn.out,36.0,1.6277,45.2
0,tg,attn.qkv,12.0,1.4342,119.5
0,tg,hc.down,97.0,1.3524,13.9
0,tg,attn.attn.split,12.0,0.9911,82.6
0,tg,moe.shexp.up,48.0,0.7402,15.4
0,tg,moe.router,48.0,0.7058,14.7
0,tg,hc.cn,94.0,0.6625,7.0
0,tg,attn.out,12.0,0.6601,55.0
0,tg,dn.scan,36.0,0.6521,18.1
0,tg,move,196.0,0.5481,2.8
0,tg,moe.shexp.down,48.0,0.4712,9.8
0,tg,moe.route,48.0,0.2760,5.8
0,tg,ple.kv,1.0,0.2585,258.5
0,tg,moe.combine,48.0,0.1507,3.1
0,tg,dn.conv,36.0,0.1486,4.1
0,tg,moe.perm.up,48.0,0.1407,2.9
0,tg,dn.norm,36.0,0.1283,3.6
0,tg,hc.down_reduce,97.0,0.1086,1.1
0,tg,attn.score,12.0,0.0911,7.6
0,tg,attn.select,12.0,0.0889,7.4
0,tg,attn.attn.combine,12.0,0.0710,5.9
0,tg,dn.qkv.sum,36.0,0.0657,1.8
0,tg,moe.router.sum,48.0,0.0645,1.3
0,tg,dn.out.sum,36.0,0.0582,1.6
0,tg,attn.pack,12.0,0.0518,4.3
0,tg,dn.hist,36.0,0.0493,1.4
0,tg,attn.idx,12.0,0.0378,3.2
0,tg,hc.norm,3.0,0.0227,7.6
0,tg,attn.out.sum,12.0,0.0218,1.8
0,tg,attn.qkv.sum,12.0,0.0211,1.8
0,tg,ple.gate,1.0,0.0165,16.5
0,tg,hc.combine,2.0,0.0089,4.4
0,tg,ple.conv,1.0,0.0041,4.1
0,tg,ple.hist,1.0,0.0014,1.4
128000,pp,moe.up,48.0,0.2820,12033.3
128000,pp,moe.down,48.0,0.1314,5608.2
128000,pp,attn.attn,12.0,0.0940,16038.3
128000,pp,dn.qkv,36.0,0.0754,4291.5
128000,pp,hc.cn,94.0,0.0580,1263.7
128000,pp,hc.up,97.0,0.0346,731.2
128000,pp,dn.scan,36.0,0.0298,1694.1
128000,pp,moe.combine,48.0,0.0280,1193.2
128000,pp,dn.out,36.0,0.0277,1576.8
128000,pp,attn.score,12.0,0.0270,4605.1
128000,pp,hc.down,97.0,0.0270,569.3
128000,pp,attn.qkv,12.0,0.0228,3886.9
128000,pp,attn.select,12.0,0.0177,3021.1
128000,pp,move,196.0,0.0159,166.0
128000,pp,dn.conv,36.0,0.0133,756.4
128000,pp,moe.shexp.up,48.0,0.0124,529.4
128000,pp,dn.norm,36.0,0.0103,583.1
128000,pp,attn.out,12.0,0.0095,1617.3
128000,pp,moe.shexp.down,48.0,0.0058,248.7
128000,pp,moe.router,48.0,0.0040,172.0
128000,pp,attn.pack,12.0,0.0028,473.1
128000,pp,ple.kv,1.0,0.0018,3779.4
128000,pp,moe.perm.up,48.0,0.0015,63.1
128000,pp,attn.attn.gather,12.0,0.0015,252.4
128000,pp,hc.combine,2.0,0.0013,1340.2
128000,pp,head.head,1.0,0.0012,2537.7
128000,pp,moe.route,48.0,0.0012,52.5
128000,pp,ple.gate,1.0,0.0009,1781.1
128000,pp,hc.norm,3.0,0.0009,589.2
128000,pp,ple.conv,1.0,0.0007,1522.0
128000,pp,attn.idx,12.0,0.0002,40.7
128000,pp,dn.hist,36.0,0.0001,4.3
128000,pp,ple.hist,1.0,0.0000,2.4
128000,pp,hc.down_reduce,1.0,0.0000,1.4
128000,tg,moe.up,48.0,5.3239,110.9
128000,tg,dn.qkv,36.0,4.0727,113.1
128000,tg,moe.down,48.0,2.5198,52.5
128000,tg,head.head,1.0,2.4061,2406.1
128000,tg,hc.up,97.0,1.7640,18.2
128000,tg,dn.out,36.0,1.6297,45.3
128000,tg,attn.qkv,12.0,1.4334,119.5
128000,tg,hc.down,97.0,1.3480,13.9
128000,tg,attn.attn.split,12.0,0.9390,78.3
128000,tg,moe.shexp.up,48.0,0.7424,15.5
128000,tg,attn.score,12.0,0.7303,60.9
128000,tg,moe.router,48.0,0.7117,14.8
128000,tg,attn.select,12.0,0.6872,57.3
128000,tg,hc.cn,94.0,0.6693,7.1
128000,tg,dn.scan,36.0,0.6526,18.1
128000,tg,attn.out,12.0,0.6305,52.5
128000,tg,move,196.0,0.5525,2.8
128000,tg,moe.shexp.down,48.0,0.4681,9.8
128000,tg,moe.route,48.0,0.2758,5.7
128000,tg,ple.kv,1.0,0.2568,256.9
128000,tg,dn.conv,36.0,0.1484,4.1
128000,tg,moe.combine,48.0,0.1475,3.1
128000,tg,attn.attn.gather,12.0,0.1471,12.3
128000,tg,moe.perm.up,48.0,0.1402,2.9
128000,tg,dn.norm,36.0,0.1307,3.6
128000,tg,hc.down_reduce,97.0,0.1096,1.1
128000,tg,attn.attn.combine,12.0,0.0753,6.3
128000,tg,dn.qkv.sum,36.0,0.0668,1.9
128000,tg,moe.router.sum,48.0,0.0644,1.3
128000,tg,dn.out.sum,36.0,0.0589,1.6
128000,tg,attn.pack,12.0,0.0529,4.4
128000,tg,dn.hist,36.0,0.0501,1.4
128000,tg,attn.idx,12.0,0.0386,3.2
128000,tg,hc.norm,3.0,0.0227,7.6
128000,tg,attn.qkv.sum,12.0,0.0226,1.9
128000,tg,attn.out.sum,12.0,0.0221,1.8
128000,tg,ple.gate,1.0,0.0163,16.4
128000,tg,hc.combine,2.0,0.0085,4.2
128000,tg,ple.conv,1.0,0.0040,4.0
128000,tg,ple.hist,1.0,0.0014,1.5
