depth,phase,label,n_per_pass,ms_per_token,us_each
0,pp,moe.up,48.0,0.2830,12075.4
0,pp,moe.down,48.0,0.1340,5716.0
0,pp,dn.qkv,36.0,0.0746,4245.9
0,pp,hc.cn,94.0,0.0582,1267.5
0,pp,hc.up,97.0,0.0342,723.0
0,pp,attn.attn,12.0,0.0316,5395.8
0,pp,dn.scan,36.0,0.0296,1686.5
0,pp,moe.combine,48.0,0.0280,1195.5
0,pp,dn.out,36.0,0.0274,1559.9
0,pp,hc.down,97.0,0.0266,561.4
0,pp,attn.qkv,12.0,0.0223,3802.2
0,pp,move,196.0,0.0158,165.4
0,pp,attn.score,12.0,0.0139,2372.4
0,pp,dn.conv,36.0,0.0133,758.8
0,pp,moe.shexp.up,48.0,0.0119,509.7
0,pp,dn.norm,36.0,0.0103,583.7
0,pp,attn.out,12.0,0.0094,1599.7
0,pp,moe.shexp.down,48.0,0.0057,242.4
0,pp,moe.router,48.0,0.0039,168.2
0,pp,attn.pack,12.0,0.0028,474.3
0,pp,ple.kv,1.0,0.0018,3775.4
0,pp,attn.select,12.0,0.0015,253.6
0,pp,moe.perm.up,48.0,0.0015,61.9
0,pp,hc.combine,2.0,0.0013,1363.5
0,pp,head.head,1.0,0.0012,2516.1
0,pp,attn.idx,12.0,0.0012,209.5
0,pp,moe.route,48.0,0.0012,51.3
0,pp,ple.gate,1.0,0.0009,1807.3
0,pp,hc.norm,3.0,0.0009,589.2
0,pp,ple.conv,1.0,0.0007,1525.5
0,pp,attn.attn.gather,12.0,0.0001,19.0
0,pp,attn.attn.gathmask,12.0,0.0001,18.6
0,pp,dn.hist,36.0,0.0001,4.3
0,pp,ple.hist,1.0,0.0000,2.7
0,pp,hc.down_reduce,1.0,0.0000,1.3
0,tg,moe.up,48.0,5.2776,110.0
0,tg,dn.qkv,36.0,4.0606,112.8
0,tg,moe.down,48.0,2.5074,52.2
0,tg,head.head,1.0,2.3816,2381.6
0,tg,hc.up,97.0,1.7455,18.0
0,tg,dn.out,36.0,1.6173,44.9
0,tg,attn.qkv,12.0,1.4360,119.7
0,tg,hc.down,97.0,1.3478,13.9
0,tg,attn.attn.split,12.0,0.9922,82.7
0,tg,moe.shexp.up,48.0,0.7350,15.3
0,tg,moe.router,48.0,0.7007,14.6
0,tg,hc.cn,94.0,0.6817,7.3
0,tg,attn.out,12.0,0.6526,54.4
0,tg,dn.scan,36.0,0.6506,18.1
0,tg,move,196.0,0.5453,2.8
0,tg,moe.shexp.down,48.0,0.4656,9.7
0,tg,moe.route,48.0,0.2737,5.7
0,tg,ple.kv,1.0,0.2551,255.1
0,tg,moe.combine,48.0,0.1514,3.2
0,tg,dn.conv,36.0,0.1465,4.1
0,tg,moe.perm.up,48.0,0.1376,2.9
0,tg,dn.norm,36.0,0.1232,3.4
0,tg,hc.down_reduce,97.0,0.1148,1.2
0,tg,attn.select,12.0,0.0931,7.8
0,tg,attn.score,12.0,0.0919,7.7
0,tg,attn.attn.combine,12.0,0.0695,5.8
0,tg,moe.router.sum,48.0,0.0658,1.4
0,tg,dn.qkv.sum,36.0,0.0657,1.8
0,tg,dn.out.sum,36.0,0.0544,1.5
0,tg,attn.pack,12.0,0.0524,4.4
0,tg,dn.hist,36.0,0.0446,1.2
0,tg,attn.idx,12.0,0.0371,3.1
0,tg,hc.norm,3.0,0.0225,7.5
0,tg,attn.out.sum,12.0,0.0218,1.8
0,tg,attn.qkv.sum,12.0,0.0185,1.5
0,tg,ple.gate,1.0,0.0159,15.9
0,tg,hc.combine,2.0,0.0077,3.9
0,tg,ple.conv,1.0,0.0039,3.9
0,tg,ple.hist,1.0,0.0011,1.1
128000,pp,moe.up,48.0,0.2803,11961.0
128000,pp,moe.down,48.0,0.1312,5599.0
128000,pp,attn.attn,12.0,0.0937,15998.9
128000,pp,dn.qkv,36.0,0.0755,4292.4
128000,pp,hc.cn,94.0,0.0579,1261.5
128000,pp,hc.up,97.0,0.0347,732.0
128000,pp,dn.scan,36.0,0.0298,1695.8
128000,pp,moe.combine,48.0,0.0279,1190.9
128000,pp,dn.out,36.0,0.0277,1575.7
128000,pp,attn.score,12.0,0.0272,4636.8
128000,pp,hc.down,97.0,0.0268,565.4
128000,pp,attn.qkv,12.0,0.0228,3887.6
128000,pp,attn.select,12.0,0.0172,2940.9
128000,pp,move,196.0,0.0158,165.3
128000,pp,dn.conv,36.0,0.0134,760.3
128000,pp,moe.shexp.up,48.0,0.0124,529.4
128000,pp,dn.norm,36.0,0.0102,583.1
128000,pp,attn.out,12.0,0.0095,1616.9
128000,pp,moe.shexp.down,48.0,0.0058,247.5
128000,pp,moe.router,48.0,0.0040,171.5
128000,pp,attn.pack,12.0,0.0028,472.5
128000,pp,ple.kv,1.0,0.0018,3763.8
128000,pp,moe.perm.up,48.0,0.0015,63.2
128000,pp,attn.attn.gather,12.0,0.0015,250.8
128000,pp,hc.combine,2.0,0.0013,1346.8
128000,pp,head.head,1.0,0.0012,2517.4
128000,pp,moe.route,48.0,0.0012,52.4
128000,pp,ple.gate,1.0,0.0009,1784.6
128000,pp,hc.norm,3.0,0.0008,558.5
128000,pp,ple.conv,1.0,0.0007,1529.3
128000,pp,attn.idx,12.0,0.0002,40.1
128000,pp,dn.hist,36.0,0.0001,4.3
128000,pp,ple.hist,1.0,0.0000,2.4
128000,pp,hc.down_reduce,1.0,0.0000,1.3
128000,tg,moe.up,48.0,5.2763,109.9
128000,tg,dn.qkv,36.0,4.0708,113.1
128000,tg,moe.down,48.0,2.5071,52.2
128000,tg,head.head,1.0,2.3829,2382.9
128000,tg,hc.up,97.0,1.7523,18.1
128000,tg,dn.out,36.0,1.6140,44.8
128000,tg,attn.qkv,12.0,1.4308,119.2
128000,tg,hc.down,97.0,1.3516,13.9
128000,tg,attn.attn.split,12.0,0.9388,78.2
128000,tg,moe.shexp.up,48.0,0.7375,15.4
128000,tg,attn.score,12.0,0.7340,61.2
128000,tg,moe.router,48.0,0.7064,14.7
128000,tg,hc.cn,94.0,0.6898,7.3
128000,tg,dn.scan,36.0,0.6503,18.1
128000,tg,attn.out,12.0,0.6266,52.2
128000,tg,move,196.0,0.5499,2.8
128000,tg,attn.select,12.0,0.5439,45.3
128000,tg,moe.shexp.down,48.0,0.4640,9.7
128000,tg,moe.route,48.0,0.2734,5.7
128000,tg,ple.kv,1.0,0.2541,254.1
128000,tg,moe.combine,48.0,0.1522,3.2
128000,tg,attn.attn.gather,12.0,0.1489,12.4
128000,tg,dn.conv,36.0,0.1471,4.1
128000,tg,moe.perm.up,48.0,0.1363,2.8
128000,tg,dn.norm,36.0,0.1256,3.5
128000,tg,hc.down_reduce,97.0,0.1160,1.2
128000,tg,attn.attn.combine,12.0,0.0714,6.0
128000,tg,dn.qkv.sum,36.0,0.0660,1.8
128000,tg,moe.router.sum,48.0,0.0658,1.4
128000,tg,dn.out.sum,36.0,0.0553,1.5
128000,tg,attn.pack,12.0,0.0506,4.2
