depth,phase,label,n_per_pass,ms_per_token,us_each
128000,pp,moe.up,48.0,0.2085,17794.1
128000,pp,moe.down,48.0,0.0966,8240.6
128000,pp,attn.attn,12.0,0.0931,31785.3
128000,pp,dn.qkv,36.0,0.0748,8514.6
128000,pp,hc.cn,94.0,0.0569,2481.2
128000,pp,hc.up,97.0,0.0344,1451.7
128000,pp,dn.scan,36.0,0.0323,3674.0
128000,pp,dn.out,36.0,0.0290,3299.6
128000,pp,attn.score,12.0,0.0275,9386.8
128000,pp,moe.combine,48.0,0.0274,2336.9
128000,pp,hc.down,97.0,0.0270,1140.1
128000,pp,attn.qkv,12.0,0.0223,7628.2
128000,pp,attn.select,12.0,0.0171,5839.2
128000,pp,move,196.0,0.0168,351.6
128000,pp,dn.conv,36.0,0.0136,1548.2
128000,pp,moe.shexp.up,48.0,0.0123,1046.1
128000,pp,attn.out,12.0,0.0099,3392.0
128000,pp,dn.norm,36.0,0.0098,1112.3
128000,pp,moe.shexp.down,48.0,0.0055,468.3
128000,pp,moe.router,48.0,0.0040,339.2
128000,pp,attn.pack,12.0,0.0027,921.1
128000,pp,ple.kv,1.0,0.0018,7307.8
128000,pp,attn.attn.gather,12.0,0.0015,498.1
128000,pp,moe.perm.up,48.0,0.0014,121.0
128000,pp,hc.combine,2.0,0.0013,2700.9
128000,pp,moe.route,48.0,0.0011,97.4
128000,pp,ple.gate,1.0,0.0009,3580.2
128000,pp,ple.conv,1.0,0.0007,2994.9
128000,pp,hc.norm,3.0,0.0007,990.5
128000,pp,head.head,1.0,0.0006,2496.7
128000,pp,attn.idx,12.0,0.0003,87.3
128000,pp,dn.hist,36.0,0.0000,4.2
128000,pp,ple.hist,1.0,0.0000,2.3
128000,pp,hc.down_reduce,1.0,0.0000,1.3
128000,tg,moe.up,48.0,5.2651,109.7
128000,tg,dn.qkv,36.0,4.0724,113.1
128000,tg,moe.down,48.0,2.5082,52.3
128000,tg,head.head,1.0,2.4628,2462.8
128000,tg,hc.up,97.0,1.7530,18.1
128000,tg,dn.out,36.0,1.6238,45.1
128000,tg,attn.qkv,12.0,1.4376,119.8
128000,tg,hc.down,97.0,1.3465,13.9
128000,tg,attn.attn.split,12.0,0.9603,80.0
128000,tg,attn.score,12.0,0.7368,61.4
128000,tg,moe.shexp.up,48.0,0.7329,15.3
128000,tg,attn.select,12.0,0.7101,59.2
128000,tg,moe.router,48.0,0.7063,14.7
128000,tg,hc.cn,94.0,0.6743,7.2
128000,tg,dn.scan,36.0,0.6386,17.7
128000,tg,attn.out,12.0,0.6293,52.4
128000,tg,move,196.0,0.5499,2.8
128000,tg,moe.shexp.down,48.0,0.4601,9.6
128000,tg,moe.route,48.0,0.2730,5.7
128000,tg,ple.kv,1.0,0.2539,253.9
128000,tg,attn.attn.gather,12.0,0.1874,15.6
128000,tg,moe.combine,48.0,0.1478,3.1
128000,tg,dn.conv,36.0,0.1467,4.1
128000,tg,moe.perm.up,48.0,0.1379,2.9
128000,tg,dn.norm,36.0,0.1299,3.6
128000,tg,hc.down_reduce,97.0,0.1113,1.1
128000,tg,attn.attn.combine,12.0,0.0721,6.0
128000,tg,dn.qkv.sum,36.0,0.0657,1.8
128000,tg,moe.router.sum,48.0,0.0656,1.4
128000,tg,dn.out.sum,36.0,0.0620,1.7
128000,tg,attn.pack,12.0,0.0515,4.3
128000,tg,dn.hist,36.0,0.0447,1.2
128000,tg,attn.idx,12.0,0.0379,3.2
128000,tg,hc.norm,3.0,0.0239,8.0
128000,tg,attn.out.sum,12.0,0.0212,1.8
128000,tg,attn.qkv.sum,12.0,0.0209,1.7
128000,tg,ple.gate,1.0,0.0161,16.1
128000,tg,hc.combine,2.0,0.0071,3.5
128000,tg,ple.conv,1.0,0.0040,4.0
128000,tg,ple.hist,1.0,0.0013,1.4
