section,label,n_per_pass,ms_per_token,us_each,share_pct
step,wall,,30.522,,100.0
host,gather,,0.902,,3.0
host,record,,1.127,,3.7
host,submit+fence,,28.339,,92.8
host,sample,,0.142,,0.5
host,detokenize,,0.002,,0.0
host,emit,,0.005,,0.0
host,unattributed,,0.005,,0.0
submit,dispatches,,27.511,,90.1
submit,hand-over,,0.828,,2.7
dispatch,moe.up,48.0,4.998,105.8,16.4
dispatch,dn.qkv,36.0,4.088,115.3,13.4
dispatch,moe.down,48.0,3.399,71.9,11.1
dispatch,head.head,1.0,1.936,1967.1,6.3
dispatch,dn.out,36.0,1.622,45.8,5.3
dispatch,hc.up,97.0,1.583,16.6,5.2
dispatch,hc.down,97.0,1.430,15.0,4.7
dispatch,moe.shexp.up,48.0,1.245,26.3,4.1
dispatch,attn.qkv,12.0,1.121,94.9,3.7
dispatch,moe.router,48.0,0.697,14.7,2.3
dispatch,dn.scan,36.0,0.638,18.0,2.1
dispatch,hc.norm,97.0,0.610,6.4,2.0
dispatch,moe.shexp.down,48.0,0.594,12.6,1.9
dispatch,move,196.0,0.563,2.9,1.8
dispatch,attn.out,12.0,0.507,42.9,1.7
dispatch,ple.kv,1.0,0.422,429.0,1.4
dispatch,hc.combine,96.0,0.359,3.8,1.2
dispatch,moe.route,48.0,0.285,6.0,0.9
dispatch,attn.attn,12.0,0.194,16.4,0.6
dispatch,moe.combine,48.0,0.160,3.4,0.5
dispatch,dn.conv,36.0,0.141,4.0,0.5
dispatch,moe.perm.up,48.0,0.139,2.9,0.5
dispatch,hc.down_reduce,97.0,0.129,1.3,0.4
dispatch,dn.norm,36.0,0.125,3.5,0.4
dispatch,attn.score,12.0,0.114,9.6,0.4
dispatch,attn.pack,12.0,0.091,7.7,0.3
dispatch,moe.router.sum,48.0,0.067,1.4,0.2
dispatch,dn.qkv.sum,36.0,0.060,1.7,0.2
dispatch,dn.out.sum,36.0,0.057,1.6,0.2
dispatch,attn.idx,12.0,0.037,3.1,0.1
dispatch,dn.hist,36.0,0.036,1.0,0.1
dispatch,attn.out.sum,12.0,0.020,1.7,0.1
dispatch,attn.qkv.sum,12.0,0.019,1.6,0.1
dispatch,ple.gate,1.0,0.019,19.0,0.1
dispatch,ple.conv,1.0,0.004,4.3,0.0
dispatch,ple.hist,1.0,0.001,1.2,0.0
