section,label,n_per_pass,ms_per_token,us_each,share_pct
step,wall,,30.369,,100.0
host,gather,,0.940,,3.1
host,record,,1.166,,3.8
host,submit+fence,,28.092,,92.5
host,sample,,0.158,,0.5
host,detokenize,,0.002,,0.0
host,emit,,0.006,,0.0
host,unattributed,,0.006,,0.0
submit,dispatches,,27.264,,89.8
submit,hand-over,,0.828,,2.7
dispatch,moe.up,48.0,5.012,106.1,16.5
dispatch,dn.qkv,36.0,4.070,114.8,13.4
dispatch,moe.down,48.0,3.407,72.1,11.2
dispatch,head.head,1.0,1.932,1962.8,6.4
dispatch,dn.out,36.0,1.591,44.9,5.2
dispatch,hc.up,97.0,1.573,16.5,5.2
dispatch,hc.down,97.0,1.437,15.0,4.7
dispatch,moe.shexp.up,48.0,1.245,26.3,4.1
dispatch,attn.qkv,12.0,1.125,95.3,3.7
dispatch,moe.router,48.0,0.722,15.3,2.4
dispatch,hc.cn,94.0,0.676,7.3,2.2
dispatch,dn.scan,36.0,0.642,18.1,2.1
dispatch,moe.shexp.down,48.0,0.589,12.5,1.9
dispatch,move,196.0,0.567,2.9,1.9
dispatch,attn.out,12.0,0.510,43.2,1.7
dispatch,ple.kv,1.0,0.421,427.3,1.4
dispatch,moe.route,48.0,0.284,6.0,0.9
dispatch,attn.attn,12.0,0.193,16.4,0.6
dispatch,moe.combine,48.0,0.149,3.2,0.5
dispatch,dn.conv,36.0,0.147,4.2,0.5
dispatch,moe.perm.up,48.0,0.138,2.9,0.5
dispatch,dn.norm,36.0,0.129,3.6,0.4
dispatch,hc.down_reduce,97.0,0.124,1.3,0.4
dispatch,attn.score,12.0,0.115,9.7,0.4
dispatch,attn.pack,12.0,0.092,7.8,0.3
dispatch,dn.qkv.sum,36.0,0.066,1.9,0.2
dispatch,moe.router.sum,48.0,0.066,1.4,0.2
dispatch,dn.out.sum,36.0,0.058,1.6,0.2
dispatch,dn.hist,36.0,0.042,1.2,0.1
dispatch,attn.idx,12.0,0.035,3.0,0.1
dispatch,hc.norm,3.0,0.029,9.7,0.1
dispatch,attn.qkv.sum,12.0,0.021,1.8,0.1
dispatch,attn.out.sum,12.0,0.020,1.7,0.1
dispatch,ple.gate,1.0,0.018,17.9,0.1
dispatch,hc.combine,2.0,0.011,5.8,0.0
dispatch,ple.conv,1.0,0.004,4.2,0.0
dispatch,ple.hist,1.0,0.001,1.2,0.0
