section,label,n_per_pass,ms_per_token,us_each,share_pct
step,wall,,30.688,,100.0
host,gather,,0.921,,3.0
host,record,,1.144,,3.7
host,submit+fence,,28.448,,92.7
host,sample,,0.162,,0.5
host,detokenize,,0.001,,0.0
host,emit,,0.006,,0.0
host,unattributed,,0.006,,0.0
submit,dispatches,,27.594,,89.9
submit,hand-over,,0.854,,2.8
dispatch,moe.up,48.0,5.035,106.6,16.4
dispatch,dn.qkv,36.0,4.083,115.2,13.3
dispatch,moe.down,48.0,3.407,72.1,11.1
dispatch,head.head,1.0,1.926,1956.3,6.3
dispatch,dn.out,36.0,1.604,45.3,5.2
dispatch,hc.up,97.0,1.593,16.7,5.2
dispatch,hc.down,97.0,1.435,15.0,4.7
dispatch,moe.shexp.up,48.0,1.241,26.3,4.0
dispatch,attn.qkv,12.0,1.123,95.1,3.7
dispatch,moe.router,48.0,0.724,15.3,2.4
dispatch,dn.scan,36.0,0.639,18.0,2.1
dispatch,hc.norm,97.0,0.617,6.5,2.0
dispatch,moe.shexp.down,48.0,0.589,12.5,1.9
dispatch,move,196.0,0.569,2.9,1.9
dispatch,attn.out,12.0,0.508,43.0,1.7
dispatch,ple.kv,1.0,0.422,428.9,1.4
dispatch,hc.combine,96.0,0.380,4.0,1.2
dispatch,moe.route,48.0,0.286,6.1,0.9
dispatch,attn.attn,12.0,0.192,16.3,0.6
dispatch,moe.combine,48.0,0.159,3.4,0.5
dispatch,dn.conv,36.0,0.140,4.0,0.5
dispatch,moe.perm.up,48.0,0.138,2.9,0.4
dispatch,dn.norm,36.0,0.129,3.7,0.4
dispatch,hc.down_reduce,97.0,0.122,1.3,0.4
dispatch,attn.score,12.0,0.111,9.4,0.4
dispatch,attn.pack,12.0,0.089,7.5,0.3
dispatch,moe.router.sum,48.0,0.070,1.5,0.2
dispatch,dn.qkv.sum,36.0,0.063,1.8,0.2
dispatch,dn.out.sum,36.0,0.059,1.7,0.2
dispatch,dn.hist,36.0,0.043,1.2,0.1
dispatch,attn.idx,12.0,0.035,2.9,0.1
dispatch,attn.out.sum,12.0,0.021,1.7,0.1
dispatch,attn.qkv.sum,12.0,0.019,1.6,0.1
dispatch,ple.gate,1.0,0.018,18.5,0.1
dispatch,ple.conv,1.0,0.004,4.2,0.0
dispatch,ple.hist,1.0,0.001,1.2,0.0
