tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_m1,up_m1,norm,6.599,0.6,0.0,9.3
1,down_m1,up_m1,down,178.084,17.3,38.6,15.1
1,down_m1,up_m1,up,11.445,1.1,572.6,162.8
1,down_m1,up_m1,combine,3.209,0.3,0.0,28.7
1,down_m1,up_m1,block,199.337,19.3,,
1,down_m1,up_m2,norm,4.611,0.4,0.0,13.3
1,down_m1,up_m2,down,172.131,16.7,40.0,15.6
1,down_m1,up_m2,up,15.417,1.5,425.1,120.9
1,down_m1,up_m2,combine,2.720,0.3,0.0,33.9
1,down_m1,up_m2,block,194.879,18.9,,
1,down_m1,up_m4,norm,4.606,0.4,0.0,13.3
1,down_m1,up_m4,down,174.968,17.0,39.3,15.4
1,down_m1,up_m4,up,24.637,2.4,266.0,75.6
1,down_m1,up_m4,combine,2.614,0.3,0.0,35.3
1,down_m1,up_m4,block,206.825,20.1,,
1,down_m1,up_m8,norm,4.607,0.4,0.0,13.3
1,down_m1,up_m8,down,171.914,16.7,40.0,15.7
1,down_m1,up_m8,up,42.706,4.1,153.5,43.6
1,down_m1,up_m8,combine,2.611,0.3,0.0,35.3
1,down_m1,up_m8,block,221.838,21.5,,
1,down_m2,up_m1,norm,4.623,0.4,0.0,13.3
1,down_m2,up_m1,down,203.884,19.8,33.8,13.2
1,down_m2,up_m1,up,10.889,1.1,601.9,171.2
1,down_m2,up_m1,combine,2.619,0.3,0.0,35.2
1,down_m2,up_m1,block,222.015,21.5,,
1,down_m2,up_m2,norm,4.613,0.4,0.0,13.3
1,down_m2,up_m2,down,202.155,19.6,34.0,13.3
1,down_m2,up_m2,up,15.399,1.5,425.6,121.0
1,down_m2,up_m2,combine,2.619,0.3,0.0,35.2
1,down_m2,up_m2,block,224.786,21.8,,
1,down_m2,up_m4,norm,4.617,0.4,0.0,13.3
1,down_m2,up_m4,down,202.521,19.6,34.0,13.3
1,down_m2,up_m4,up,24.607,2.4,266.3,75.7
1,down_m2,up_m4,combine,2.565,0.2,0.0,35.9
1,down_m2,up_m4,block,234.310,22.7,,
1,down_m2,up_m8,norm,4.609,0.4,0.0,13.3
1,down_m2,up_m8,down,202.564,19.6,34.0,13.3
1,down_m2,up_m8,up,42.675,4.1,153.6,43.7
1,down_m2,up_m8,combine,2.575,0.2,0.0,35.8
1,down_m2,up_m8,block,252.423,24.5,,
1,down_m4,up_m1,norm,4.627,0.4,0.0,13.3
1,down_m4,up_m1,down,263.735,25.6,26.1,10.2
1,down_m4,up_m1,up,10.880,1.1,602.4,171.3
1,down_m4,up_m1,combine,2.570,0.2,0.0,35.9
1,down_m4,up_m1,block,281.812,27.3,,
1,down_m4,up_m2,norm,4.608,0.4,0.0,13.3
1,down_m4,up_m2,down,262.052,25.4,26.3,10.3
1,down_m4,up_m2,up,15.369,1.5,426.4,121.3
1,down_m4,up_m2,combine,2.579,0.3,0.0,35.7
1,down_m4,up_m2,block,284.608,27.6,,
1,down_m4,up_m4,norm,4.625,0.4,0.0,13.3
1,down_m4,up_m4,down,264.413,25.6,26.0,10.2
1,down_m4,up_m4,up,24.765,2.4,264.6,75.3
1,down_m4,up_m4,combine,2.584,0.3,0.0,35.7
1,down_m4,up_m4,block,296.387,28.7,,
1,down_m4,up_m8,norm,4.634,0.4,0.0,13.3
1,down_m4,up_m8,down,261.935,25.4,26.3,10.3
1,down_m4,up_m8,up,42.792,4.2,153.2,43.6
1,down_m4,up_m8,combine,2.566,0.2,0.0,35.9
1,down_m4,up_m8,block,311.927,30.3,,
1,down_m8,up_m1,norm,4.610,0.4,0.0,13.3
1,down_m8,up_m1,down,357.365,34.7,19.3,7.5
1,down_m8,up_m1,up,10.868,1.1,603.0,171.5
1,down_m8,up_m1,combine,2.574,0.2,0.0,35.8
1,down_m8,up_m1,block,375.417,36.4,,
1,down_m8,up_m2,norm,4.606,0.4,0.0,13.3
1,down_m8,up_m2,down,357.525,34.7,19.2,7.5
1,down_m8,up_m2,up,15.382,1.5,426.1,121.2
1,down_m8,up_m2,combine,2.569,0.2,0.0,35.9
1,down_m8,up_m2,block,380.082,36.9,,
1,down_m8,up_m4,norm,4.612,0.4,0.0,13.3
1,down_m8,up_m4,down,357.822,34.7,19.2,7.5
1,down_m8,up_m4,up,24.853,2.4,263.7,75.0
1,down_m8,up_m4,combine,2.583,0.3,0.0,35.7
1,down_m8,up_m4,block,389.870,37.8,,
1,down_m8,up_m8,norm,4.610,0.4,0.0,13.3
