section,label,n_per_pass,ms_per_token,us_each,share_pct
step,wall,,30.508,,100.0
host,gather,,0.927,,3.0
host,record,,1.192,,3.9
host,submit+fence,,28.209,,92.5
host,sample,,0.164,,0.5
host,detokenize,,0.002,,0.0
host,emit,,0.007,,0.0
host,unattributed,,0.006,,0.0
submit,dispatches,,27.408,,89.8
submit,hand-over,,0.801,,2.6
dispatch,moe.up,48.0,5.050,106.9,16.6
dispatch,dn.qkv,36.0,4.072,114.9,13.3
dispatch,moe.down,48.0,3.413,72.2,11.2
dispatch,head.head,1.0,1.933,1964.0,6.3
dispatch,dn.out,36.0,1.625,45.9,5.3
dispatch,hc.up,97.0,1.603,16.8,5.3
dispatch,hc.down,97.0,1.481,15.5,4.9
dispatch,moe.shexp.up,48.0,1.247,26.4,4.1
dispatch,attn.qkv,12.0,1.130,95.6,3.7
dispatch,moe.router,48.0,0.714,15.1,2.3
dispatch,hc.cn,94.0,0.667,7.2,2.2
dispatch,dn.scan,36.0,0.643,18.1,2.1
dispatch,moe.shexp.down,48.0,0.590,12.5,1.9
dispatch,move,196.0,0.574,3.0,1.9
dispatch,attn.out,12.0,0.513,43.5,1.7
dispatch,ple.kv,1.0,0.422,428.3,1.4
dispatch,moe.route,48.0,0.290,6.1,1.0
dispatch,attn.attn,12.0,0.193,16.3,0.6
dispatch,moe.combine,48.0,0.150,3.2,0.5
dispatch,dn.conv,36.0,0.148,4.2,0.5
dispatch,moe.perm.up,48.0,0.140,3.0,0.5
dispatch,dn.norm,36.0,0.125,3.5,0.4
dispatch,hc.down_reduce,97.0,0.117,1.2,0.4
dispatch,attn.score,12.0,0.114,9.7,0.4
dispatch,attn.pack,12.0,0.091,7.7,0.3
dispatch,moe.router.sum,48.0,0.068,1.4,0.2
dispatch,dn.out.sum,36.0,0.060,1.7,0.2
dispatch,dn.qkv.sum,36.0,0.059,1.7,0.2
dispatch,dn.hist,36.0,0.037,1.1,0.1
dispatch,attn.idx,12.0,0.035,3.0,0.1
dispatch,hc.norm,3.0,0.028,9.5,0.1
dispatch,attn.out.sum,12.0,0.019,1.6,0.1
dispatch,attn.qkv.sum,12.0,0.019,1.6,0.1
dispatch,ple.gate,1.0,0.018,18.0,0.1
dispatch,hc.combine,2.0,0.012,6.1,0.0
dispatch,ple.conv,1.0,0.004,4.1,0.0
dispatch,ple.hist,1.0,0.001,1.1,0.0
