tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,14.386,0.7,182.6,182.9
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.886,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.352,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.389,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,253.133,12.2,4142.4,72.8
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,101.529,4.9,5163.9,121.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,24.180,1.2,271.0,144.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,11.381,0.5,287.9,153.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.967,0.1,0.0,41.4
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,416.203,20.0,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,14.419,0.7,182.2,182.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.908,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.390,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.526,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.456,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,295.911,14.2,7087.1,62.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,93.680,4.5,11193.2,131.2
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,25.244,1.2,259.6,137.9
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.591,0.7,210.2,111.7
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.827,0.1,0.0,43.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,458.952,22.0,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,15.451,0.7,170.0,170.3
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.896,0.0,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.385,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.672,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.486,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,up,472.402,22.7,8878.7,39.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,down,110.830,5.3,18922.2,110.9
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,45.032,2.2,145.5,77.3
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.881,1.1,149.8,79.6
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,combine,2.852,0.1,0.0,43.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,block,679.887,32.6,,
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router,14.399,0.7,182.4,182.8
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.891,0.0,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,route,5.324,0.3,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.506,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.431,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,up,281.985,13.5,7437.1,65.4
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,down,105.301,5.1,9957.9,116.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,25.252,1.2,259.5,137.9
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.624,0.7,209.7,111.4
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,combine,2.832,0.1,0.0,43.4
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,block,456.545,21.9,,
