section,label,n_per_pass,ms_per_token,us_each,share_pct
step,wall,,37.498,,100.0
host,gather,,1.223,,3.3
host,record,,0.171,,0.5
host,submit+fence,,35.853,,95.6
host,sample,,0.176,,0.5
host,detokenize,,0.002,,0.0
host,emit,,0.008,,0.0
host,unattributed,,0.065,,0.2
submit,dispatches,,35.594,,94.9
submit,hand-over,,0.259,,0.7
dispatch,dn.qkv,36.0,7.306,206.2,19.5
dispatch,moe.up,48.0,5.144,108.9,13.7
dispatch,head.head,1.0,3.476,3531.2,9.3
dispatch,moe.down,48.0,3.297,69.8,8.8
dispatch,dn.out,36.0,2.578,72.8,6.9
dispatch,hc.up,97.0,2.499,26.2,6.7
dispatch,attn.qkv,12.0,2.149,181.9,5.7
dispatch,hc.down,97.0,1.949,20.4,5.2
dispatch,moe.shexp.up,48.0,1.182,25.0,3.2
dispatch,attn.out,12.0,0.872,73.8,2.3
dispatch,moe.router,48.0,0.681,14.4,1.8
dispatch,hc.cn,94.0,0.668,7.2,1.8
dispatch,dn.scan,36.0,0.623,17.6,1.7
dispatch,moe.shexp.down,48.0,0.575,12.2,1.5
dispatch,move,196.0,0.533,2.8,1.4
dispatch,ple.kv,1.0,0.379,384.6,1.0
dispatch,moe.route,48.0,0.275,5.8,0.7
dispatch,attn.attn,12.0,0.193,16.3,0.5
dispatch,dn.conv,36.0,0.144,4.1,0.4
dispatch,moe.combine,48.0,0.141,3.0,0.4
dispatch,moe.perm.up,48.0,0.135,2.9,0.4
dispatch,attn.score,12.0,0.115,9.8,0.3
dispatch,dn.norm,36.0,0.111,3.1,0.3
dispatch,hc.down_reduce,97.0,0.111,1.2,0.3
dispatch,attn.pack,12.0,0.090,7.7,0.2
dispatch,dn.qkv.sum,36.0,0.071,2.0,0.2
dispatch,moe.router.sum,48.0,0.065,1.4,0.2
dispatch,dn.out.sum,36.0,0.051,1.4,0.1
dispatch,dn.hist,36.0,0.047,1.3,0.1
dispatch,attn.idx,12.0,0.037,3.1,0.1
dispatch,hc.norm,3.0,0.023,7.7,0.1
dispatch,attn.qkv.sum,12.0,0.021,1.8,0.1
dispatch,attn.out.sum,12.0,0.020,1.7,0.1
dispatch,ple.gate,1.0,0.015,15.2,0.0
dispatch,hc.combine,2.0,0.009,4.7,0.0
dispatch,ple.conv,1.0,0.004,3.9,0.0
dispatch,ple.hist,1.0,0.001,1.4,0.0
