chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.047276,1.0484,0.0138,2.76
2,2046,0.128438,1.1371,0.0161,2.69
3,3069,0.145639,1.1568,0.0149,2.68
4,4092,0.171486,1.1871,0.0155,2.69
5,5115,0.211079,1.2350,0.0159,2.68
6,6138,0.220933,1.2472,0.0153,2.67
7,7161,0.206084,1.2289,0.0136,2.69
8,8184,0.221569,1.2480,0.0135,2.68
9,9207,0.224363,1.2515,0.0131,2.70
10,10230,0.223317,1.2502,0.0123,2.70
11,11253,0.219719,1.2457,0.0117,2.72
12,12276,0.235433,1.2655,0.0119,2.70
13,13299,0.225591,1.2531,0.0111,2.71
14,14322,0.216876,1.2422,0.0103,2.72
15,15345,0.211691,1.2358,0.0099,2.71
16,16368,0.214084,1.2387,0.0096,2.72
17,17391,0.207725,1.2309,0.0091,2.73
18,18414,0.203692,1.2259,0.0086,2.74
19,19437,0.202252,1.2242,0.0084,2.75
20,20460,0.205521,1.2282,0.0082,2.74
21,21483,0.201739,1.2235,0.0079,2.76
22,22506,0.198543,1.2196,0.0077,2.74
23,23529,0.194659,1.2149,0.0074,2.75
24,24552,0.193521,1.2135,0.0072,2.74
25,25575,0.205844,1.2286,0.0074,2.74
26,26598,0.252909,1.2878,0.0084,2.75
27,27621,0.245802,1.2786,0.0081,2.76
28,28644,0.240281,1.2716,0.0078,2.75
29,29667,0.236813,1.2672,0.0076,2.73
30,30690,0.235292,1.2653,0.0074,2.76
31,31713,0.233378,1.2629,0.0073,2.75
32,32736,0.229565,1.2581,0.0071,2.77
33,33759,0.232471,1.2617,0.0071,2.73
34,34782,0.228371,1.2566,0.0069,2.77
35,35805,0.223889,1.2509,0.0067,2.76
36,36828,0.221698,1.2482,0.0066,2.76
37,37851,0.226027,1.2536,0.0066,2.74
38,38874,0.224735,1.2520,0.0064,2.74
39,39897,0.228036,1.2561,0.0064,2.77
40,40920,0.229290,1.2577,0.0064,2.74
41,41943,0.231672,1.2607,0.0063,2.73
42,42966,0.232144,1.2613,0.0062,2.74
43,43989,0.228301,1.2565,0.0061,2.75
44,45012,0.233702,1.2633,0.0061,2.76
45,46035,0.236159,1.2664,0.0061,2.72
46,47058,0.235964,1.2661,0.0060,2.71
47,48081,0.236521,1.2668,0.0060,2.74
48,49104,0.235691,1.2658,0.0059,2.72
49,50127,0.238807,1.2697,0.0059,2.72
50,51150,0.247207,1.2804,0.0060,2.72
51,52173,0.245521,1.2783,0.0059,2.73
52,53196,0.250957,1.2853,0.0059,2.73
53,54219,0.262742,1.3005,0.0061,2.73
54,55242,0.264195,1.3024,0.0060,2.72
55,56265,0.271654,1.3121,0.0061,2.70
56,57288,0.278186,1.3207,0.0062,2.72
57,58311,0.283449,1.3277,0.0062,2.72
58,59334,0.293235,1.3408,0.0063,2.75
59,60357,0.306072,1.3581,0.0065,2.73
60,61380,0.315012,1.3703,0.0066,2.73
61,62403,0.325169,1.3843,0.0067,2.74
62,63426,0.335180,1.3982,0.0068,2.72
63,64449,0.338877,1.4034,0.0068,2.76
64,65472,0.348581,1.4171,0.0069,2.78
65,66495,0.353879,1.4246,0.0069,2.75
66,67518,0.362655,1.4371,0.0070,2.77
67,68541,0.366858,1.4432,0.0070,2.77
68,69564,0.374574,1.4544,0.0071,2.79
69,70587,0.380958,1.4637,0.0072,2.77
70,71610,0.380841,1.4635,0.0071,2.79
