chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.038180,1.0389,0.0133,2.58
2,2046,0.103407,1.1089,0.0143,2.51
3,3069,0.119738,1.1272,0.0133,2.50
4,4092,0.146040,1.1572,0.0141,2.50
5,5115,0.187109,1.2058,0.0152,2.51
6,6138,0.196849,1.2176,0.0146,2.49
7,7161,0.183052,1.2009,0.0129,2.50
8,8184,0.195615,1.2161,0.0126,2.50
9,9207,0.199843,1.2212,0.0123,2.50
10,10230,0.200465,1.2220,0.0117,2.51
11,11253,0.197779,1.2187,0.0111,2.51
12,12276,0.215740,1.2408,0.0115,2.49
13,13299,0.206408,1.2293,0.0108,2.50
14,14322,0.198866,1.2200,0.0101,2.50
15,15345,0.194383,1.2146,0.0096,2.50
16,16368,0.194819,1.2151,0.0093,2.50
17,17391,0.188213,1.2071,0.0088,2.51
18,18414,0.185752,1.2041,0.0084,2.52
19,19437,0.185009,1.2032,0.0082,2.52
20,20460,0.187729,1.2065,0.0080,2.51
21,21483,0.184131,1.2022,0.0077,2.52
22,22506,0.180911,1.1983,0.0075,2.51
23,23529,0.177104,1.1938,0.0072,2.51
24,24552,0.176429,1.1929,0.0070,2.50
25,25575,0.189569,1.2087,0.0072,2.49
26,26598,0.236839,1.2672,0.0083,2.52
27,27621,0.229822,1.2584,0.0079,2.66
28,28644,0.224890,1.2522,0.0077,2.50
29,29667,0.221582,1.2480,0.0075,2.48
30,30690,0.220177,1.2463,0.0073,2.51
31,31713,0.218009,1.2436,0.0072,2.50
32,32736,0.214654,1.2394,0.0070,2.61
33,33759,0.218077,1.2437,0.0070,2.48
34,34782,0.214287,1.2390,0.0068,2.52
35,35805,0.210008,1.2337,0.0066,2.52
36,36828,0.208171,1.2314,0.0065,2.50
37,37851,0.212824,1.2372,0.0065,2.49
38,38874,0.211732,1.2358,0.0064,2.50
39,39897,0.215317,1.2403,0.0063,2.53
40,40920,0.215740,1.2408,0.0063,2.51
41,41943,0.218087,1.2437,0.0062,2.48
42,42966,0.218851,1.2446,0.0061,2.51
43,43989,0.215254,1.2402,0.0060,2.52
44,45012,0.220668,1.2469,0.0060,2.52
45,46035,0.223096,1.2499,0.0060,2.47
46,47058,0.223201,1.2501,0.0060,2.47
47,48081,0.224155,1.2513,0.0059,2.49
48,49104,0.223328,1.2502,0.0058,2.48
49,50127,0.226280,1.2539,0.0058,2.48
50,51150,0.234290,1.2640,0.0059,2.48
51,52173,0.232765,1.2621,0.0058,2.49
52,53196,0.238446,1.2693,0.0058,2.50
53,54219,0.250577,1.2848,0.0060,2.50
54,55242,0.252232,1.2869,0.0060,2.48
55,56265,0.259556,1.2964,0.0060,2.47
56,57288,0.266018,1.3048,0.0061,2.46
57,58311,0.271041,1.3113,0.0061,2.47
58,59334,0.280858,1.3243,0.0063,2.50
59,60357,0.293740,1.3414,0.0064,2.49
60,61380,0.302626,1.3534,0.0065,2.49
61,62403,0.312912,1.3674,0.0066,2.49
62,63426,0.323051,1.3813,0.0067,2.48
63,64449,0.326822,1.3866,0.0067,2.54
64,65472,0.336881,1.4006,0.0068,2.54
65,66495,0.342575,1.4086,0.0069,2.51
66,67518,0.351893,1.4218,0.0070,2.52
67,68541,0.356306,1.4280,0.0070,2.54
68,69564,0.363890,1.4389,0.0071,2.56
69,70587,0.370222,1.4481,0.0071,2.53
70,71610,0.370350,1.4482,0.0071,2.54
71,72633,0.373506,1.4528,0.0071,2.52
72,73656,0.378641,1.4603,0.0071,2.51
73,74679,0.387977,1.4740,0.0072,2.51
74,75702,0.398272,1.4892,0.0073,2.49
75,76725,0.405354,1.4998,0.0073,2.51
76,77748,0.409379,1.5059,0.0073,2.48
77,78771,0.412627,1.5108,0.0073,2.54
78,79794,0.418278,1.5193,0.0073,2.52
79,80817,0.425198,1.5299,0.0074,2.50
80,81840,0.431463,1.5395,0.0075,2.53
81,82863,0.438130,1.5498,0.0075,2.50
82,83886,0.443908,1.5588,0.0076,2.51
83,84909,0.445082,1.5606,0.0075,2.52
84,85932,0.448377,1.5658,0.0075,2.52
85,86955,0.455170,1.5764,0.0076,2.55
86,87978,0.451411,1.5705,0.0075,2.56
87,89001,0.458297,1.5814,0.0076,2.55
88,90024,0.463922,1.5903,0.0076,2.53
89,91047,0.472702,1.6043,0.0077,2.51
90,92070,0.476099,1.6098,0.0078,2.49
91,93093,0.481316,1.6182,0.0078,2.53
92,94116,0.486824,1.6271,0.0078,2.52
93,95139,0.487861,1.6288,0.0078,2.54
94,96162,0.488223,1.6294,0.0078,2.55
95,97185,0.490364,1.6329,0.0078,2.53
96,98208,0.485257,1.6246,0.0076,2.49
97,99231,0.480265,1.6165,0.0075,2.38
98,100254,0.475368,1.6086,0.0074,2.39
99,101277,0.471614,1.6026,0.0073,2.49
100,102300,0.466904,1.5950,0.0072,2.45
101,103323,0.462284,1.5877,0.0071,2.45
102,104346,0.457753,1.5805,0.0070,2.46
103,105369,0.453311,1.5735,0.0069,2.45
104,106392,0.448952,1.5667,0.0068,2.47
105,107415,0.444677,1.5600,0.0067,2.47
106,108438,0.440483,1.5535,0.0067,2.45
107,109461,0.436367,1.5471,0.0066,2.46
108,110484,0.432328,1.5408,0.0065,2.47
109,111507,0.428362,1.5347,0.0064,2.49
110,112530,0.424468,1.5288,0.0063,2.49
111,113553,0.420644,1.5229,0.0062,2.49
112,114576,0.416888,1.5172,0.0062,2.48
113,115599,0.413200,1.5116,0.0061,2.50
114,116622,0.409576,1.5062,0.0060,2.50
115,117645,0.406014,1.5008,0.0059,2.50
116,118668,0.402514,1.4956,0.0059,2.51
117,119691,0.406877,1.5021,0.0059,2.60
118,120714,0.411836,1.5096,0.0060,2.60
119,121737,0.414536,1.5137,0.0060,2.61
120,122760,0.412683,1.5109,0.0059,2.62
121,123783,0.414535,1.5137,0.0059,2.58
122,124806,0.416068,1.5160,0.0059,2.61
123,125829,0.417038,1.5175,0.0059,2.60
124,126852,0.419601,1.5214,0.0059,2.61
125,127875,0.424322,1.5286,0.0060,2.62
126,128898,0.432286,1.5408,0.0060,2.61
127,129921,0.438610,1.5506,0.0061,2.59
128,130944,0.442958,1.5573,0.0061,2.60
129,131967,0.445427,1.5612,0.0061,2.61
130,132990,0.450582,1.5692,0.0062,2.62
131,134013,0.451147,1.5701,0.0061,2.59
132,135036,0.453912,1.5745,0.0062,2.60
133,136059,0.454389,1.5752,0.0061,2.60
134,137082,0.458495,1.5817,0.0062,2.60
135,138105,0.458787,1.5822,0.0061,2.61
136,139128,0.459641,1.5835,0.0061,2.61
137,140151,0.461142,1.5859,0.0061,2.60
138,141174,0.466489,1.5944,0.0062,2.60
139,142197,0.471307,1.6021,0.0062,2.60
140,143220,0.474254,1.6068,0.0062,2.60
141,144243,0.476046,1.6097,0.0063,2.58
142,145266,0.480418,1.6167,0.0063,2.58
143,146289,0.483016,1.6210,0.0063,2.60
144,147312,0.486647,1.6269,0.0063,2.56
145,148335,0.487826,1.6288,0.0063,2.58
