chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.040501,1.0413,0.0113,2.49
2,2046,0.124624,1.1327,0.0155,2.41
3,3069,0.136722,1.1465,0.0140,2.41
4,4092,0.166722,1.1814,0.0150,2.42
5,5115,0.209703,1.2333,0.0158,2.40
6,6138,0.218295,1.2440,0.0150,2.40
7,7161,0.204168,1.2265,0.0134,2.41
8,8184,0.218807,1.2446,0.0132,2.40
9,9207,0.223998,1.2511,0.0129,2.41
10,10230,0.224186,1.2513,0.0123,2.42
11,11253,0.219302,1.2452,0.0116,2.43
12,12276,0.235222,1.2652,0.0119,2.40
13,13299,0.224856,1.2521,0.0111,2.40
14,14322,0.216279,1.2414,0.0104,2.44
15,15345,0.211684,1.2358,0.0099,2.42
16,16368,0.212119,1.2363,0.0095,2.41
17,17391,0.205487,1.2281,0.0090,2.43
18,18414,0.201896,1.2237,0.0086,2.42
19,19437,0.200804,1.2224,0.0084,2.43
20,20460,0.202865,1.2249,0.0082,2.43
21,21483,0.199515,1.2208,0.0079,2.46
22,22506,0.196592,1.2172,0.0077,2.42
23,23529,0.192413,1.2122,0.0074,2.43
24,24552,0.191180,1.2107,0.0072,2.42
25,25575,0.203229,1.2254,0.0073,2.42
26,26598,0.251073,1.2854,0.0084,2.45
27,27621,0.244096,1.2765,0.0081,2.45
28,28644,0.238841,1.2698,0.0078,2.44
29,29667,0.235156,1.2651,0.0076,2.42
30,30690,0.233767,1.2634,0.0074,2.44
31,31713,0.232061,1.2612,0.0073,2.44
32,32736,0.228186,1.2563,0.0071,2.46
33,33759,0.231539,1.2605,0.0071,2.42
34,34782,0.227374,1.2553,0.0069,2.45
35,35805,0.222888,1.2497,0.0067,2.45
36,36828,0.220817,1.2471,0.0066,2.44
37,37851,0.225337,1.2527,0.0065,2.43
38,38874,0.224408,1.2516,0.0064,2.44
39,39897,0.227750,1.2558,0.0064,2.47
40,40920,0.228702,1.2570,0.0064,2.46
41,41943,0.231285,1.2602,0.0063,2.43
42,42966,0.231796,1.2609,0.0062,2.46
43,43989,0.227902,1.2560,0.0061,2.46
44,45012,0.233596,1.2631,0.0061,2.47
45,46035,0.235831,1.2660,0.0061,2.43
46,47058,0.235730,1.2658,0.0060,2.43
47,48081,0.236333,1.2666,0.0060,2.43
48,49104,0.235612,1.2657,0.0059,2.43
49,50127,0.238450,1.2693,0.0059,2.43
50,51150,0.246795,1.2799,0.0060,2.43
51,52173,0.245123,1.2778,0.0059,2.43
52,53196,0.250498,1.2847,0.0059,2.44
53,54219,0.262819,1.3006,0.0061,2.45
54,55242,0.264417,1.3027,0.0060,2.45
55,56265,0.271710,1.3122,0.0061,2.44
56,57288,0.278584,1.3213,0.0062,2.44
57,58311,0.283750,1.3281,0.0062,2.44
58,59334,0.293744,1.3414,0.0063,2.50
59,60357,0.306781,1.3590,0.0065,2.45
60,61380,0.315851,1.3714,0.0066,2.47
61,62403,0.325674,1.3850,0.0067,2.46
62,63426,0.335996,1.3993,0.0068,2.45
63,64449,0.339668,1.4045,0.0068,2.50
64,65472,0.349566,1.4185,0.0069,2.51
65,66495,0.354873,1.4260,0.0069,2.48
66,67518,0.363915,1.4390,0.0071,2.50
67,68541,0.368199,1.4451,0.0071,2.51
68,69564,0.376021,1.4565,0.0071,2.53
69,70587,0.382421,1.4658,0.0072,2.52
70,71610,0.382428,1.4658,0.0072,2.52
71,72633,0.385730,1.4707,0.0072,2.50
72,73656,0.391017,1.4785,0.0072,2.50
73,74679,0.400684,1.4928,0.0072,2.49
