chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.049131,1.0504,0.0127,2.53
2,2046,0.139660,1.1499,0.0175,2.41
3,3069,0.150703,1.1627,0.0150,2.41
4,4092,0.176522,1.1931,0.0155,2.42
5,5115,0.216919,1.2422,0.0160,2.41
6,6138,0.226430,1.2541,0.0154,2.40
7,7161,0.212536,1.2368,0.0138,2.41
8,8184,0.228518,1.2567,0.0136,2.40
9,9207,0.232626,1.2619,0.0132,2.42
10,10230,0.231870,1.2610,0.0125,2.42
11,11253,0.226813,1.2546,0.0118,2.43
12,12276,0.241702,1.2734,0.0120,2.41
13,13299,0.232525,1.2618,0.0113,2.43
14,14322,0.224407,1.2516,0.0105,2.42
15,15345,0.219567,1.2455,0.0101,2.41
16,16368,0.220406,1.2466,0.0097,2.42
17,17391,0.214046,1.2387,0.0092,2.43
18,18414,0.210096,1.2338,0.0088,2.43
19,19437,0.208754,1.2321,0.0085,2.43
20,20460,0.211062,1.2350,0.0083,2.42
21,21483,0.207321,1.2304,0.0080,2.45
22,22506,0.204521,1.2269,0.0078,2.41
23,23529,0.200114,1.2215,0.0075,2.43
24,24552,0.198872,1.2200,0.0073,2.41
25,25575,0.210511,1.2343,0.0074,2.41
26,26598,0.258240,1.2947,0.0085,2.44
27,27621,0.251155,1.2855,0.0082,2.43
28,28644,0.245694,1.2785,0.0079,2.43
29,29667,0.241979,1.2738,0.0077,2.41
30,30690,0.240581,1.2720,0.0075,2.44
31,31713,0.238585,1.2695,0.0074,2.44
32,32736,0.234419,1.2642,0.0072,2.45
33,33759,0.237446,1.2680,0.0072,2.43
34,34782,0.233262,1.2627,0.0070,2.46
35,35805,0.228628,1.2569,0.0068,2.45
36,36828,0.226686,1.2544,0.0066,2.45
37,37851,0.231397,1.2604,0.0066,2.43
38,38874,0.230304,1.2590,0.0065,2.43
39,39897,0.233721,1.2633,0.0065,2.47
40,40920,0.234608,1.2644,0.0064,2.45
41,41943,0.236985,1.2674,0.0064,2.43
42,42966,0.237483,1.2681,0.0063,2.45
43,43989,0.233431,1.2629,0.0062,2.45
44,45012,0.238957,1.2699,0.0062,2.48
45,46035,0.241378,1.2730,0.0062,2.42
46,47058,0.241049,1.2726,0.0061,2.42
47,48081,0.241512,1.2732,0.0060,2.43
48,49104,0.240597,1.2720,0.0060,2.43
49,50127,0.243506,1.2757,0.0059,2.42
50,51150,0.251923,1.2865,0.0060,2.42
51,52173,0.250093,1.2841,0.0059,2.44
52,53196,0.255409,1.2910,0.0060,2.44
53,54219,0.267406,1.3066,0.0061,2.43
54,55242,0.269028,1.3087,0.0061,2.43
55,56265,0.276363,1.3183,0.0062,2.41
56,57288,0.283064,1.3272,0.0062,2.42
57,58311,0.288239,1.3341,0.0063,2.42
58,59334,0.298074,1.3473,0.0064,2.48
59,60357,0.311061,1.3649,0.0066,2.46
60,61380,0.320266,1.3775,0.0067,2.46
61,62403,0.330317,1.3914,0.0068,2.46
62,63426,0.340618,1.4058,0.0069,2.44
63,64449,0.344248,1.4109,0.0069,2.49
64,65472,0.354310,1.4252,0.0070,2.50
65,66495,0.359643,1.4328,0.0070,2.47
66,67518,0.368543,1.4456,0.0071,2.49
67,68541,0.373086,1.4522,0.0071,2.50
68,69564,0.380923,1.4636,0.0072,2.52
69,70587,0.387256,1.4729,0.0073,2.50
70,71610,0.387081,1.4727,0.0072,2.50
71,72633,0.390263,1.4774,0.0072,2.49
72,73656,0.395709,1.4854,0.0072,2.47
73,74679,0.405331,1.4998,0.0073,2.47
74,75702,0.416128,1.5161,0.0074,2.46
75,76725,0.423704,1.5276,0.0075,2.47
76,77748,0.427691,1.5337,0.0074,2.46
77,78771,0.430804,1.5385,0.0075,2.52
78,79794,0.436829,1.5478,0.0075,2.51
79,80817,0.443978,1.5589,0.0076,2.48
80,81840,0.449816,1.5680,0.0076,2.51
81,82863,0.456755,1.5789,0.0077,2.47
82,83886,0.462740,1.5884,0.0077,2.47
83,84909,0.463757,1.5900,0.0077,2.49
84,85932,0.467252,1.5956,0.0077,2.49
85,86955,0.474104,1.6066,0.0078,2.52
86,87978,0.470127,1.6002,0.0077,2.54
87,89001,0.477266,1.6117,0.0078,2.52
88,90024,0.482755,1.6205,0.0078,2.51
89,91047,0.491802,1.6353,0.0079,2.53
90,92070,0.494963,1.6404,0.0079,2.49
91,93093,0.500336,1.6493,0.0080,2.51
92,94116,0.505838,1.6584,0.0080,2.50
93,95139,0.506885,1.6601,0.0080,2.52
94,96162,0.507367,1.6609,0.0080,2.53
95,97185,0.509493,1.6644,0.0079,2.52
96,98208,0.504190,1.6556,0.0078,2.47
97,99231,0.499008,1.6471,0.0077,2.35
98,100254,0.493922,1.6387,0.0076,2.36
99,101277,0.490012,1.6323,0.0075,2.44
100,102300,0.485115,1.6244,0.0074,2.43
101,103323,0.480317,1.6166,0.0073,2.42
102,104346,0.475611,1.6090,0.0072,2.42
103,105369,0.470997,1.6016,0.0071,2.43
104,106392,0.466468,1.5944,0.0070,2.43
105,107415,0.462026,1.5873,0.0069,2.42
106,108438,0.457674,1.5804,0.0068,2.42
107,109461,0.453397,1.5736,0.0067,2.43
108,110484,0.449200,1.5671,0.0066,2.43
109,111507,0.445079,1.5606,0.0065,2.42
110,112530,0.441033,1.5543,0.0065,2.43
111,113553,0.437060,1.5481,0.0064,2.43
112,114576,0.433158,1.5421,0.0063,2.44
113,115599,0.429325,1.5362,0.0062,2.44
114,116622,0.425559,1.5304,0.0061,2.44
115,117645,0.421859,1.5248,0.0061,2.44
116,118668,0.418222,1.5193,0.0060,2.44
117,119691,0.422665,1.5260,0.0060,2.53
118,120714,0.427775,1.5338,0.0061,2.55
119,121737,0.430444,1.5379,0.0061,2.56
120,122760,0.428534,1.5350,0.0060,2.55
121,123783,0.430354,1.5378,0.0060,2.52
122,124806,0.431778,1.5400,0.0060,2.54
123,125829,0.432754,1.5415,0.0060,2.54
124,126852,0.435330,1.5455,0.0060,2.53
125,127875,0.440470,1.5534,0.0061,2.55
126,128898,0.448455,1.5659,0.0062,2.54
127,129921,0.454932,1.5761,0.0062,2.52
128,130944,0.459178,1.5828,0.0062,2.52
129,131967,0.461753,1.5869,0.0063,2.54
130,132990,0.466755,1.5948,0.0063,2.55
131,134013,0.467450,1.5959,0.0063,2.52
132,135036,0.470263,1.6004,0.0063,2.53
133,136059,0.470734,1.6012,0.0063,2.52
134,137082,0.474825,1.6077,0.0063,2.53
135,138105,0.475110,1.6082,0.0063,2.54
