chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.367749,1.4445,0.0572,2.73
2,2046,0.325145,1.3842,0.0341,2.64
3,3069,0.390269,1.4774,0.0333,2.61
4,4092,0.676164,1.9663,0.0511,2.68
5,5115,0.769656,2.1590,0.0539,2.66
6,6138,0.726730,2.0683,0.0454,2.64
7,7161,0.673371,1.9608,0.0380,2.62
8,8184,0.724731,2.0642,0.0381,2.62
9,9207,0.802346,2.2308,0.0405,2.64
10,10230,0.884666,2.4222,0.0436,2.69
11,11253,0.940189,2.5605,0.0446,2.70
12,12276,1.027695,2.7946,0.0486,2.66
13,13299,1.007457,2.7386,0.0453,2.68
14,14322,1.053788,2.8685,0.0465,2.65
15,15345,1.084502,2.9580,0.0468,2.65
16,16368,1.142066,3.1332,0.0491,2.67
17,17391,1.183851,3.2669,0.0503,2.65
18,18414,1.212994,3.3635,0.0508,2.65
19,19437,1.225050,3.4043,0.0504,2.73
20,20460,1.188204,3.2812,0.0469,2.72
21,21483,1.159447,3.1882,0.0439,2.68
22,22506,1.137498,3.1190,0.0416,2.68
23,23529,1.116904,3.0554,0.0395,2.65
24,24552,1.102566,3.0119,0.0378,2.68
25,25575,1.094950,2.9890,0.0366,2.68
26,26598,1.083651,2.9554,0.0353,2.70
27,27621,1.131111,3.0991,0.0372,2.72
28,28644,1.164571,3.2045,0.0384,2.72
29,29667,1.180005,3.2544,0.0386,2.73
30,30690,1.187796,3.2798,0.0383,2.67
31,31713,1.194103,3.3006,0.0380,2.66
32,32736,1.190550,3.2889,0.0372,2.68
33,33759,1.197276,3.3111,0.0369,2.66
34,34782,1.208929,3.3499,0.0369,2.65
35,35805,1.220420,3.3886,0.0369,2.73
36,36828,1.233812,3.4343,0.0371,2.70
37,37851,1.230882,3.4242,0.0364,2.72
38,38874,1.231902,3.4277,0.0359,2.72
39,39897,1.231449,3.4262,0.0354,2.69
40,40920,1.228966,3.4177,0.0347,2.65
41,41943,1.232259,3.4290,0.0344,2.69
42,42966,1.243783,3.4687,0.0346,2.74
43,43989,1.273528,3.5734,0.0357,2.72
44,45012,1.300817,3.6723,0.0367,2.69
45,46035,1.288541,3.6275,0.0357,2.73
46,47058,1.279303,3.5941,0.0349,2.70
47,48081,1.287981,3.6255,0.0349,2.72
48,49104,1.298925,3.6654,0.0350,2.69
49,50127,1.313154,3.7179,0.0352,2.69
50,51150,1.314969,3.7246,0.0349,2.71
51,52173,1.329901,3.7807,0.0353,2.75
52,53196,1.328877,3.7768,0.0349,2.71
53,54219,1.332716,3.7913,0.0347,2.71
54,55242,1.336409,3.8054,0.0345,2.67
55,56265,1.334239,3.7971,0.0340,2.66
56,57288,1.335735,3.8028,0.0337,2.67
57,58311,1.332053,3.7888,0.0333,2.65
58,59334,1.332665,3.7911,0.0329,2.67
59,60357,1.328746,3.7763,0.0325,2.71
60,61380,1.333246,3.7933,0.0325,2.70
61,62403,1.339478,3.8171,0.0325,2.73
62,63426,1.347821,3.8490,0.0326,2.69
63,64449,1.358332,3.8897,0.0328,2.69
64,65472,1.369952,3.9352,0.0331,2.71
65,66495,1.366110,3.9201,0.0326,2.72
66,67518,1.373907,3.9508,0.0327,2.68
67,68541,1.375677,3.9578,0.0325,2.70
68,69564,1.374767,3.9542,0.0322,2.68
69,70587,1.376914,3.9627,0.0321,2.71
70,71610,1.379197,3.9717,0.0319,2.73
71,72633,1.375308,3.9563,0.0316,2.74
72,73656,1.377649,3.9656,0.0314,2.74
73,74679,1.385332,3.9962,0.0316,2.72
74,75702,1.392927,4.0266,0.0317,2.73
75,76725,1.395233,4.0359,0.0315,2.74
76,77748,1.398968,4.0510,0.0315,2.72
77,78771,1.402389,4.0649,0.0314,2.71
78,79794,1.402398,4.0649,0.0311,2.70
79,80817,1.409086,4.0922,0.0312,2.75
80,81840,1.402081,4.0636,0.0307,2.76
81,82863,1.395129,4.0355,0.0302,2.73
82,83886,1.386866,4.0023,0.0297,2.70
83,84909,1.380520,3.9770,0.0293,2.70
84,85932,1.372698,3.9460,0.0288,2.72
85,86955,1.368907,3.9311,0.0285,2.76
86,87978,1.373103,3.9476,0.0285,2.74
87,89001,1.371732,3.9422,0.0282,2.71
88,90024,1.372456,3.9450,0.0281,2.72
89,91047,1.377371,3.9645,0.0281,2.75
90,92070,1.378984,3.9709,0.0280,2.73
91,93093,1.387546,4.0050,0.0282,2.74
92,94116,1.394789,4.0341,0.0283,2.70
93,95139,1.400337,4.0566,0.0284,2.74
94,96162,1.403751,4.0704,0.0283,2.73
95,97185,1.410517,4.0981,0.0284,2.73
96,98208,1.419344,4.1344,0.0286,2.72
97,99231,1.427622,4.1688,0.0288,2.74
98,100254,1.426896,4.1657,0.0286,2.74
99,101277,1.430179,4.1794,0.0286,2.73
100,102300,1.432300,4.1883,0.0285,2.75
101,103323,1.424010,4.1537,0.0281,2.74
102,104346,1.417373,4.1263,0.0277,2.71
103,105369,1.410004,4.0960,0.0273,2.74
104,106392,1.407117,4.0842,0.0271,2.70
105,107415,1.400083,4.0555,0.0267,2.71
106,108438,1.397922,4.0468,0.0265,2.75
107,109461,1.400590,4.0576,0.0265,2.72
108,110484,1.400054,4.0554,0.0264,2.75
109,111507,1.402064,4.0636,0.0263,2.74
110,112530,1.402401,4.0649,0.0262,2.73
111,113553,1.402678,4.0661,0.0261,2.73
112,114576,1.401327,4.0606,0.0259,2.72
113,115599,1.400536,4.0574,0.0258,2.72
114,116622,1.407149,4.0843,0.0259,2.76
115,117645,1.410343,4.0974,0.0259,2.74
116,118668,1.414558,4.1147,0.0259,2.72
117,119691,1.418450,4.1307,0.0260,2.73
118,120714,1.419907,4.1367,0.0259,2.75
119,121737,1.417300,4.1260,0.0257,2.73
120,122760,1.419849,4.1365,0.0257,2.74
121,123783,1.422314,4.1467,0.0257,2.73
122,124806,1.424019,4.1538,0.0256,2.71
123,125829,1.425289,4.1591,0.0256,2.71
124,126852,1.426451,4.1639,0.0255,2.73
125,127875,1.430954,4.1827,0.0256,2.74
126,128898,1.432613,4.1896,0.0256,2.74
127,129921,1.436162,4.2045,0.0256,2.74
128,130944,1.436414,4.2056,0.0255,2.68
129,131967,1.437683,4.2109,0.0254,2.71
130,132990,1.436894,4.2076,0.0253,2.73
131,134013,1.439628,4.2191,0.0253,2.75
132,135036,1.435973,4.2037,0.0251,2.74
133,136059,1.436340,4.2053,0.0250,2.72
134,137082,1.435261,4.2007,0.0249,2.72
135,138105,1.433985,4.1954,0.0248,2.74
136,139128,1.431949,4.1869,0.0246,2.73
137,140151,1.428993,4.1745,0.0244,2.71
138,141174,1.426245,4.1630,0.0242,2.74
139,142197,1.429420,4.1763,0.0243,2.72
140,143220,1.433847,4.1948,0.0243,2.73
