chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.398544,1.4897,0.0622,2.72
2,2046,0.360899,1.4346,0.0379,2.63
3,3069,0.412235,1.5102,0.0346,2.61
4,4092,0.685456,1.9847,0.0509,2.67
5,5115,0.783278,2.1886,0.0540,2.65
6,6138,0.740411,2.0968,0.0456,2.62
7,7161,0.684596,1.9830,0.0381,2.60
8,8184,0.736821,2.0893,0.0384,2.62
9,9207,0.812419,2.2534,0.0407,2.62
10,10230,0.894837,2.4469,0.0439,2.68
11,11253,0.951455,2.5895,0.0451,2.68
12,12276,1.037830,2.8231,0.0491,2.64
13,13299,1.017516,2.7663,0.0458,2.66
14,14322,1.064169,2.8984,0.0470,2.63
15,15345,1.096145,2.9926,0.0473,2.61
16,16368,1.155384,3.1752,0.0500,2.65
17,17391,1.196217,3.3076,0.0511,2.63
18,18414,1.224739,3.4033,0.0516,2.64
19,19437,1.235871,3.4414,0.0511,2.71
20,20460,1.199335,3.3179,0.0476,2.71
21,21483,1.170912,3.2249,0.0446,2.68
22,22506,1.150032,3.1583,0.0423,2.66
23,23529,1.128363,3.0906,0.0401,2.65
24,24552,1.115220,3.0502,0.0384,2.69
25,25575,1.107399,3.0265,0.0372,2.68
26,26598,1.096536,2.9938,0.0359,2.71
27,27621,1.143078,3.1364,0.0378,2.72
28,28644,1.175782,3.2407,0.0389,2.72
29,29667,1.191324,3.2914,0.0392,2.73
30,30690,1.198889,3.3164,0.0389,2.67
31,31713,1.204716,3.3358,0.0385,2.66
32,32736,1.200514,3.3218,0.0377,2.68
33,33759,1.206685,3.3424,0.0374,2.66
34,34782,1.218709,3.3828,0.0374,2.64
35,35805,1.229915,3.4209,0.0374,2.74
36,36828,1.243390,3.4673,0.0376,2.69
37,37851,1.240071,3.4559,0.0368,2.71
38,38874,1.240670,3.4579,0.0363,2.72
39,39897,1.240181,3.4562,0.0358,2.69
40,40920,1.237211,3.4460,0.0351,2.66
41,41943,1.240398,3.4570,0.0348,2.70
42,42966,1.252445,3.4989,0.0350,2.75
43,43989,1.281920,3.6036,0.0361,2.73
44,45012,1.309094,3.7028,0.0371,2.70
45,46035,1.296576,3.6568,0.0361,2.75
46,47058,1.286909,3.6216,0.0352,2.72
47,48081,1.295715,3.6536,0.0352,2.74
48,49104,1.306748,3.6941,0.0354,2.71
49,50127,1.320629,3.7458,0.0356,2.71
50,51150,1.322829,3.7540,0.0353,2.72
51,52173,1.337443,3.8093,0.0357,2.74
52,53196,1.335857,3.8033,0.0352,2.72
53,54219,1.339803,3.8183,0.0350,2.71
54,55242,1.343549,3.8326,0.0348,2.66
55,56265,1.341150,3.8234,0.0343,2.64
56,57288,1.342217,3.8275,0.0340,2.66
57,58311,1.338220,3.8123,0.0335,2.64
58,59334,1.338542,3.8135,0.0332,2.65
59,60357,1.334430,3.7978,0.0328,2.70
60,61380,1.339167,3.8159,0.0327,2.69
61,62403,1.345381,3.8397,0.0327,2.74
62,63426,1.353643,3.8715,0.0328,2.70
63,64449,1.364232,3.9127,0.0330,2.69
64,65472,1.376058,3.9593,0.0333,2.73
65,66495,1.371943,3.9430,0.0329,2.74
66,67518,1.379881,3.9744,0.0330,2.70
67,68541,1.381812,3.9821,0.0328,2.71
68,69564,1.381087,3.9792,0.0325,2.71
69,70587,1.383170,3.9875,0.0323,2.74
70,71610,1.385813,3.9981,0.0322,2.77
71,72633,1.381829,3.9822,0.0318,2.76
72,73656,1.384313,3.9921,0.0317,2.77
73,74679,1.391888,4.0224,0.0318,2.73
74,75702,1.399642,4.0537,0.0319,2.75
75,76725,1.401794,4.0625,0.0318,2.76
76,77748,1.405469,4.0774,0.0317,2.74
77,78771,1.408744,4.0908,0.0316,2.73
78,79794,1.408770,4.0909,0.0314,2.71
79,80817,1.415339,4.1179,0.0314,2.77
80,81840,1.408286,4.0889,0.0309,2.78
81,82863,1.401342,4.0606,0.0305,2.74
82,83886,1.393115,4.0274,0.0299,2.72
83,84909,1.386892,4.0024,0.0295,2.72
84,85932,1.379243,3.9719,0.0291,2.73
85,86955,1.375594,3.9574,0.0287,2.79
86,87978,1.379610,3.9734,0.0287,2.76
87,89001,1.378295,3.9681,0.0285,2.72
88,90024,1.379329,3.9722,0.0283,2.74
89,91047,1.384468,3.9927,0.0284,2.77
90,92070,1.386115,3.9993,0.0282,2.75
91,93093,1.394978,4.0349,0.0284,2.75
92,94116,1.402434,4.0651,0.0286,2.72
93,95139,1.407739,4.0867,0.0286,2.75
94,96162,1.411546,4.1023,0.0286,2.74
95,97185,1.418246,4.1299,0.0287,2.73
96,98208,1.427028,4.1663,0.0289,2.74
97,99231,1.435538,4.2019,0.0291,2.74
98,100254,1.434675,4.1983,0.0289,2.76
99,101277,1.438015,4.2123,0.0289,2.74
100,102300,1.440279,4.2219,0.0288,2.75
101,103323,1.432206,4.1879,0.0284,2.77
102,104346,1.425459,4.1598,0.0280,2.72
103,105369,1.418452,4.1307,0.0276,2.75
104,106392,1.415859,4.1200,0.0274,2.72
105,107415,1.409083,4.0922,0.0270,2.72
106,108438,1.406856,4.0831,0.0268,2.74
107,109461,1.409466,4.0938,0.0268,2.73
108,110484,1.408955,4.0917,0.0267,2.76
109,111507,1.410860,4.0995,0.0266,2.75
110,112530,1.411207,4.1009,0.0265,2.74
111,113553,1.411416,4.1018,0.0264,2.74
112,114576,1.410174,4.0967,0.0262,2.73
113,115599,1.409320,4.0932,0.0261,2.72
114,116622,1.416117,4.1211,0.0262,2.75
115,117645,1.419413,4.1347,0.0262,2.75
116,118668,1.423509,4.1517,0.0262,2.73
117,119691,1.427149,4.1668,0.0263,2.73
118,120714,1.428500,4.1724,0.0262,2.76
119,121737,1.425963,4.1619,0.0260,2.76
120,122760,1.428334,4.1717,0.0260,2.77
121,123783,1.430810,4.1821,0.0260,2.75
122,124806,1.432521,4.1892,0.0259,2.73
123,125829,1.433698,4.1942,0.0259,2.72
124,126852,1.434891,4.1992,0.0258,2.75
125,127875,1.439350,4.2180,0.0259,2.77
126,128898,1.441143,4.2255,0.0259,2.78
127,129921,1.444569,4.2400,0.0259,2.74
128,130944,1.444842,4.2412,0.0258,2.71
129,131967,1.446149,4.2467,0.0257,2.72
130,132990,1.445136,4.2424,0.0256,2.73
131,134013,1.447920,4.2543,0.0256,2.76
132,135036,1.444323,4.2390,0.0254,2.76
133,136059,1.444719,4.2407,0.0253,2.74
134,137082,1.443391,4.2350,0.0252,2.72
135,138105,1.442228,4.2301,0.0250,2.75
136,139128,1.440393,4.2224,0.0249,2.74
137,140151,1.437611,4.2106,0.0247,2.73
138,141174,1.434774,4.1987,0.0245,2.75
139,142197,1.437984,4.2122,0.0245,2.72
140,143220,1.442391,4.2308,0.0246,2.72
141,144243,1.438785,4.2156,0.0244,2.73
142,145266,1.432304,4.1883,0.0241,2.71
143,146289,1.427537,4.1684,0.0239,2.72
144,147312,1.429430,4.1763,0.0238,2.72
145,148335,1.428935,4.1743,0.0237,2.73
