chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.396142,1.4861,0.0614,2.71
2,2046,0.355812,1.4273,0.0371,2.63
3,3069,0.405453,1.5000,0.0344,2.62
4,4092,0.684651,1.9831,0.0514,2.67
5,5115,0.783145,2.1883,0.0546,2.65
6,6138,0.740759,2.0975,0.0461,2.61
7,7161,0.684000,1.9818,0.0384,2.58
8,8184,0.736178,2.0879,0.0387,2.59
9,9207,0.812242,2.2530,0.0409,2.60
10,10230,0.896342,2.4506,0.0443,2.64
11,11253,0.953875,2.5957,0.0456,2.67
12,12276,1.040328,2.8301,0.0494,2.61
13,13299,1.019553,2.7720,0.0461,2.63
14,14322,1.065512,2.9023,0.0472,2.62
15,15345,1.097390,2.9963,0.0476,2.61
16,16368,1.156351,3.1783,0.0502,2.64
17,17391,1.196952,3.3100,0.0513,2.62
18,18414,1.225716,3.4066,0.0517,2.61
19,19437,1.236943,3.4451,0.0512,2.70
20,20460,1.200540,3.3219,0.0477,2.70
21,21483,1.171675,3.2274,0.0447,2.67
22,22506,1.149824,3.1576,0.0424,2.66
23,23529,1.128998,3.0926,0.0402,2.63
24,24552,1.115659,3.0516,0.0385,2.67
25,25575,1.107771,3.0276,0.0373,2.66
26,26598,1.096702,2.9943,0.0360,2.69
27,27621,1.143712,3.1384,0.0379,2.70
28,28644,1.177384,3.2459,0.0391,2.71
29,29667,1.192993,3.2969,0.0394,2.70
30,30690,1.200463,3.3217,0.0390,2.64
31,31713,1.206566,3.3420,0.0387,2.64
32,32736,1.202733,3.3292,0.0379,2.65
33,33759,1.208958,3.3500,0.0376,2.65
34,34782,1.220695,3.3895,0.0375,2.63
35,35805,1.231925,3.4278,0.0375,2.71
36,36828,1.244981,3.4729,0.0377,2.68
37,37851,1.241798,3.4618,0.0370,2.70
38,38874,1.242427,3.4640,0.0364,2.70
39,39897,1.241846,3.4620,0.0359,2.67
40,40920,1.238977,3.4521,0.0352,2.64
41,41943,1.242167,3.4631,0.0349,2.68
42,42966,1.253839,3.5038,0.0351,2.72
43,43989,1.283753,3.6102,0.0363,2.71
44,45012,1.311201,3.7106,0.0373,2.67
45,46035,1.298734,3.6647,0.0363,2.70
46,47058,1.289756,3.6319,0.0355,2.68
47,48081,1.298689,3.6645,0.0355,2.71
48,49104,1.309783,3.7054,0.0356,2.67
49,50127,1.323739,3.7574,0.0358,2.67
50,51150,1.325928,3.7657,0.0356,2.70
51,52173,1.340967,3.8227,0.0359,2.72
52,53196,1.339749,3.8181,0.0355,2.69
