chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.335867,1.3992,0.0507,2.49
2,2046,0.300077,1.3500,0.0306,2.40
3,3069,0.363723,1.4387,0.0312,2.40
4,4092,0.654443,1.9241,0.0489,2.45
5,5115,0.749087,2.1151,0.0519,2.44
6,6138,0.707296,2.0285,0.0438,2.38
7,7161,0.654921,1.9250,0.0367,2.36
8,8184,0.705646,2.0252,0.0369,2.37
9,9207,0.783999,2.1902,0.0393,2.38
10,10230,0.866950,2.3796,0.0425,2.42
11,11253,0.925111,2.5221,0.0437,2.41
12,12276,1.013106,2.7541,0.0477,2.37
13,13299,0.989022,2.6886,0.0443,2.38
14,14322,1.037089,2.8210,0.0455,2.35
15,15345,1.068341,2.9105,0.0458,2.35
16,16368,1.125625,3.0821,0.0481,2.37
17,17391,1.167630,3.2144,0.0494,2.35
18,18414,1.197424,3.3116,0.0499,2.36
19,19437,1.210264,3.3544,0.0495,2.41
20,20460,1.174272,3.2358,0.0461,2.43
21,21483,1.145090,3.1427,0.0432,2.39
22,22506,1.122337,3.0720,0.0409,2.39
23,23529,1.101121,3.0075,0.0388,2.36
24,24552,1.085619,2.9613,0.0371,2.40
25,25575,1.077190,2.9364,0.0359,2.41
26,26598,1.065874,2.9034,0.0346,2.42
27,27621,1.114736,3.0488,0.0366,2.44
28,28644,1.147946,3.1517,0.0378,2.45
29,29667,1.162935,3.1993,0.0380,2.45
30,30690,1.171876,3.2280,0.0377,2.40
31,31713,1.178947,3.2509,0.0375,2.38
32,32736,1.175514,3.2398,0.0367,2.42
33,33759,1.182144,3.2614,0.0364,2.39
34,34782,1.193026,3.2970,0.0363,2.37
35,35805,1.204430,3.3349,0.0363,2.47
36,36828,1.217443,3.3785,0.0365,2.41
37,37851,1.214784,3.3696,0.0358,2.43
38,38874,1.215779,3.3729,0.0353,2.43
39,39897,1.215763,3.3729,0.0348,2.41
40,40920,1.212997,3.3636,0.0341,2.38
41,41943,1.216621,3.3758,0.0338,2.41
42,42966,1.228525,3.4162,0.0341,2.46
43,43989,1.258847,3.5214,0.0352,2.44
44,45012,1.285721,3.6173,0.0362,2.41
45,46035,1.273899,3.5748,0.0352,2.44
46,47058,1.265348,3.5443,0.0345,2.42
47,48081,1.274175,3.5757,0.0345,2.43
48,49104,1.284902,3.6143,0.0346,2.41
49,50127,1.298945,3.6654,0.0348,2.41
50,51150,1.300932,3.6727,0.0345,2.44
51,52173,1.315781,3.7277,0.0349,2.46
52,53196,1.314613,3.7233,0.0344,2.44
53,54219,1.318642,3.7383,0.0342,2.44
54,55242,1.322509,3.7528,0.0341,2.38
55,56265,1.320125,3.7439,0.0336,2.38
56,57288,1.321682,3.7497,0.0333,2.38
57,58311,1.318086,3.7363,0.0328,2.39
58,59334,1.318625,3.7383,0.0325,2.38
59,60357,1.314387,3.7225,0.0321,2.43
60,61380,1.319469,3.7414,0.0320,2.41
61,62403,1.325446,3.7639,0.0321,2.44
62,63426,1.333645,3.7948,0.0321,2.41
63,64449,1.344261,3.8354,0.0323,2.40
64,65472,1.355436,3.8785,0.0326,2.43
65,66495,1.351337,3.8626,0.0321,2.43
66,67518,1.359308,3.8935,0.0322,2.39
67,68541,1.361366,3.9015,0.0320,2.41
68,69564,1.360794,3.8993,0.0318,2.39
69,70587,1.363489,3.9098,0.0316,2.42
70,71610,1.366205,3.9204,0.0315,2.45
71,72633,1.362406,3.9056,0.0311,2.45
72,73656,1.364871,3.9152,0.0310,2.45
73,74679,1.372411,3.9449,0.0311,2.42
74,75702,1.380060,3.9751,0.0312,2.44
75,76725,1.382623,3.9853,0.0311,2.44
76,77748,1.385877,3.9983,0.0310,2.44
77,78771,1.389415,4.0125,0.0309,2.42
78,79794,1.389598,4.0132,0.0307,2.39
79,80817,1.395826,4.0383,0.0308,2.46
80,81840,1.388667,4.0095,0.0303,2.49
81,82863,1.381668,3.9815,0.0298,2.45
82,83886,1.373244,3.9481,0.0293,2.44
83,84909,1.366848,3.9230,0.0289,2.44
84,85932,1.358556,3.8906,0.0284,2.45
85,86955,1.354820,3.8761,0.0281,2.51
86,87978,1.358762,3.8914,0.0281,2.50
87,89001,1.357167,3.8852,0.0278,2.47
88,90024,1.358271,3.8895,0.0277,2.48
89,91047,1.363529,3.9100,0.0277,2.52
90,92070,1.364914,3.9154,0.0276,2.50
91,93093,1.373309,3.9484,0.0278,2.51
92,94116,1.380595,3.9773,0.0279,2.47
93,95139,1.385788,3.9980,0.0279,2.51
94,96162,1.389104,4.0113,0.0279,2.48
95,97185,1.396055,4.0392,0.0280,2.50
96,98208,1.404766,4.0746,0.0282,2.51
97,99231,1.413280,4.1094,0.0284,2.51
98,100254,1.412447,4.1060,0.0282,2.52
99,101277,1.415987,4.1206,0.0282,2.51
100,102300,1.418340,4.1303,0.0281,2.52
101,103323,1.409688,4.0947,0.0277,2.52
102,104346,1.403072,4.0677,0.0273,2.48
103,105369,1.395686,4.0377,0.0269,2.50
104,106392,1.392597,4.0253,0.0267,2.48
105,107415,1.385524,3.9969,0.0263,2.48
106,108438,1.383097,3.9872,0.0261,2.51
107,109461,1.385544,3.9970,0.0261,2.49
108,110484,1.384987,3.9948,0.0260,2.52
109,111507,1.386785,4.0020,0.0259,2.51
110,112530,1.386978,4.0027,0.0258,2.49
111,113553,1.387387,4.0044,0.0256,2.50
112,114576,1.385968,3.9987,0.0255,2.49
113,115599,1.385264,3.9959,0.0254,2.49
114,116622,1.391973,4.0228,0.0255,2.53
115,117645,1.395094,4.0354,0.0255,2.52
116,118668,1.399321,4.0524,0.0255,2.49
117,119691,1.403064,4.0676,0.0256,2.50
118,120714,1.404312,4.0727,0.0255,2.52
119,121737,1.401796,4.0625,0.0253,2.52
120,122760,1.404224,4.0724,0.0253,2.53
121,123783,1.406920,4.0834,0.0253,2.51
122,124806,1.408672,4.0905,0.0252,2.50
123,125829,1.410019,4.0960,0.0252,2.50
124,126852,1.411184,4.1008,0.0251,2.52
125,127875,1.415587,4.1189,0.0252,2.53
126,128898,1.417428,4.1265,0.0252,2.54
127,129921,1.421082,4.1416,0.0252,2.53
128,130944,1.421539,4.1435,0.0251,2.47
129,131967,1.423125,4.1501,0.0251,2.50
130,132990,1.422106,4.1458,0.0249,2.52
131,134013,1.424874,4.1573,0.0249,2.53
132,135036,1.420968,4.1411,0.0247,2.53
133,136059,1.421532,4.1435,0.0246,2.52
134,137082,1.420438,4.1389,0.0245,2.51
135,138105,1.419203,4.1338,0.0244,2.54
136,139128,1.417412,4.1264,0.0242,2.51
137,140151,1.414535,4.1146,0.0241,2.51
138,141174,1.411878,4.1037,0.0239,2.53
139,142197,1.415246,4.1175,0.0239,2.51
140,143220,1.419715,4.1359,0.0240,2.50
141,144243,1.416145,4.1212,0.0238,2.52
142,145266,1.409419,4.0936,0.0235,2.49
143,146289,1.404292,4.0726,0.0233,2.51
144,147312,1.406029,4.0797,0.0232,2.53
145,148335,1.405617,4.0780,0.0231,2.52
