chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.369077,1.4464,0.0567,2.46
2,2046,0.324704,1.3836,0.0335,2.37
3,3069,0.389839,1.4767,0.0330,2.35
4,4092,0.679729,1.9733,0.0513,2.40
5,5115,0.771984,2.1641,0.0538,2.39
6,6138,0.728531,2.0720,0.0453,2.35
7,7161,0.674449,1.9630,0.0379,2.32
8,8184,0.725993,2.0668,0.0381,2.35
9,9207,0.803541,2.2334,0.0405,2.36
10,10230,0.887785,2.4297,0.0438,2.40
11,11253,0.945053,2.5730,0.0450,2.40
12,12276,1.030747,2.8032,0.0487,2.35
13,13299,1.010497,2.7470,0.0455,2.37
14,14322,1.056422,2.8761,0.0467,2.35
15,15345,1.087773,2.9677,0.0470,2.33
16,16368,1.144644,3.1413,0.0493,2.38
17,17391,1.186486,3.2756,0.0504,2.36
18,18414,1.214964,3.3702,0.0509,2.34
19,19437,1.227275,3.4119,0.0505,2.43
20,20460,1.190548,3.2889,0.0470,2.43
21,21483,1.161628,3.1951,0.0440,2.38
22,22506,1.138531,3.1222,0.0417,2.39
23,23529,1.117430,3.0570,0.0395,2.37
24,24552,1.102756,3.0125,0.0378,2.39
25,25575,1.094402,2.9874,0.0366,2.40
26,26598,1.083023,2.9536,0.0353,2.42
27,27621,1.131324,3.0998,0.0373,2.44
28,28644,1.164796,3.2053,0.0384,2.44
29,29667,1.179737,3.2535,0.0386,2.43
30,30690,1.187763,3.2797,0.0384,2.39
31,31713,1.193781,3.2995,0.0380,2.38
32,32736,1.190221,3.2878,0.0372,2.39
33,33759,1.196937,3.3100,0.0369,2.38
34,34782,1.208524,3.3485,0.0369,2.36
35,35805,1.220051,3.3874,0.0369,2.45
36,36828,1.233340,3.4327,0.0371,2.40
37,37851,1.230501,3.4229,0.0364,2.43
38,38874,1.231732,3.4272,0.0359,2.42
39,39897,1.231497,3.4264,0.0354,2.41
40,40920,1.229093,3.4181,0.0348,2.37
41,41943,1.232266,3.4290,0.0344,2.40
42,42966,1.243565,3.4680,0.0346,2.46
43,43989,1.273591,3.5737,0.0357,2.44
44,45012,1.300737,3.6720,0.0367,2.40
45,46035,1.288651,3.6279,0.0358,2.43
46,47058,1.279672,3.5955,0.0349,2.41
47,48081,1.288334,3.6267,0.0349,2.43
48,49104,1.299364,3.6670,0.0351,2.39
49,50127,1.313648,3.7197,0.0353,2.38
50,51150,1.315633,3.7271,0.0350,2.41
51,52173,1.330407,3.7826,0.0354,2.43
52,53196,1.329459,3.7790,0.0350,2.42
53,54219,1.333395,3.7939,0.0348,2.41
54,55242,1.337195,3.8083,0.0346,2.36
55,56265,1.335029,3.8001,0.0341,2.36
56,57288,1.336605,3.8061,0.0338,2.36
57,58311,1.333229,3.7933,0.0333,2.35
58,59334,1.333818,3.7955,0.0330,2.37
59,60357,1.329747,3.7801,0.0326,2.41
60,61380,1.334410,3.7978,0.0326,2.37
61,62403,1.340702,3.8217,0.0326,2.42
62,63426,1.349017,3.8536,0.0326,2.37
63,64449,1.359334,3.8936,0.0328,2.36
64,65472,1.370616,3.9378,0.0331,2.41
65,66495,1.366611,3.9220,0.0327,2.40
66,67518,1.374647,3.9537,0.0328,2.37
67,68541,1.376515,3.9611,0.0326,2.38
68,69564,1.375469,3.9569,0.0323,2.35
69,70587,1.377907,3.9666,0.0321,2.39
70,71610,1.380182,3.9756,0.0320,2.41
71,72633,1.376273,3.9601,0.0316,2.43
72,73656,1.378657,3.9696,0.0315,2.42
73,74679,1.386409,4.0005,0.0316,2.39
74,75702,1.394002,4.0309,0.0317,2.40
75,76725,1.396184,4.0398,0.0316,2.41
76,77748,1.399793,4.0544,0.0315,2.40
77,78771,1.403199,4.0682,0.0314,2.39
78,79794,1.403212,4.0682,0.0311,2.37
79,80817,1.409790,4.0951,0.0312,2.42
80,81840,1.402806,4.0666,0.0308,2.42
81,82863,1.395746,4.0380,0.0303,2.39
82,83886,1.387300,4.0040,0.0298,2.37
83,84909,1.380608,3.9773,0.0293,2.37
84,85932,1.372326,3.9445,0.0288,2.37
85,86955,1.368566,3.9297,0.0285,2.43
86,87978,1.372456,3.9450,0.0285,2.41
87,89001,1.371126,3.9398,0.0282,2.38
88,90024,1.371991,3.9432,0.0281,2.40
89,91047,1.377137,3.9635,0.0281,2.42
90,92070,1.378668,3.9696,0.0280,2.41
91,93093,1.387280,4.0039,0.0282,2.41
92,94116,1.394482,4.0329,0.0283,2.38
93,95139,1.399806,4.0544,0.0283,2.40
94,96162,1.403073,4.0677,0.0283,2.39
95,97185,1.409897,4.0955,0.0284,2.39
96,98208,1.418887,4.1325,0.0286,2.40
97,99231,1.427225,4.1671,0.0288,2.40
98,100254,1.426381,4.1636,0.0286,2.41
99,101277,1.429871,4.1782,0.0286,2.41
100,102300,1.432048,4.1873,0.0285,2.43
101,103323,1.423550,4.1518,0.0281,2.43
102,104346,1.416804,4.1239,0.0277,2.38
103,105369,1.409224,4.0928,0.0273,2.42
104,106392,1.406248,4.0806,0.0271,2.38
105,107415,1.399245,4.0521,0.0267,2.37
106,108438,1.397082,4.0434,0.0265,2.40
107,109461,1.399732,4.0541,0.0265,2.39
108,110484,1.399114,4.0516,0.0263,2.42
109,111507,1.400922,4.0589,0.0263,2.42
110,112530,1.401248,4.0603,0.0262,2.40
111,113553,1.401733,4.0622,0.0260,2.40
112,114576,1.400418,4.0569,0.0259,2.40
113,115599,1.399670,4.0539,0.0257,2.40
114,116622,1.406337,4.0810,0.0259,2.45
115,117645,1.409506,4.0939,0.0259,2.44
116,118668,1.413687,4.1111,0.0259,2.43
117,119691,1.417606,4.1272,0.0260,2.44
118,120714,1.418975,4.1329,0.0259,2.47
119,121737,1.416515,4.1227,0.0257,2.47
