chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.370538,1.4485,0.0570,2.47
2,2046,0.325264,1.3844,0.0335,2.38
3,3069,0.388750,1.4751,0.0328,2.37
4,4092,0.676371,1.9667,0.0507,2.41
5,5115,0.767928,2.1553,0.0532,2.40
6,6138,0.724575,2.0639,0.0448,2.36
7,7161,0.670893,1.9560,0.0374,2.33
8,8184,0.722603,2.0598,0.0377,2.34
9,9207,0.799601,2.2247,0.0401,2.36
10,10230,0.882929,2.4180,0.0434,2.40
11,11253,0.939614,2.5590,0.0444,2.41
12,12276,1.025652,2.7889,0.0483,2.36
13,13299,1.005574,2.7335,0.0451,2.39
14,14322,1.051431,2.8617,0.0462,2.36
15,15345,1.083028,2.9536,0.0465,2.35
16,16368,1.139303,3.1246,0.0488,2.38
17,17391,1.181273,3.2585,0.0500,2.36
18,18414,1.209756,3.3527,0.0504,2.36
19,19437,1.221927,3.3937,0.0500,2.43
20,20460,1.185440,3.2721,0.0466,2.44
21,21483,1.156714,3.1795,0.0437,2.40
22,22506,1.133619,3.1069,0.0413,2.38
23,23529,1.112470,3.0419,0.0392,2.37
24,24552,1.097821,2.9976,0.0375,2.38
25,25575,1.089307,2.9722,0.0362,2.39
26,26598,1.078049,2.9389,0.0350,2.42
27,27621,1.125953,3.0832,0.0369,2.43
28,28644,1.159025,3.1868,0.0381,2.43
29,29667,1.173959,3.2348,0.0382,2.44
30,30690,1.181823,3.2603,0.0380,2.38
31,31713,1.187754,3.2797,0.0376,2.37
32,32736,1.184169,3.2680,0.0369,2.39
33,33759,1.190699,3.2894,0.0365,2.37
34,34782,1.202348,3.3279,0.0365,2.34
35,35805,1.213803,3.3663,0.0365,2.44
36,36828,1.227271,3.4119,0.0367,2.39
37,37851,1.224423,3.4022,0.0360,2.42
38,38874,1.225836,3.4070,0.0355,2.43
39,39897,1.225582,3.4061,0.0350,2.39
40,40920,1.223213,3.3981,0.0344,2.37
41,41943,1.226269,3.4085,0.0341,2.39
42,42966,1.237772,3.4479,0.0342,2.45
43,43989,1.267460,3.5518,0.0354,2.43
44,45012,1.294442,3.6490,0.0363,2.41
45,46035,1.282328,3.6050,0.0354,2.43
46,47058,1.273292,3.5726,0.0346,2.41
47,48081,1.282090,3.6042,0.0346,2.43
48,49104,1.292988,3.6437,0.0347,2.41
49,50127,1.307282,3.6961,0.0349,2.40
50,51150,1.309246,3.7034,0.0346,2.42
51,52173,1.323778,3.7576,0.0350,2.44
52,53196,1.322702,3.7536,0.0346,2.42
53,54219,1.326707,3.7686,0.0344,2.43
54,55242,1.330651,3.7835,0.0342,2.39
55,56265,1.328326,3.7747,0.0337,2.36
56,57288,1.329889,3.7806,0.0334,2.37
57,58311,1.326444,3.7676,0.0330,2.36
58,59334,1.326873,3.7692,0.0326,2.36
59,60357,1.322923,3.7544,0.0323,2.42
60,61380,1.327726,3.7725,0.0322,2.39
61,62403,1.334015,3.7963,0.0322,2.43
62,63426,1.342292,3.8278,0.0323,2.39
63,64449,1.352515,3.8671,0.0325,2.39
64,65472,1.363719,3.9107,0.0328,2.42
65,66495,1.359717,3.8951,0.0323,2.42
66,67518,1.367865,3.9270,0.0324,2.39
67,68541,1.369754,3.9344,0.0322,2.40
68,69564,1.368725,3.9303,0.0319,2.39
69,70587,1.371189,3.9400,0.0318,2.41
70,71610,1.373507,3.9492,0.0316,2.42
71,72633,1.369568,3.9337,0.0313,2.43
72,73656,1.372009,3.9433,0.0312,2.43
73,74679,1.379659,3.9735,0.0313,2.41
74,75702,1.387223,4.0037,0.0313,2.43
75,76725,1.389429,4.0126,0.0312,2.42
76,77748,1.392991,4.0269,0.0311,2.41
77,78771,1.396361,4.0405,0.0310,2.41
78,79794,1.396449,4.0408,0.0308,2.38
79,80817,1.402945,4.0672,0.0309,2.44
80,81840,1.396019,4.0391,0.0304,2.45
81,82863,1.389034,4.0110,0.0299,2.40
82,83886,1.380621,3.9774,0.0294,2.39
83,84909,1.373944,3.9509,0.0290,2.39
84,85932,1.365622,3.9182,0.0285,2.39
85,86955,1.361924,3.9037,0.0282,2.45
86,87978,1.365867,3.9191,0.0282,2.43
87,89001,1.364608,3.9142,0.0279,2.39
88,90024,1.365563,3.9179,0.0278,2.43
89,91047,1.370738,3.9383,0.0278,2.46
90,92070,1.372270,3.9443,0.0277,2.45
91,93093,1.380873,3.9784,0.0279,2.45
92,94116,1.388087,4.0072,0.0280,2.42
93,95139,1.393459,4.0288,0.0281,2.46
94,96162,1.396756,4.0421,0.0280,2.45
95,97185,1.403524,4.0695,0.0281,2.45
96,98208,1.412486,4.1062,0.0283,2.46
97,99231,1.420901,4.1408,0.0285,2.47
98,100254,1.420015,4.1372,0.0283,2.48
99,101277,1.423504,4.1516,0.0283,2.47
100,102300,1.425704,4.1608,0.0282,2.48
101,103323,1.417229,4.1257,0.0278,2.50
102,104346,1.410443,4.0978,0.0274,2.46
103,105369,1.402932,4.0671,0.0270,2.48
104,106392,1.399954,4.0550,0.0268,2.45
105,107415,1.393036,4.0271,0.0264,2.46
106,108438,1.390969,4.0187,0.0262,2.49
107,109461,1.393657,4.0296,0.0262,2.47
108,110484,1.393093,4.0273,0.0261,2.51
109,111507,1.394928,4.0347,0.0260,2.50
110,112530,1.395268,4.0361,0.0259,2.50
111,113553,1.395702,4.0378,0.0258,2.49
112,114576,1.394375,4.0325,0.0256,2.49
113,115599,1.393631,4.0295,0.0255,2.48
114,116622,1.400295,4.0564,0.0256,2.50
115,117645,1.403446,4.0692,0.0256,2.50
116,118668,1.407548,4.0859,0.0257,2.49
117,119691,1.411351,4.1015,0.0257,2.48
118,120714,1.412664,4.1069,0.0256,2.51
119,121737,1.410178,4.0967,0.0254,2.51
120,122760,1.412729,4.1071,0.0254,2.52
121,123783,1.415309,4.1178,0.0254,2.51
122,124806,1.417068,4.1250,0.0254,2.50
123,125829,1.418446,4.1307,0.0253,2.48
124,126852,1.419549,4.1353,0.0253,2.51
125,127875,1.423962,4.1535,0.0253,2.52
126,128898,1.425629,4.1605,0.0253,2.53
127,129921,1.429197,4.1753,0.0253,2.52
128,130944,1.429595,4.1770,0.0252,2.48
129,131967,1.430959,4.1827,0.0252,2.49
130,132990,1.430143,4.1793,0.0250,2.50
131,134013,1.432867,4.1907,0.0251,2.53
132,135036,1.429272,4.1757,0.0248,2.53
133,136059,1.429840,4.1780,0.0248,2.50
134,137082,1.428641,4.1730,0.0246,2.51
135,138105,1.427300,4.1674,0.0245,2.51
136,139128,1.425343,4.1593,0.0243,2.51
137,140151,1.422569,4.1478,0.0242,2.49
138,141174,1.420018,4.1372,0.0240,2.52
139,142197,1.423350,4.1510,0.0240,2.50
140,143220,1.427805,4.1695,0.0241,2.48
141,144243,1.424334,4.1551,0.0239,2.50
142,145266,1.417821,4.1281,0.0236,2.47
143,146289,1.412883,4.1078,0.0234,2.50
144,147312,1.414652,4.1151,0.0233,2.50
145,148335,1.414289,4.1136,0.0233,2.50
