chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.360472,1.4340,0.0574,2.48
2,2046,0.317260,1.3734,0.0339,2.38
3,3069,0.376057,1.4565,0.0325,2.37
4,4092,0.664839,1.9442,0.0503,2.44
5,5115,0.757753,2.1335,0.0531,2.42
6,6138,0.716119,2.0465,0.0449,2.39
7,7161,0.662095,1.9388,0.0375,2.34
8,8184,0.713217,2.0405,0.0376,2.34
9,9207,0.788996,2.2012,0.0398,2.38
10,10230,0.871196,2.3898,0.0429,2.44
11,11253,0.928869,2.5316,0.0440,2.42
12,12276,1.016134,2.7625,0.0479,2.38
13,13299,0.995417,2.7059,0.0447,2.40
14,14322,1.042613,2.8366,0.0459,2.37
15,15345,1.074059,2.9272,0.0462,2.37
16,16368,1.130175,3.0962,0.0484,2.40
17,17391,1.172325,3.2295,0.0497,2.38
18,18414,1.200679,3.3224,0.0501,2.38
19,19437,1.212960,3.3634,0.0497,2.45
20,20460,1.176558,3.2432,0.0463,2.46
21,21483,1.147430,3.1501,0.0433,2.43
22,22506,1.123867,3.0767,0.0410,2.42
23,23529,1.102962,3.0131,0.0389,2.39
24,24552,1.087797,2.9677,0.0372,2.42
25,25575,1.079385,2.9429,0.0360,2.42
26,26598,1.068073,2.9098,0.0347,2.44
27,27621,1.116119,3.0530,0.0366,2.45
28,28644,1.149384,3.1562,0.0378,2.45
29,29667,1.164405,3.2040,0.0380,2.46
30,30690,1.172427,3.2298,0.0377,2.41
31,31713,1.179020,3.2512,0.0374,2.40
32,32736,1.175826,3.2408,0.0366,2.41
33,33759,1.182496,3.2625,0.0363,2.40
34,34782,1.193638,3.2991,0.0363,2.38
35,35805,1.204873,3.3363,0.0363,2.48
36,36828,1.218424,3.3819,0.0365,2.44
37,37851,1.215655,3.3725,0.0358,2.46
38,38874,1.216458,3.3752,0.0352,2.45
39,39897,1.216441,3.3752,0.0348,2.42
40,40920,1.213989,3.3669,0.0341,2.40
41,41943,1.217298,3.3780,0.0338,2.43
42,42966,1.228990,3.4178,0.0340,2.48
43,43989,1.259340,3.5231,0.0351,2.46
44,45012,1.286635,3.6206,0.0361,2.42
45,46035,1.275089,3.5790,0.0352,2.46
46,47058,1.266559,3.5486,0.0344,2.45
47,48081,1.275465,3.5804,0.0344,2.46
48,49104,1.286377,3.6196,0.0345,2.43
49,50127,1.300629,3.6716,0.0348,2.42
50,51150,1.302633,3.6790,0.0345,2.46
51,52173,1.317496,3.7341,0.0349,2.47
52,53196,1.316220,3.7293,0.0344,2.44
53,54219,1.320401,3.7449,0.0342,2.45
54,55242,1.324576,3.7606,0.0341,2.40
55,56265,1.322189,3.7516,0.0336,2.39
56,57288,1.323834,3.7578,0.0333,2.39
57,58311,1.320266,3.7444,0.0328,2.38
58,59334,1.320447,3.7451,0.0325,2.39
59,60357,1.316306,3.7296,0.0321,2.44
60,61380,1.321294,3.7483,0.0321,2.42
61,62403,1.327572,3.7719,0.0321,2.45
62,63426,1.335827,3.8031,0.0321,2.41
63,64449,1.346280,3.8431,0.0323,2.41
64,65472,1.357783,3.8876,0.0326,2.44
65,66495,1.353811,3.8722,0.0322,2.44
66,67518,1.361874,3.9035,0.0323,2.38
67,68541,1.363892,3.9114,0.0321,2.42
68,69564,1.363129,3.9084,0.0318,2.39
69,70587,1.365675,3.9184,0.0316,2.45
70,71610,1.368271,3.9286,0.0315,2.47
71,72633,1.364397,3.9134,0.0312,2.48
72,73656,1.366874,3.9231,0.0311,2.48
73,74679,1.374634,3.9536,0.0312,2.46
74,75702,1.382149,3.9835,0.0313,2.48
75,76725,1.384521,3.9929,0.0311,2.48
76,77748,1.387938,4.0066,0.0311,2.48
77,78771,1.391503,4.0209,0.0310,2.47
78,79794,1.391612,4.0213,0.0307,2.44
79,80817,1.397997,4.0471,0.0308,2.51
80,81840,1.391087,4.0192,0.0303,2.52
81,82863,1.384201,3.9916,0.0299,2.48
82,83886,1.375799,3.9582,0.0294,2.47
83,84909,1.369362,3.9328,0.0289,2.47
84,85932,1.361175,3.9008,0.0284,2.47
85,86955,1.357620,3.8869,0.0281,2.53
86,87978,1.361479,3.9020,0.0281,2.51
