tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,14.334,0.7,183.2,183.6
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.896,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.377,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.416,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,272.159,13.1,3852.8,67.7
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,104.966,5.0,4994.8,117.1
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,15.591,0.7,420.3,118.2
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,9.675,0.5,338.7,127.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.930,0.1,0.0,41.9
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,428.344,20.6,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,14.552,0.7,180.5,180.8
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.923,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.377,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.541,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.444,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,290.313,13.9,7223.8,63.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,91.951,4.4,11403.6,133.6
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,18.159,0.9,360.9,101.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,11.982,0.6,273.5,102.6
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.837,0.1,0.0,43.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,441.079,21.2,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,16.275,0.8,161.4,161.7
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,1.061,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.392,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.682,0.1,0.0,0.0
