chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.348857,1.4174,0.0559,2.47
2,2046,0.316337,1.3721,0.0337,2.37
3,3069,0.375576,1.4558,0.0324,2.36
4,4092,0.664717,1.9439,0.0502,2.41
5,5115,0.758264,2.1346,0.0531,2.40
6,6138,0.714679,2.0435,0.0446,2.35
7,7161,0.662296,1.9392,0.0374,2.34
8,8184,0.714522,2.0432,0.0376,2.34
9,9207,0.791246,2.2061,0.0400,2.35
10,10230,0.874066,2.3966,0.0431,2.39
11,11253,0.932563,2.5410,0.0444,2.40
12,12276,1.019590,2.7721,0.0482,2.32
13,13299,0.998861,2.7152,0.0450,2.36
14,14322,1.045105,2.8437,0.0461,2.32
15,15345,1.076179,2.9334,0.0464,2.32
16,16368,1.132214,3.1025,0.0487,2.34
17,17391,1.174662,3.2370,0.0499,2.32
18,18414,1.203401,3.3314,0.0504,2.32
19,19437,1.215785,3.3729,0.0499,2.39
20,20460,1.179227,3.2519,0.0465,2.39
21,21483,1.150134,3.1586,0.0435,2.34
22,22506,1.126651,3.0853,0.0412,2.34
23,23529,1.105494,3.0207,0.0391,2.31
24,24552,1.090205,2.9749,0.0374,2.35
25,25575,1.081963,2.9505,0.0362,2.35
26,26598,1.070950,2.9181,0.0349,2.38
27,27621,1.118667,3.0608,0.0368,2.41
28,28644,1.151652,3.1634,0.0379,2.43
29,29667,1.166770,3.2116,0.0381,2.42
30,30690,1.174764,3.2374,0.0378,2.37
31,31713,1.181216,3.2583,0.0376,2.38
32,32736,1.177801,3.2472,0.0368,2.40
33,33759,1.184270,3.2683,0.0365,2.38
34,34782,1.195388,3.3048,0.0364,2.35
35,35805,1.206654,3.3423,0.0364,2.45
36,36828,1.220234,3.3880,0.0366,2.41
37,37851,1.217563,3.3789,0.0359,2.44
38,38874,1.218256,3.3813,0.0354,2.44
39,39897,1.218149,3.3809,0.0349,2.42
40,40920,1.215694,3.3726,0.0342,2.38
41,41943,1.218957,3.3837,0.0339,2.41
42,42966,1.230434,3.4227,0.0341,2.47
43,43989,1.260585,3.5275,0.0352,2.44
44,45012,1.287703,3.6245,0.0362,2.39
45,46035,1.276060,3.5825,0.0353,2.44
46,47058,1.267279,3.5512,0.0345,2.43
47,48081,1.276249,3.5832,0.0345,2.44
48,49104,1.287064,3.6221,0.0346,2.40
49,50127,1.301378,3.6744,0.0348,2.40
50,51150,1.303463,3.6820,0.0345,2.43
51,52173,1.318088,3.7363,0.0349,2.45
52,53196,1.316911,3.7319,0.0345,2.43
53,54219,1.321062,3.7474,0.0343,2.43
54,55242,1.325250,3.7631,0.0341,2.39
55,56265,1.322824,3.7540,0.0336,2.38
56,57288,1.324378,3.7598,0.0333,2.41
57,58311,1.320780,3.7463,0.0329,2.37
58,59334,1.321155,3.7477,0.0325,2.38
59,60357,1.317011,3.7322,0.0321,2.42
60,61380,1.322057,3.7511,0.0321,2.40
61,62403,1.328167,3.7741,0.0321,2.44
62,63426,1.336440,3.8055,0.0322,2.40
63,64449,1.346637,3.8445,0.0323,2.39
64,65472,1.358269,3.8895,0.0327,2.43
65,66495,1.354413,3.8745,0.0322,2.43
66,67518,1.362524,3.9060,0.0323,2.38
67,68541,1.364530,3.9139,0.0321,2.40
68,69564,1.363771,3.9109,0.0318,2.38
69,70587,1.366354,3.9210,0.0317,2.41
70,71610,1.369075,3.9317,0.0316,2.43
71,72633,1.365319,3.9170,0.0312,2.44
72,73656,1.367941,3.9273,0.0311,2.44
73,74679,1.375596,3.9574,0.0312,2.40
74,75702,1.383237,3.9878,0.0313,2.41
75,76725,1.385646,3.9974,0.0312,2.42
76,77748,1.389012,4.0109,0.0311,2.42
77,78771,1.392620,4.0254,0.0310,2.40
