tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,14.431,0.7,182.0,182.4
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.886,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.349,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.391,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,254.432,12.2,4121.2,72.4
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,93.554,4.5,5604.1,98.5
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,23.601,1.1,277.7,147.5
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,11.205,0.5,292.4,155.4
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.792,0.1,0.0,44.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,408.641,19.6,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,14.276,0.7,184.0,184.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.856,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.352,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.516,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.441,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,297.329,14.3,7053.3,62.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,104.675,5.0,10017.4,88.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,24.679,1.2,265.6,141.1
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.636,0.8,209.6,111.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.762,0.1,0.0,44.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,470.522,22.6,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,15.413,0.7,170.4,170.7
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.868,0.0,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.337,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.679,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.469,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,up,470.971,22.6,8905.7,39.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,down,108.966,5.2,19245.9,84.6
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,44.754,2.1,146.4,77.8
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.796,1.0,150.3,79.9
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,combine,2.777,0.1,0.0,44.2
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,block,676.030,32.4,,
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router,14.171,0.7,185.3,185.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.873,0.0,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,route,5.337,0.3,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.514,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.436,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,up,280.873,13.5,7466.5,65.6
