tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,14.434,0.7,182.0,182.3
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.928,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.392,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.421,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,254.468,12.2,4120.7,72.4
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,89.552,4.3,5854.6,114.3
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,24.100,1.2,271.9,144.5
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,11.298,0.5,290.0,154.1
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.842,0.1,0.0,43.2
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,405.435,19.5,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,14.301,0.7,183.7,184.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.928,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.344,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.516,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.431,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,296.279,14.2,7078.3,62.2
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,102.098,4.9,10270.3,100.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,24.859,1.2,263.6,140.1
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.481,0.7,211.7,112.4
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.815,0.1,0.0,43.7
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,467.052,22.4,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,15.521,0.7,169.2,169.6
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.931,0.0,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.387,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.672,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.489,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,up,470.819,22.6,8908.5,39.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,down,107.163,5.1,19569.7,95.6
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,44.764,2.1,146.4,77.8
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.923,1.1,149.5,79.4
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,combine,2.917,0.1,0.0,42.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,block,674.586,32.4,,
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router,14.291,0.7,183.8,184.1
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.913,0.0,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,route,5.324,0.3,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.516,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.429,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,up,280.392,13.5,7479.4,65.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,down,101.710,4.9,10309.5,100.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,25.255,1.2,259.5,137.9
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.604,0.7,210.0,111.6
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,combine,2.790,0.1,0.0,44.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,block,451.224,21.7,,
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router,15.306,0.7,171.6,171.9
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.913,0.0,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,route,5.329,0.3,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.674,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.471,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,up,473.323,22.7,8861.4,38.9
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,down,119.824,5.8,17501.9,85.5
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,43.875,2.1,149.4,79.4
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.605,1.0,151.7,80.6
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,combine,2.797,0.1,0.0,43.9
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,block,688.117,33.0,,
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router,14.259,0.7,184.2,184.6
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.906,0.0,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.337,0.3,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.449,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,2.476,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,up,291.575,14.0,7192.5,63.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,down,84.452,4.1,12416.2,121.3
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,25.044,1.2,261.7,139.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,15.416,0.7,212.6,112.9
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.805,0.1,0.0,43.8
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,block,444.719,21.3,,
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router,14.344,0.7,183.1,183.5
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.933,0.0,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.327,0.3,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.441,0.1,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,up,289.497,13.9,7244.1,63.7
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,down,89.877,4.3,11666.8,113.9
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,26.675,1.3,245.7,130.5
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,17.021,0.8,192.5,102.3
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,combine,2.862,0.1,0.0,42.9
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,block,448.977,21.6,,
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router,15.461,0.7,169.9,170.2
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.926,0.0,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,route,5.334,0.3,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.559,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.474,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,up,492.725,23.7,8512.5,37.4
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,down,106.987,5.1,19601.9,95.7
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,44.807,2.2,146.3,77.7
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,21.655,1.0,151.3,80.4
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,combine,2.797,0.1,0.0,43.9
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,block,695.725,33.4,,
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router,14.371,0.7,182.8,183.1
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.923,0.0,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,route,5.342,0.3,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.439,0.1,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,up,290.363,13.9,7222.5,63.5
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,down,101.462,4.9,10334.7,100.9
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.977,1.2,262.4,139.4
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.594,0.7,210.1,111.6
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,combine,2.862,0.1,0.0,42.9
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,block,458.333,22.0,,
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router,15.486,0.7,169.6,169.9
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.931,0.0,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,route,5.387,0.3,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.591,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.499,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,up,494.231,23.7,8486.5,37.3
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,down,120.235,5.8,17442.1,85.2
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,44.333,2.1,147.8,78.5
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,21.853,1.0,149.9,79.7
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,combine,2.815,0.1,0.0,43.7
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,block,710.361,34.1,,
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router,15.173,0.7,173.1,173.4
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router.sum,0.916,0.0,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,route,5.339,0.3,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.up,2.501,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.down,2.662,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,up,391.668,18.8,10708.8,47.1
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,down,116.623,5.6,17982.3,87.8
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.up,43.722,2.1,149.9,79.6
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.down,21.640,1.0,151.4,80.4
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,combine,2.800,0.1,0.0,43.9
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,block,603.044,28.9,,
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router,15.358,0.7,171.0,171.4
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router.sum,0.916,0.0,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,route,5.332,0.3,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,perm.up,2.514,0.1,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,perm.down,2.541,0.1,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,up,387.014,18.6,10837.6,47.6
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,down,110.752,5.3,18935.6,92.5
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,shexp.up,44.073,2.1,148.7,79.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,shexp.down,21.613,1.0,151.6,80.5
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,combine,2.897,0.1,0.0,42.4
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,block,593.010,28.5,,
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,router,15.433,0.7,170.2,170.5
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,router.sum,0.933,0.0,0.0,0.0
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,route,5.347,0.3,0.0,0.0
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,perm.up,2.514,0.1,0.0,0.0
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,up,387.788,18.6,10816.0,47.5
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,down,107.190,5.1,19564.8,95.5
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,shexp.up,45.107,2.2,145.3,77.2
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,shexp.down,21.818,1.0,150.2,79.8
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,combine,2.787,0.1,0.0,44.1
1,m4,m4/k40,v64w4/v32w4,10,10,640,10,640,block,588.917,28.3,,
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,router,15.253,0.7,172.2,172.5
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,router.sum,0.931,0.0,0.0,0.0
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,route,5.332,0.3,0.0,0.0
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,perm.up,2.491,0.1,0.0,0.0
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,perm.down,2.541,0.1,0.0,0.0
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,up,386.614,18.6,10848.8,47.7
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,down,126.332,6.1,16600.3,81.1
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,shexp.up,44.554,2.1,147.1,78.1
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,shexp.down,21.863,1.0,149.9,79.6
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,combine,2.815,0.1,0.0,43.7
1,m4,w2m1/k40,v64w4/v32w4,10,10,640,20,640,block,608.726,29.2,,
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,router,15.343,0.7,171.2,171.5
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,router.sum,0.931,0.0,0.0,0.0
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,route,5.344,0.3,0.0,0.0
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,perm.up,2.499,0.1,0.0,0.0
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,up,387.325,18.6,10828.9,47.6
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,down,120.538,5.8,17398.3,85.0
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,shexp.up,44.075,2.1,148.7,79.0
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,shexp.down,21.933,1.1,149.4,79.4
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,combine,2.877,0.1,0.0,42.7
1,m4,w4m1/k40,v64w4/v32w4,10,10,640,10,640,block,600.865,28.8,,
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,router,14.336,0.7,183.2,183.6
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.921,0.0,0.0,0.0
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.354,0.3,0.0,0.0
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.456,0.1,0.0,0.0
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,2.491,0.1,0.0,0.0
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,up,285.474,13.7,7346.2,64.6
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,down,85.537,4.1,12258.7,119.7
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,26.299,1.3,249.2,132.4
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,16.814,0.8,194.9,103.5
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.830,0.1,0.0,43.4
1,w2m1,m1/k40,v64w4/v32w4,10,10,320,20,320,block,442.512,21.2,,
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,router,14.349,0.7,183.0,183.4
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.921,0.0,0.0,0.0
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.347,0.3,0.0,0.0
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.439,0.1,0.0,0.0
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,up,285.907,13.7,7335.1,64.5
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,down,89.674,4.3,11693.2,114.2
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.666,1.2,265.7,141.1
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.396,0.7,212.8,113.1
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,combine,2.795,0.1,0.0,44.0
1,w2m1,m2/k40,v64w4/v32w4,10,10,320,10,320,block,441.494,21.2,,
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,router,15.639,0.8,167.9,168.3
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.923,0.0,0.0,0.0
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,route,5.387,0.3,0.0,0.0
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.559,0.1,0.0,0.0
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.484,0.1,0.0,0.0
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,up,550.580,26.4,7618.0,33.5
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,down,106.867,5.1,19623.9,95.8
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,44.902,2.2,146.0,77.5
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,22.083,1.1,148.4,78.8
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,combine,2.867,0.1,0.0,42.9
1,w2m1,m4/k40,v64w4/v32w4,10,20,640,10,640,block,754.291,36.2,,
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router,14.474,0.7,181.5,181.8
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.911,0.0,0.0,0.0
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,route,5.337,0.3,0.0,0.0
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.456,0.1,0.0,0.0
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,up,285.992,13.7,7332.9,64.4
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,down,102.015,4.9,10278.6,100.4
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.996,1.2,262.2,139.3
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.453,0.7,212.0,112.7
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,combine,2.810,0.1,0.0,43.7
1,w2m1,w2m1/k40,v64w4/v32w4,10,10,320,10,320,block,454.444,21.8,,
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router,15.476,0.7,169.7,170.0
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.918,0.0,0.0,0.0
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,route,5.342,0.3,0.0,0.0
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.559,0.1,0.0,0.0
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.474,0.1,0.0,0.0
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,up,555.797,26.7,7546.5,33.2
1,w2m1,w4m1/k40,v64w4/v32w4,10,20,640,10,640,down,119.536,5.7,17544.1,85.7
