chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.355659,1.4271,0.0555,2.49
2,2046,0.324656,1.3836,0.0342,2.38
3,3069,0.386419,1.4717,0.0331,2.37
4,4092,0.669781,1.9538,0.0505,2.41
5,5115,0.761970,2.1425,0.0533,2.40
6,6138,0.719288,2.0530,0.0450,2.35
7,7161,0.666457,1.9473,0.0377,2.33
8,8184,0.718211,2.0508,0.0379,2.33
9,9207,0.794501,2.2133,0.0401,2.35
10,10230,0.876685,2.4029,0.0432,2.38
11,11253,0.933447,2.5433,0.0443,2.39
12,12276,1.019720,2.7724,0.0481,2.33
13,13299,0.998351,2.7138,0.0448,2.37
14,14322,1.045088,2.8436,0.0460,2.33
15,15345,1.076902,2.9356,0.0464,2.33
16,16368,1.132294,3.1028,0.0486,2.35
17,17391,1.174291,3.2358,0.0498,2.34
18,18414,1.203545,3.3319,0.0503,2.34
19,19437,1.216129,3.3741,0.0499,2.41
20,20460,1.179650,3.2532,0.0465,2.41
21,21483,1.150250,3.1590,0.0435,2.37
22,22506,1.127089,3.0867,0.0412,2.37
23,23529,1.106393,3.0234,0.0391,2.37
24,24552,1.091187,2.9778,0.0373,2.39
25,25575,1.082985,2.9535,0.0362,2.41
26,26598,1.071935,2.9210,0.0349,2.44
27,27621,1.119941,3.0647,0.0368,2.46
28,28644,1.153461,3.1691,0.0380,2.47
29,29667,1.168459,3.2170,0.0382,2.47
30,30690,1.176414,3.2427,0.0379,2.41
31,31713,1.182726,3.2633,0.0376,2.39
32,32736,1.179492,3.2527,0.0368,2.44
33,33759,1.186099,3.2743,0.0365,2.43
34,34782,1.197198,3.3108,0.0364,2.40
35,35805,1.208362,3.3480,0.0364,2.51
36,36828,1.221898,3.3936,0.0366,2.46
37,37851,1.219138,3.3843,0.0359,2.50
38,38874,1.219784,3.3865,0.0354,2.49
39,39897,1.219500,3.3855,0.0349,2.46
40,40920,1.217029,3.3771,0.0343,2.41
41,41943,1.220228,3.3880,0.0339,2.48
42,42966,1.231851,3.4276,0.0341,2.53
43,43989,1.261855,3.5320,0.0352,2.50
44,45012,1.289019,3.6292,0.0362,2.45
45,46035,1.277215,3.5866,0.0353,2.50
46,47058,1.268348,3.5550,0.0345,2.48
47,48081,1.277356,3.5871,0.0345,2.50
48,49104,1.288271,3.6265,0.0346,2.53
49,50127,1.302538,3.6786,0.0349,2.49
50,51150,1.304814,3.6870,0.0346,2.55
51,52173,1.319594,3.7419,0.0350,2.53
52,53196,1.318408,3.7375,0.0345,2.47
53,54219,1.322473,3.7527,0.0344,2.48
54,55242,1.326674,3.7685,0.0342,2.43
55,56265,1.324345,3.7597,0.0337,2.43
56,57288,1.325814,3.7652,0.0334,2.43
57,58311,1.322192,3.7516,0.0329,2.42
58,59334,1.322579,3.7531,0.0326,2.42
59,60357,1.318471,3.7377,0.0322,2.47
