chunk,tokens,nll,ppl,stderr,seconds
1,1023,0.361363,1.4353,0.0572,2.49
2,2046,0.325203,1.3843,0.0339,2.36
3,3069,0.392437,1.4806,0.0338,2.37
4,4092,0.679686,1.9733,0.0518,2.40
5,5115,0.770470,2.1608,0.0543,2.39
6,6138,0.725360,2.0655,0.0456,2.38
7,7161,0.672305,1.9587,0.0382,2.33
8,8184,0.724860,2.0644,0.0384,2.37
9,9207,0.800621,2.2269,0.0407,2.35
10,10230,0.882830,2.4177,0.0438,2.39
11,11253,0.939950,2.5599,0.0449,2.39
12,12276,1.026274,2.7906,0.0487,2.33
13,13299,1.003804,2.7286,0.0453,2.35
14,14322,1.049466,2.8561,0.0464,2.32
15,15345,1.080115,2.9450,0.0467,2.31
16,16368,1.135377,3.1123,0.0488,2.33
17,17391,1.177761,3.2471,0.0501,2.32
18,18414,1.206619,3.3422,0.0505,2.31
19,19437,1.218499,3.3821,0.0501,2.39
20,20460,1.182352,3.2620,0.0467,2.39
21,21483,1.152823,3.1671,0.0437,2.35
22,22506,1.129486,3.0941,0.0413,2.35
23,23529,1.108514,3.0299,0.0392,2.31
24,24552,1.093876,2.9858,0.0375,2.35
25,25575,1.085484,2.9609,0.0363,2.35
26,26598,1.074391,2.9282,0.0351,2.38
27,27621,1.122656,3.0730,0.0370,2.38
28,28644,1.155838,3.1767,0.0382,2.39
29,29667,1.170918,3.2250,0.0383,2.40
30,30690,1.178818,3.2505,0.0380,2.34
31,31713,1.184988,3.2706,0.0377,2.34
32,32736,1.181795,3.2602,0.0370,2.36
33,33759,1.188204,3.2812,0.0366,2.34
34,34782,1.199343,3.3179,0.0366,2.32
35,35805,1.210460,3.3550,0.0366,2.40
36,36828,1.223868,3.4003,0.0368,2.36
37,37851,1.220988,3.3905,0.0360,2.39
38,38874,1.221698,3.3929,0.0355,2.46
39,39897,1.221798,3.3933,0.0350,2.39
40,40920,1.219203,3.3845,0.0344,2.34
41,41943,1.222291,3.3950,0.0341,2.36
42,42966,1.233888,3.4346,0.0342,2.40
43,43989,1.263991,3.5395,0.0354,2.39
44,45012,1.291122,3.6369,0.0364,2.36
45,46035,1.279429,3.5946,0.0354,2.40
46,47058,1.270468,3.5625,0.0346,2.38
47,48081,1.279514,3.5949,0.0346,2.38
48,49104,1.290189,3.6335,0.0347,2.36
49,50127,1.304513,3.6859,0.0350,2.36
50,51150,1.306604,3.6936,0.0347,2.39
51,52173,1.321256,3.7481,0.0351,2.40
52,53196,1.320068,3.7437,0.0346,2.39
53,54219,1.324193,3.7592,0.0344,2.39
54,55242,1.328441,3.7752,0.0343,2.35
55,56265,1.326042,3.7661,0.0338,2.33
56,57288,1.327616,3.7720,0.0335,2.33
57,58311,1.323989,3.7584,0.0330,2.32
58,59334,1.324278,3.7595,0.0327,2.32
59,60357,1.320112,3.7438,0.0323,2.37
60,61380,1.325283,3.7633,0.0322,2.42
61,62403,1.331310,3.7860,0.0323,2.41
62,63426,1.339439,3.8169,0.0323,2.35
63,64449,1.349668,3.8561,0.0325,2.34
64,65472,1.361141,3.9006,0.0328,2.38
65,66495,1.356967,3.8844,0.0323,2.38
66,67518,1.365122,3.9162,0.0324,2.34
67,68541,1.367179,3.9243,0.0322,2.42
68,69564,1.366498,3.9216,0.0320,2.36
69,70587,1.368952,3.9312,0.0318,2.44
70,71610,1.371386,3.9408,0.0317,2.40
71,72633,1.367684,3.9262,0.0313,2.45
72,73656,1.370755,3.9383,0.0312,2.40
73,74679,1.378739,3.9699,0.0314,2.36
74,75702,1.386214,3.9997,0.0314,2.37
75,76725,1.388662,4.0095,0.0313,2.45
76,77748,1.392110,4.0233,0.0312,2.40
77,78771,1.395607,4.0374,0.0312,2.37
78,79794,1.395875,4.0385,0.0309,2.33
79,80817,1.402185,4.0641,0.0310,2.39
80,81840,1.395394,4.0366,0.0305,2.40
81,82863,1.388434,4.0086,0.0301,2.37
82,83886,1.379949,3.9747,0.0295,2.34
83,84909,1.373438,3.9489,0.0291,2.34
84,85932,1.365321,3.9170,0.0286,2.36
85,86955,1.361698,3.9028,0.0283,2.40
86,87978,1.365516,3.9177,0.0283,2.47
87,89001,1.364192,3.9126,0.0280,2.37
88,90024,1.365187,3.9165,0.0279,2.37
89,91047,1.370490,3.9373,0.0279,2.41
90,92070,1.372062,3.9435,0.0278,2.38
91,93093,1.380510,3.9769,0.0280,2.38
92,94116,1.387706,4.0057,0.0281,2.35
93,95139,1.393082,4.0272,0.0282,2.38
94,96162,1.396349,4.0404,0.0281,2.37
95,97185,1.403268,4.0685,0.0282,2.38
96,98208,1.411930,4.1039,0.0284,2.38
97,99231,1.420378,4.1387,0.0286,2.38
98,100254,1.419711,4.1359,0.0284,2.39
99,101277,1.423226,4.1505,0.0284,2.38
100,102300,1.425602,4.1604,0.0284,2.39
101,103323,1.417026,4.1248,0.0279,2.41
102,104346,1.410273,4.0971,0.0275,2.37
103,105369,1.402595,4.0657,0.0271,2.40
104,106392,1.399331,4.0525,0.0269,2.35
105,107415,1.392212,4.0237,0.0265,2.37
106,108438,1.389892,4.0144,0.0263,2.39
107,109461,1.392533,4.0250,0.0263,2.39
108,110484,1.391967,4.0228,0.0262,2.41
109,111507,1.393950,4.0307,0.0261,2.40
110,112530,1.394265,4.0320,0.0260,2.45
111,113553,1.394690,4.0337,0.0259,2.40
112,114576,1.393115,4.0274,0.0257,2.38
113,115599,1.392319,4.0242,0.0256,2.36
114,116622,1.399080,4.0515,0.0257,2.40
115,117645,1.402327,4.0646,0.0257,2.38
116,118668,1.406581,4.0820,0.0257,2.38
117,119691,1.410335,4.0973,0.0258,2.37
118,120714,1.411623,4.1026,0.0257,2.40
119,121737,1.409126,4.0924,0.0255,2.40
120,122760,1.411606,4.1025,0.0255,2.41
121,123783,1.414191,4.1132,0.0255,2.41
122,124806,1.415903,4.1202,0.0254,2.38
123,125829,1.417309,4.1260,0.0254,2.38
124,126852,1.418434,4.1306,0.0253,2.39
125,127875,1.422901,4.1491,0.0254,2.41
126,128898,1.424669,4.1565,0.0254,2.42
127,129921,1.428293,4.1716,0.0254,2.41
128,130944,1.428711,4.1733,0.0253,2.36
129,131967,1.430052,4.1789,0.0253,2.38
130,132990,1.429165,4.1752,0.0251,2.41
131,134013,1.431879,4.1866,0.0251,2.43
132,135036,1.428244,4.1714,0.0249,2.44
133,136059,1.429034,4.1747,0.0249,2.44
134,137082,1.427882,4.1699,0.0247,2.42
135,138105,1.426544,4.1643,0.0246,2.45
136,139128,1.424665,4.1565,0.0244,2.46
137,140151,1.421744,4.1443,0.0243,2.43
138,141174,1.419105,4.1334,0.0241,2.53
139,142197,1.422501,4.1475,0.0241,2.47
140,143220,1.427038,4.1663,0.0242,2.44
141,144243,1.423524,4.1517,0.0240,2.46
142,145266,1.416937,4.1245,0.0237,2.42
143,146289,1.411907,4.1038,0.0235,2.46
144,147312,1.413578,4.1106,0.0234,2.46
145,148335,1.413224,4.1092,0.0233,2.46
