tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv,152.632,1.8,468.0,468.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv.sum,1.305,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,pack,6.779,0.1,0.0,6.3
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,idx,3.642,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,score,8.068,0.1,65.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,attn,10.425,0.1,1.2,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out,51.367,0.6,612.4,612.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out.sum,1.218,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,layer,235.436,2.8,,
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,220.010,2.6,649.4,324.7
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.665,0.1,0.0,12.9
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.409,0.0,0.0,0.0
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.924,0.1,132.3,0.0
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,10.085,0.1,4.9,0.0
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,175.205,2.1,359.1,179.7
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,423.298,5.1,,
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,216.544,2.6,989.6,330.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.822,0.1,0.0,18.9
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.382,0.0,0.0,0.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.938,0.1,198.1,0.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,10.449,0.1,10.6,0.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,175.072,2.1,539.0,179.9
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,420.207,5.0,,
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,217.455,2.6,1314.0,328.6
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.732,0.1,0.0,25.6
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.522,0.0,0.0,0.0
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.817,0.1,268.3,0.0
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,10.389,0.1,18.9,0.0
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,176.077,2.1,714.6,178.9
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,421.992,5.1,,
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,216.971,2.6,1975.4,329.4
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.889,0.1,0.0,37.5
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.452,0.0,0.0,0.0
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.830,0.1,401.8,0.0
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,10.075,0.1,43.9,0.0
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,174.604,2.1,1081.0,180.6
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,419.821,5.0,,
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,217.055,2.6,2632.9,329.3
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.729,0.1,0.0,51.1
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.462,0.0,0.0,0.0
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.847,0.1,534.5,0.0
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,10.098,0.1,77.9,0.0
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,175.369,2.1,1435.0,179.9
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,420.560,5.0,,
