tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,178.309,6.4,473.2,473.2
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv.sum,1.377,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,conv,2.534,0.1,0.0,32.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,scan,27.147,1.0,231.8,262.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,norm,1.273,0.0,0.0,48.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out,48.742,1.8,645.4,645.6
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out.sum,1.253,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,hist,0.949,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,layer,261.584,9.4,,
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,232.731,8.4,725.1,362.6
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,2.649,0.1,0.0,61.8
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,30.031,1.1,419.0,265.1
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.360,0.0,0.0,90.4
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,163.184,5.9,385.5,192.9
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.062,0.0,0.0,0.0
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,431.017,15.5,,
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,232.193,8.4,1090.2,363.5
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,2.833,0.1,0.0,86.7
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,28.625,1.0,659.4,307.4
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.373,0.0,0.0,134.2
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,164.062,5.9,575.2,192.0
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.165,0.0,0.0,0.0
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,430.251,15.5,,
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,233.897,8.4,1443.0,360.8
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,3.110,0.1,0.0,105.4
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,29.171,1.1,862.7,330.3
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.383,0.0,0.0,177.7
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,163.067,5.9,771.6,193.2
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.150,0.0,0.0,0.0
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,431.778,15.5,,
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,231.113,8.3,2190.6,365.2
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,3.137,0.1,0.0,156.7
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,30.241,1.1,1248.3,373.8
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.437,0.1,0.0,256.5
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,162.648,5.9,1160.4,193.9
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.167,0.0,0.0,0.0
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,429.743,15.5,,
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,233.464,8.4,2891.3,361.6
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,3.306,0.1,0.0,198.2
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,31.332,1.1,1606.4,414.1
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.502,0.1,0.0,327.2
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,162.682,5.9,1546.9,194.0
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.155,0.0,0.0,0.0
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,433.441,15.6,,
