tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_gemv32,up_m1,norm,6.914,0.7,0.0,8.9
1,down_gemv32,up_m1,down,14.552,1.4,472.9,164.0
1,down_gemv32,up_m1,down_reduce,1.015,0.1,0.0,0.0
1,down_gemv32,up_m1,up,20.460,2.0,320.3,111.1
1,down_gemv32,up_m1,combine,3.377,0.3,0.0,27.3
1,down_gemv32,up_m1,block,46.318,4.5,,
2,down_m1,up_m4,norm,7.188,0.7,0.0,17.1
2,down_m1,up_m4,down,234.268,22.7,58.7,10.3
2,down_m1,up_m4,up,28.026,2.7,467.7,81.8
2,down_m1,up_m4,combine,3.467,0.3,0.0,53.2
2,down_m1,up_m4,block,272.949,26.5,,
3,down_m1,up_m4,norm,7.161,0.7,0.0,25.7
3,down_m1,up_m4,down,231.860,22.5,89.0,10.5
3,down_m1,up_m4,up,28.010,2.7,701.9,82.6
3,down_m1,up_m4,combine,3.521,0.3,0.0,78.5
3,down_m1,up_m4,block,270.552,26.2,,
4,down_m1,up_m4,norm,7.747,0.8,0.0,31.7
4,down_m1,up_m4,down,235.022,22.8,117.1,10.4
4,down_m1,up_m4,up,27.995,2.7,936.4,83.4
4,down_m1,up_m4,combine,3.782,0.4,0.0,97.5
4,down_m1,up_m4,block,274.546,26.6,,
6,down_m1,up_m4,norm,9.333,0.9,0.0,39.5
6,down_m1,up_m4,down,233.676,22.7,176.7,10.6
6,down_m1,up_m4,up,28.082,2.7,1400.2,84.6
6,down_m1,up_m4,combine,3.995,0.4,0.0,138.4
6,down_m1,up_m4,block,275.086,26.7,,
8,down_m1,up_m4,norm,10.817,1.0,0.0,45.4
8,down_m1,up_m4,down,232.470,22.5,236.8,10.9
8,down_m1,up_m4,up,28.063,2.7,1868.3,86.1
8,down_m1,up_m4,combine,4.344,0.4,0.0,169.7
8,down_m1,up_m4,block,275.694,26.7,,
