tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,router,15.185,0.7,173.0,173.3
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.923,0.0,0.0,0.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,route,5.352,0.3,0.0,0.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.389,0.1,0.0,0.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,up,99.746,4.8,10512.5,184.8
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,down,45.633,2.2,11489.2,202.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,14.947,0.7,438.5,123.3
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,9.129,0.4,358.9,134.6
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,combine,2.847,0.1,0.0,43.2
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,block,196.151,9.4,,
2,m2,m2/gemm,m2/m2,17,17,544,17,544,router,89.847,4.3,58.5,29.3
2,m2,m2/gemm,m2/m2,17,17,544,17,544,route,5.387,0.3,0.0,0.0
2,m2,m2/gemm,m2/m2,17,17,544,17,544,perm.up,2.541,0.1,0.0,0.0
2,m2,m2/gemm,m2/m2,17,17,544,17,544,up,673.742,32.3,5291.6,46.5
2,m2,m2/gemm,m2/m2,17,17,544,17,544,down,185.351,8.9,9617.3,84.5
2,m2,m2/gemm,m2/m2,17,17,544,17,544,shexp.up,173.231,8.3,75.7,10.6
2,m2,m2/gemm,m2/m2,17,17,544,17,544,shexp.down,16.330,0.8,401.3,75.2
2,m2,m2/gemm,m2/m2,17,17,544,17,544,combine,2.897,0.1,0.0,84.8
2,m2,m2/gemm,m2/m2,17,17,544,17,544,block,1149.326,55.2,,
3,m2,m2/gemm,m2/m2,26,26,832,26,832,router,88.004,4.2,89.5,30.0
3,m2,m2/gemm,m2/m2,26,26,832,26,832,route,5.382,0.3,0.0,0.0
3,m2,m2/gemm,m2/m2,26,26,832,26,832,perm.up,2.581,0.1,0.0,0.0
