wiring,k,tried,hit,a_k,chain_tried,chain_hit,chain_a_k,e_tokens
res,1,1024,758,0.7402,1024,758,0.7402,1.7402
res,2,1024,543,0.5303,758,493,0.6504,2.2217
res,3,1024,374,0.3652,493,319,0.6471,2.5332
res,4,1024,291,0.2842,319,225,0.7053,2.7529
res,5,1024,225,0.2197,225,162,0.7200,2.9111
res,6,1024,170,0.1660,162,114,0.7037,3.0225
zero,1,1024,100,0.0977,1024,100,0.0977,1.0977
zero,2,1024,70,0.0684,100,55,0.5500,1.1514
zero,3,1024,33,0.0322,55,14,0.2545,1.1650
zero,4,1024,32,0.0312,14,3,0.2143,1.1680
zero,5,1024,32,0.0312,3,0,0.0000,1.1680
zero,6,1024,35,0.0342,0,0,0.0000,1.1680
