wiring,k,tried,hit,a_k,chain_tried,chain_hit,chain_a_k,e_tokens
res,1,512,472,0.9219,512,472,0.9219,1.9219
res,2,512,433,0.8457,472,427,0.9047,2.7559
res,3,512,403,0.7871,427,392,0.9180,3.5215
res,4,512,378,0.7383,392,370,0.9439,4.2441
res,5,512,351,0.6855,370,346,0.9351,4.9199
res,6,512,333,0.6504,346,327,0.9451,5.5586
zero,1,512,58,0.1133,512,58,0.1133,1.1133
zero,2,512,40,0.0781,58,36,0.6207,1.1836
zero,3,512,20,0.0391,36,6,0.1667,1.1953
zero,4,512,18,0.0352,6,0,0.0000,1.1953
zero,5,512,22,0.0430,0,0,0.0000,1.1953
zero,6,512,18,0.0352,0,0,0.0000,1.1953
