wiring,k,tried,hit,a_k,chain_tried,chain_hit,chain_a_k,e_tokens
res,1,256,239,0.9336,256,239,0.9336,1.9336
res,2,256,219,0.8555,239,215,0.8996,2.7734
res,3,256,195,0.7617,215,186,0.8651,3.5000
res,4,256,169,0.6602,186,158,0.8495,4.1172
res,5,256,143,0.5586,158,129,0.8165,4.6211
res,6,256,115,0.4492,129,102,0.7907,5.0195
zero,1,256,15,0.0586,256,15,0.0586,1.0586
zero,2,256,7,0.0273,15,0,0.0000,1.0586
zero,3,256,4,0.0156,0,0,0.0000,1.0586
zero,4,256,2,0.0078,0,0,0.0000,1.0586
zero,5,256,4,0.0156,0,0,0.0000,1.0586
zero,6,256,2,0.0078,0,0,0.0000,1.0586
