wiring,k,tried,hit,a_k,chain_tried,chain_hit,chain_a_k,e_tokens
res,1,256,188,0.7344,256,188,0.7344,1.7344
res,2,256,120,0.4688,188,112,0.5957,2.1719
res,3,256,76,0.2969,112,59,0.5268,2.4023
res,4,256,48,0.1875,59,32,0.5424,2.5273
res,5,256,33,0.1289,32,19,0.5938,2.6016
res,6,256,23,0.0898,19,13,0.6842,2.6523
res-flip,1,256,0,0.0000,256,0,0.0000,1.0000
res-flip,2,256,1,0.0039,0,0,0.0000,1.0000
res-flip,3,256,0,0.0000,0,0,0.0000,1.0000
res-flip,4,256,0,0.0000,0,0,0.0000,1.0000
res-flip,5,256,0,0.0000,0,0,0.0000,1.0000
res-flip,6,256,0,0.0000,0,0,0.0000,1.0000
mixed,1,256,142,0.5547,256,142,0.5547,1.5547
mixed,2,256,63,0.2461,142,59,0.4155,1.7852
mixed,3,256,30,0.1172,59,25,0.4237,1.8828
mixed,4,256,19,0.0742,25,10,0.4000,1.9219
mixed,5,256,7,0.0273,10,2,0.2000,1.9297
mixed,6,256,6,0.0234,2,0,0.0000,1.9297
mixed-flip,1,256,0,0.0000,256,0,0.0000,1.0000
mixed-flip,2,256,1,0.0039,0,0,0.0000,1.0000
mixed-flip,3,256,1,0.0039,0,0,0.0000,1.0000
mixed-flip,4,256,1,0.0039,0,0,0.0000,1.0000
mixed-flip,5,256,0,0.0000,0,0,0.0000,1.0000
mixed-flip,6,256,1,0.0039,0,0,0.0000,1.0000
zero,1,256,27,0.1055,256,27,0.1055,1.1055
zero,2,256,23,0.0898,27,17,0.6296,1.1719
zero,3,256,10,0.0391,17,4,0.2353,1.1875
zero,4,256,9,0.0352,4,0,0.0000,1.1875
zero,5,256,8,0.0312,0,0,0.0000,1.1875
zero,6,256,9,0.0352,0,0,0.0000,1.1875
