depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,738.5,693.33,1.442,0.135,0.004,0.166,0.069,1.035,0.005,0.007,0.010,0.005,1.421
0,tg,64,1928.8,33.18,30.138,3.894,0.279,7.136,4.565,10.350,2.373,0.611,0.529,0.099,29.208
8000,pp,512,871.4,587.55,1.702,0.134,0.004,0.168,0.216,1.120,0.005,0.007,0.042,0.004,1.654
8000,tg,64,2766.5,23.13,43.227,3.948,0.279,7.241,16.461,10.435,2.593,0.616,1.227,0.111,41.573
16000,pp,512,916.0,558.94,1.789,0.134,0.004,0.169,0.329,1.065,0.005,0.006,0.071,0.004,1.712
16000,tg,64,3123.9,20.49,48.811,4.065,0.310,7.541,20.650,10.805,2.631,0.627,1.777,0.114,46.629
32000,pp,512,956.6,535.23,1.868,0.134,0.004,0.168,0.463,1.022,0.005,0.007,0.059,0.005,1.803
32000,tg,64,3488.5,18.35,54.507,4.108,0.313,7.620,25.727,10.914,2.576,0.632,2.202,0.121,51.891
64000,pp,512,1160.6,441.14,2.267,0.134,0.004,0.168,0.820,1.061,0.005,0.006,0.062,0.005,2.198
64000,tg,64,3920.5,16.32,61.258,4.240,0.306,7.800,30.438,11.248,2.580,0.654,3.537,0.121,57.267
