depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,830.0,616.89,1.621,0.133,0.004,0.167,0.254,1.030,0.005,0.006,0.010,0.005,1.599
0,tg,64,2294.1,27.90,35.845,3.953,0.302,7.254,9.721,10.433,2.450,0.617,0.723,0.100,34.729
8000,pp,512,965.7,530.18,1.886,0.132,0.004,0.168,0.385,1.119,0.005,0.006,0.060,0.004,1.819
8000,tg,64,4168.2,15.35,65.128,4.385,0.280,8.350,34.776,11.704,2.706,0.645,1.875,0.103,62.846
16000,pp,512,1032.3,495.96,2.016,0.133,0.004,0.168,0.555,1.068,0.005,0.006,0.070,0.004,1.940
16000,tg,64,5825.1,10.99,91.018,4.358,0.279,8.291,60.370,11.629,2.686,0.644,2.331,0.113,88.258
32000,pp,512,1219.3,419.93,2.381,0.134,0.004,0.168,0.957,1.038,0.005,0.007,0.062,0.005,2.313
32000,tg,64,9519.8,6.72,148.747,4.414,0.284,8.315,111.372,11.685,3.060,0.662,8.453,0.127,139.793
64000,pp,512,1620.2,316.01,3.164,0.133,0.004,0.168,1.696,1.085,0.005,0.007,0.061,0.005,3.097
64000,tg,64,15859.0,4.04,247.797,4.256,0.291,7.875,212.215,11.241,2.454,0.653,8.323,0.108,238.985
