depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,830.1,616.80,1.621,0.133,0.004,0.167,0.253,1.031,0.005,0.006,0.010,0.005,1.600
0,tg,64,2284.9,28.01,35.702,3.962,0.277,7.254,9.737,10.491,2.424,0.616,0.553,0.099,34.761
8000,pp,512,965.6,530.24,1.886,0.134,0.004,0.167,0.385,1.120,0.005,0.006,0.059,0.004,1.821
8000,tg,64,3965.8,16.14,61.966,4.029,0.278,7.397,34.188,10.619,2.535,0.621,1.883,0.117,59.666
16000,pp,512,1034.6,494.89,2.021,0.134,0.004,0.168,0.557,1.070,0.005,0.006,0.071,0.004,1.944
16000,tg,64,5690.2,11.25,88.909,4.181,0.285,7.769,59.727,11.130,2.562,0.632,2.200,0.113,86.287
32000,pp,512,1239.7,412.99,2.421,0.141,0.004,0.168,0.980,1.051,0.005,0.007,0.059,0.004,2.357
32000,tg,64,9372.4,6.83,146.443,4.277,0.283,7.878,110.479,11.259,2.514,0.654,8.617,0.121,137.345
64000,pp,512,1650.8,310.15,3.224,0.135,0.004,0.169,1.752,1.085,0.005,0.007,0.060,0.005,3.157
64000,tg,64,15772.3,4.06,246.442,4.241,0.305,7.806,210.885,11.130,2.677,0.654,8.223,0.111,237.699
