op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
rmsnorm,shared,,0,256,1204.250,0.0000,81.6309,2860.0,2860.0,2860.0,134.69,
softmax,shared,,0,256,1454.750,0.0000,45.0497,2861.0,2861.0,2861.0,134.95,
rmsnorm,shared,,0,512,1601.000,0.0000,122.8032,2862.0,2862.0,2862.0,135.22,
softmax,shared,,0,512,1837.450,0.0000,71.3336,2863.0,2863.0,2863.0,135.38,
rmsnorm,shared,,0,1024,2366.450,0.0000,166.1628,2864.0,2864.0,2864.0,135.43,
softmax,shared,,0,1024,2520.750,0.0000,103.9944,2864.0,2864.0,2864.0,135.49,
rmsnorm,shared,,0,2048,3901.400,0.0000,201.5769,2865.0,2865.0,2865.0,135.48,
softmax,shared,,0,2048,3911.400,0.0000,134.0410,2864.0,2864.0,2864.0,135.29,
rmsnorm,shared,,0,4096,7031.350,0.0000,223.6930,2860.0,2860.0,2860.0,135.01,
softmax,shared,,0,4096,6666.650,0.0000,157.2868,2854.0,2854.0,2854.0,134.77,
rmsnorm,subgroup,,0,256,1937.650,0.0000,50.7336,2855.0,2855.0,2855.0,134.96,
softmax,subgroup,,0,256,1867.500,0.0000,35.0929,2856.0,2856.0,2856.0,135.14,
rmsnorm,subgroup,,0,512,3364.350,0.0000,58.4386,2857.0,2857.0,2857.0,135.35,
softmax,subgroup,,0,512,3143.950,0.0000,41.6902,2858.0,2858.0,2858.0,135.50,
rmsnorm,subgroup,,0,1024,6139.650,0.0000,64.0453,2859.0,2859.0,2859.0,135.53,
softmax,subgroup,,0,1024,5618.650,0.0000,46.6560,2860.0,2860.0,2860.0,135.55,
rmsnorm,subgroup,,0,2048,11746.300,0.0000,66.9515,2858.0,2858.0,2858.0,135.42,
softmax,subgroup,,0,2048,10774.450,0.0000,48.6603,2857.0,2857.0,2857.0,135.25,
rmsnorm,subgroup,,0,4096,22955.600,0.0000,68.5177,2854.0,2854.0,2854.0,135.01,
softmax,subgroup,,0,4096,21977.750,0.0000,47.7108,2850.0,2850.0,2850.0,134.64,
rmsnorm,subgroup_w32,,0,256,3222.100,0.0000,30.5093,2852.0,2852.0,2852.0,134.82,
softmax,subgroup_w32,,0,256,3009.700,0.0000,21.7749,2853.0,2853.0,2853.0,134.97,
rmsnorm,subgroup_w32,,0,512,5967.300,0.0000,32.9476,2854.0,2854.0,2854.0,135.11,
softmax,subgroup_w32,,0,512,5404.250,0.0000,24.2535,2855.0,2855.0,2855.0,135.25,
rmsnorm,subgroup_w32,,0,1024,11377.600,0.0000,34.5605,2856.0,2856.0,2856.0,135.29,
softmax,subgroup_w32,,0,1024,10205.350,0.0000,25.6869,2856.0,2856.0,2856.0,135.29,
rmsnorm,subgroup_w32,,0,2048,22236.200,0.0000,35.3672,2855.0,2855.0,2855.0,135.16,
softmax,subgroup_w32,,0,2048,19869.750,0.0000,26.3862,2854.0,2854.0,2854.0,135.00,
rmsnorm,subgroup_w32,,0,4096,44021.600,0.0000,35.7294,2853.0,2853.0,2853.0,134.82,
softmax,subgroup_w32,,0,4096,42510.750,0.0000,24.6661,2847.0,2847.0,2847.0,134.31,
