op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
decode,subgroup,w4a8,128,640,2653.840,1234.7391,318.3312,2787.0,2787.0,2787.0,138.16,shape=qwen3.8-flash-next/moe.down;rows=2560;K=640;weightMB=0.8;C=256B;rowB=320B;cover=1.00
decode,subgroup,w4a8,128,640,6623.580,1584.2550,408.4408,2814.0,2814.0,2814.0,138.97,shape=parakeet-tdt-0.6b/joint.out;rows=8198;K=640;weightMB=2.6;C=256B;rowB=320B;cover=1.00
decode,subgroup,w4a8,128,640,995268.620,809.1339,208.6048,2821.4,2813.0,2829.0,136.35,shape=*/dram-twin;rows=629145;K=640;weightMB=198.0;C=256B;rowB=320B;cover=1.00
decode,subgroup,w4a8,128,1024,1479.410,885.9748,228.4154,2831.0,2831.0,2831.0,133.51,shape=parakeet-tdt-0.6b/joint.enc;rows=640;K=1024;weightMB=0.3;C=256B;rowB=512B;cover=0.50
decode,subgroup,w4a8,128,1024,985427.720,817.2151,210.6883,2822.0,2814.0,2829.0,132.48,shape=*/dram-twin;rows=393216;K=1024;weightMB=198.0;C=256B;rowB=512B;cover=0.50
decode,subgroup,w4a8,128,2560,1946.495,1346.7489,347.2087,2831.0,2831.0,2831.0,129.42,shape=qwen3.8-flash-next/attn.q;rows=512;K=2560;weightMB=0.6;C=256B;rowB=1280B;cover=1.00
decode,subgroup,w4a8,128,2560,2044.280,1602.9115,413.2506,2833.0,2833.0,2833.0,129.86,shape=qwen3.8-flash-next/attn.kv;rows=640;K=2560;weightMB=0.8;C=256B;rowB=1280B;cover=1.00
decode,subgroup,w4a8,128,2560,4436.830,2363.3450,609.2999,2834.0,2834.0,2834.0,130.13,shape=qwen3.8-flash-next/la.qk;rows=2048;K=2560;weightMB=2.6;C=256B;rowB=1280B;cover=1.00
decode,subgroup,w4a8,128,2560,11068.225,2842.1251,732.7354,2836.0,2836.0,2836.0,130.38,shape=qwen3.8-flash-next/moe.gate_up;rows=6144;K=2560;weightMB=7.7;C=256B;rowB=1280B;cover=1.00
decode,subgroup,w4a8,128,2560,1363865.760,932.2020,240.3333,2824.0,2813.0,2834.0,130.91,shape=qwen3.8-flash-next/lm_head;rows=248320;K=2560;weightMB=312.6;C=256B;rowB=1280B;cover=1.00
decode,subgroup,w4a8,128,2560,868281.345,927.4693,239.1132,2820.6,2814.0,2827.0,134.89,shape=*/dram-twin;rows=157286;K=2560;weightMB=198.0;C=256B;rowB=1280B;cover=1.00
decode,subgroup,w4a8,128,6144,14262.295,2205.6254,568.6378,2829.0,2829.0,2829.0,132.22,shape=qwen3.8-flash-next/attn.o;rows=2560;K=6144;weightMB=7.7;C=256B;rowB=3072B;cover=0.25
decode,subgroup,w4a8,128,6144,880399.570,914.7055,235.8225,2821.0,2814.0,2828.0,132.93,shape=*/dram-twin;rows=65536;K=6144;weightMB=198.0;C=256B;rowB=3072B;cover=0.25
decode,subgroup_vec4,w4a8,128,640,2495.540,1313.0625,338.5239,2829.0,2829.0,2829.0,130.58,shape=qwen3.8-flash-next/moe.down;rows=2560;K=640;weightMB=0.8;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec4,w4a8,128,640,6464.480,1623.2458,418.4931,2831.0,2831.0,2831.0,130.81,shape=parakeet-tdt-0.6b/joint.out;rows=8198;K=640;weightMB=2.6;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec4,w4a8,128,640,964055.915,835.3308,215.3587,2821.2,2813.0,2828.0,130.76,shape=*/dram-twin;rows=629145;K=640;weightMB=198.0;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec4,w4a8,128,1024,1250.775,1047.9263,270.1685,2830.0,2830.0,2830.0,128.34,shape=parakeet-tdt-0.6b/joint.enc;rows=640;K=1024;weightMB=0.3;C=512B;rowB=512B;cover=1.00
decode,subgroup_vec4,w4a8,128,1024,869984.980,925.6555,238.6456,2820.4,2813.0,2827.0,129.91,shape=*/dram-twin;rows=393216;K=1024;weightMB=198.0;C=512B;rowB=512B;cover=1.00
decode,subgroup_vec4,w4a8,128,2560,1770.960,1480.2367,381.6235,2829.0,2829.0,2829.0,127.26,shape=qwen3.8-flash-next/attn.q;rows=512;K=2560;weightMB=0.6;C=1024B;rowB=1280B;cover=1.00
decode,subgroup_vec4,w4a8,128,2560,1956.115,1675.1571,431.8764,2830.0,2830.0,2830.0,127.71,shape=qwen3.8-flash-next/attn.kv;rows=640;K=2560;weightMB=0.8;C=1024B;rowB=1280B;cover=1.00
decode,subgroup_vec4,w4a8,128,2560,4486.720,2337.0658,602.5248,2832.0,2832.0,2832.0,127.93,shape=qwen3.8-flash-next/la.qk;rows=2048;K=2560;weightMB=2.6;C=1024B;rowB=1280B;cover=1.00
decode,subgroup_vec4,w4a8,128,2560,11279.230,2788.9563,719.0278,2833.3,2833.0,2834.0,128.16,shape=qwen3.8-flash-next/moe.gate_up;rows=6144;K=2560;weightMB=7.7;C=1024B;rowB=1280B;cover=1.00
decode,subgroup_vec4,w4a8,128,2560,1357992.400,936.2338,241.3728,2825.3,2815.0,2835.0,129.27,shape=qwen3.8-flash-next/lm_head;rows=248320;K=2560;weightMB=312.6;C=1024B;rowB=1280B;cover=1.00
decode,subgroup_vec4,w4a8,128,2560,860550.455,935.8014,241.2613,2820.8,2814.0,2827.0,127.40,shape=*/dram-twin;rows=157286;K=2560;weightMB=198.0;C=1024B;rowB=1280B;cover=1.00
decode,subgroup_vec4,w4a8,128,6144,10967.835,2868.1394,739.4422,2829.5,2829.0,2830.0,124.75,shape=qwen3.8-flash-next/attn.o;rows=2560;K=6144;weightMB=7.7;C=1024B;rowB=3072B;cover=1.00
decode,subgroup_vec4,w4a8,128,6144,869968.950,925.6725,238.6500,2820.7,2814.0,2827.0,127.36,shape=*/dram-twin;rows=65536;K=6144;weightMB=198.0;C=1024B;rowB=3072B;cover=1.00
decode,subgroup_vec8,w4a8,128,640,2536.215,1292.0040,333.0948,2829.0,2829.0,2829.0,124.62,shape=qwen3.8-flash-next/moe.down;rows=2560;K=640;weightMB=0.8;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec8,w4a8,128,640,6499.545,1614.4884,416.2353,2831.0,2831.0,2831.0,125.05,shape=parakeet-tdt-0.6b/joint.out;rows=8198;K=640;weightMB=2.6;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec8,w4a8,128,640,975440.945,825.5811,212.8451,2822.3,2815.0,2830.0,129.38,shape=*/dram-twin;rows=629145;K=640;weightMB=198.0;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec8,w4a8,128,1024,1287.045,1018.3949,262.5549,2831.0,2831.0,2831.0,128.36,shape=parakeet-tdt-0.6b/joint.enc;rows=640;K=1024;weightMB=0.3;C=512B;rowB=512B;cover=1.00
decode,subgroup_vec8,w4a8,128,1024,874322.620,921.0632,237.4616,2821.4,2814.0,2828.0,130.36,shape=*/dram-twin;rows=393216;K=1024;weightMB=198.0;C=512B;rowB=512B;cover=1.00
decode,subgroup_vec8,w4a8,128,2560,1764.750,1485.4455,382.9664,2830.0,2830.0,2830.0,128.54,shape=qwen3.8-flash-next/attn.q;rows=512;K=2560;weightMB=0.6;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec8,w4a8,128,2560,1957.315,1674.1301,431.6117,2831.0,2831.0,2831.0,129.00,shape=qwen3.8-flash-next/attn.kv;rows=640;K=2560;weightMB=0.8;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec8,w4a8,128,2560,4505.960,2327.0868,599.9521,2833.0,2833.0,2833.0,129.30,shape=qwen3.8-flash-next/la.qk;rows=2048;K=2560;weightMB=2.6;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec8,w4a8,128,2560,11523.290,2729.8870,703.7990,2834.5,2834.0,2835.0,129.50,shape=qwen3.8-flash-next/moe.gate_up;rows=6144;K=2560;weightMB=7.7;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec8,w4a8,128,2560,1358455.480,935.9147,241.2905,2824.7,2814.0,2834.0,129.43,shape=qwen3.8-flash-next/lm_head;rows=248320;K=2560;weightMB=312.6;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec8,w4a8,128,2560,861526.510,934.7412,240.9880,2820.0,2813.0,2827.0,126.62,shape=*/dram-twin;rows=157286;K=2560;weightMB=198.0;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec8,w4a8,128,6144,10957.015,2870.9717,740.1724,2828.0,2828.0,2828.0,124.61,shape=qwen3.8-flash-next/attn.o;rows=2560;K=6144;weightMB=7.7;C=2048B;rowB=3072B;cover=1.00
decode,subgroup_vec8,w4a8,128,6144,873601.250,921.8237,237.6577,2820.2,2813.0,2827.0,126.11,shape=*/dram-twin;rows=65536;K=6144;weightMB=198.0;C=2048B;rowB=3072B;cover=1.00
decode,subgroup_vec16,w4a8,128,640,2855.220,1147.6524,295.8791,2828.0,2828.0,2828.0,123.67,shape=qwen3.8-flash-next/moe.down;rows=2560;K=640;weightMB=0.8;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec16,w4a8,128,640,6937.380,1512.5941,389.9657,2829.5,2829.0,2830.0,124.03,shape=parakeet-tdt-0.6b/joint.out;rows=8198;K=640;weightMB=2.6;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec16,w4a8,128,640,1060655.655,759.2526,195.7448,2822.1,2814.0,2830.0,130.15,shape=*/dram-twin;rows=629145;K=640;weightMB=198.0;C=320B;rowB=320B;cover=1.00
decode,subgroup_vec16,w4a8,128,1024,1434.925,913.4415,235.4966,2832.0,2832.0,2832.0,129.64,shape=parakeet-tdt-0.6b/joint.enc;rows=640;K=1024;weightMB=0.3;C=512B;rowB=512B;cover=1.00
decode,subgroup_vec16,w4a8,128,1024,935571.995,860.7637,221.9156,2820.7,2813.0,2828.0,130.61,shape=*/dram-twin;rows=393216;K=1024;weightMB=198.0;C=512B;rowB=512B;cover=1.00
decode,subgroup_vec16,w4a8,128,2560,1841.695,1423.3844,366.9663,2830.0,2830.0,2830.0,128.96,shape=qwen3.8-flash-next/attn.q;rows=512;K=2560;weightMB=0.6;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec16,w4a8,128,2560,2082.955,1573.1497,405.5777,2831.0,2831.0,2831.0,129.19,shape=qwen3.8-flash-next/attn.kv;rows=640;K=2560;weightMB=0.8;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec16,w4a8,128,2560,5028.955,2085.0773,537.5590,2833.0,2833.0,2833.0,129.46,shape=qwen3.8-flash-next/la.qk;rows=2048;K=2560;weightMB=2.6;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec16,w4a8,128,2560,12359.880,2545.1121,656.1617,2834.0,2834.0,2834.0,129.52,shape=qwen3.8-flash-next/moe.gate_up;rows=6144;K=2560;weightMB=7.7;C=1280B;rowB=1280B;cover=1.00
decode,subgroup_vec16,w4a8,128,2560,1355331.345,938.0720,241.8467,2825.1,2815.0,2835.0,129.73,shape=qwen3.8-flash-next/lm_head;rows=248320;K=2560;weightMB=312.6;C=1280B;rowB=1280B;cover=1.00
