op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
stride,rows1,,0,8192,17729.159,0.0000,946.3064,2825.7,2824.0,2827.0,135.01,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=64 rows/req=1 traversal=walk loads/req=1 inflight=1024B stride_mod_4k=0
stride,rows1_xw,,0,8192,30384.254,0.0000,552.1681,2831.5,2830.0,2833.0,134.32,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=64 rows/req=1 traversal=xw loads/req=1 inflight=1024B stride_mod_4k=0
stride,rows4,,0,8192,17706.846,0.0000,947.4988,2846.0,2845.0,2847.0,131.43,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=16 rows/req=4 traversal=walk loads/req=1 inflight=256B stride_mod_4k=0
stride,rows4_xw,,0,8192,47717.572,0.0000,351.5941,2849.0,2848.0,2850.0,131.08,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=16 rows/req=4 traversal=xw loads/req=1 inflight=256B stride_mod_4k=0
stride,rows16,,0,8192,17688.289,0.0000,948.4929,2862.1,2861.0,2863.0,129.24,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=4 rows/req=16 traversal=walk loads/req=1 inflight=64B stride_mod_4k=0
stride,rows16_xw,,0,8192,72373.118,0.0000,231.8156,2864.7,2864.0,2866.0,128.66,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=4 rows/req=16 traversal=xw loads/req=1 inflight=64B stride_mod_4k=0
stride,rows32,,0,8192,18246.701,0.0000,919.4657,2872.6,2872.0,2873.0,124.37,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=2 rows/req=32 traversal=walk loads/req=1 inflight=32B stride_mod_4k=0
stride,rows32_xw,,0,8192,108988.389,0.0000,153.9358,2871.2,2870.0,2872.0,123.80,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=2 rows/req=32 traversal=xw loads/req=1 inflight=32B stride_mod_4k=0
stride,rows64,,0,8192,19654.245,0.0000,853.6179,2877.6,2877.0,2878.0,120.05,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=1 rows/req=64 traversal=walk loads/req=1 inflight=16B stride_mod_4k=0
stride,rows64_xw,,0,8192,143373.914,0.0000,117.0172,2879.8,2879.0,2880.0,120.83,touch=16MiB row=8192B span=16MiB rows=2048 lanes/row=1 rows/req=64 traversal=xw loads/req=1 inflight=16B stride_mod_4k=0
